DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,48.80,HVT,49.20,49.20,48.80,8200.00
25/04/2019,49.20,HVT,49.50,50.00,48.90,12000.00
24/04/2019,50.00,HVT,49.00,50.30,49.00,28100.00
23/04/2019,50.80,HVT,50.80,50.80,50.80,300.00
22/04/2019,50.80,HVT,50.80,50.80,50.80,0.00
19/04/2019,50.80,HVT,50.80,50.80,50.80,10.00
18/04/2019,50.80,HVT,50.80,50.80,50.80,19000.00
17/04/2019,52.00,HVT,51.00,52.00,50.80,10700.00
16/04/2019,50.60,HVT,50.60,50.60,50.50,5800.00
12/04/2019,51.00,HVT,51.00,51.00,51.00,11525.00
11/04/2019,51.00,HVT,51.00,51.00,51.00,6000.00
10/04/2019,51.00,HVT,51.00,51.00,51.00,2600.00
09/04/2019,50.70,HVT,50.60,50.80,50.60,7730.00
08/04/2019,51.00,HVT,51.00,51.00,51.00,1800.00
05/04/2019,51.00,HVT,51.00,51.00,51.00,0.00
04/04/2019,51.00,HVT,51.00,51.00,51.00,1000.00
03/04/2019,51.00,HVT,51.00,51.00,51.00,2000.00
02/04/2019,51.00,HVT,51.00,51.00,51.00,2000.00
01/04/2019,51.00,HVT,51.00,51.00,51.00,2100.00
29/03/2019,51.00,HVT,51.00,51.00,51.00,3400.00
28/03/2019,51.00,HVT,51.00,51.00,51.00,6000.00
27/03/2019,51.00,HVT,51.00,51.00,51.00,12600.00
26/03/2019,51.00,HVT,51.00,51.00,51.00,700.00
25/03/2019,52.00,HVT,52.00,52.00,52.00,1400.00
22/03/2019,52.00,HVT,52.00,52.00,52.00,200.00
21/03/2019,52.00,HVT,51.50,52.00,51.50,4000.00
20/03/2019,52.00,HVT,52.00,52.00,52.00,2000.00
19/03/2019,52.00,HVT,52.00,52.00,52.00,1602.00
18/03/2019,52.00,HVT,52.00,52.00,52.00,4359.00
15/03/2019,52.00,HVT,52.00,52.00,52.00,0.00
14/03/2019,52.00,HVT,50.10,52.00,50.10,17570.00
13/03/2019,52.00,HVT,52.00,52.00,52.00,0.00
12/03/2019,52.00,HVT,52.00,52.00,52.00,2200.00
11/03/2019,51.00,HVT,51.00,51.00,51.00,0.00
08/03/2019,51.00,HVT,51.00,51.00,51.00,600.00
07/03/2019,51.00,HVT,51.00,51.00,51.00,0.00
06/03/2019,51.00,HVT,51.00,51.00,51.00,1012.00
05/03/2019,51.00,HVT,51.00,51.00,51.00,1000.00
04/03/2019,51.00,HVT,51.00,51.00,51.00,516.00
01/03/2019,50.60,HVT,50.60,50.60,50.60,0.00
28/02/2019,50.60,HVT,50.60,50.60,50.60,0.00
27/02/2019,50.60,HVT,50.60,50.60,50.60,0.00
26/02/2019,50.60,HVT,50.60,50.60,50.60,4012.00
25/02/2019,51.00,HVT,51.00,51.00,51.00,9.00
22/02/2019,51.00,HVT,51.00,51.00,51.00,0.00
21/02/2019,51.00,HVT,51.00,51.00,51.00,500.00
20/02/2019,51.00,HVT,51.00,51.00,51.00,0.00
19/02/2019,51.00,HVT,51.00,51.00,51.00,0.00
18/02/2019,51.00,HVT,51.00,51.00,51.00,109.00
15/02/2019,51.00,HVT,51.00,51.00,51.00,7900.00
14/02/2019,50.50,HVT,50.50,50.50,50.50,100.00
13/02/2019,50.50,HVT,50.50,50.50,50.50,3000.00
12/02/2019,50.10,HVT,50.00,50.10,50.00,200.00
11/02/2019,50.00,HVT,50.00,50.00,50.00,9.00
01/02/2019,50.00,HVT,50.00,50.00,50.00,0.00
31/01/2019,50.00,HVT,50.00,50.00,50.00,0.00
30/01/2019,50.00,HVT,51.00,51.00,50.00,2300.00
29/01/2019,51.00,HVT,51.00,51.00,51.00,1500.00
28/01/2019,51.00,HVT,51.00,51.00,51.00,2600.00
25/01/2019,51.00,HVT,51.00,51.00,51.00,0.00
24/01/2019,51.00,HVT,51.00,51.00,50.00,3823.00
