DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,23.90,IBC,23.90,23.90,23.80,169790.00
25/04/2019,23.90,IBC,23.80,24.00,23.75,162780.00
24/04/2019,23.80,IBC,23.75,23.90,23.75,152920.00
23/04/2019,23.75,IBC,23.90,23.90,23.70,155840.00
22/04/2019,23.90,IBC,23.70,23.90,23.60,158000.00
19/04/2019,23.70,IBC,23.70,23.80,23.70,156500.00
18/04/2019,23.80,IBC,23.80,24.00,23.80,200800.00
17/04/2019,23.80,IBC,23.70,23.80,23.65,199930.00
16/04/2019,23.70,IBC,23.80,23.80,23.60,166890.00
12/04/2019,23.80,IBC,23.80,24.00,23.70,245730.00
11/04/2019,23.80,IBC,23.85,23.85,23.70,153980.00
10/04/2019,23.85,IBC,23.85,23.90,23.75,161150.00
09/04/2019,23.85,IBC,23.90,23.95,23.00,165470.00
08/04/2019,23.90,IBC,23.90,24.00,23.85,163900.00
05/04/2019,23.90,IBC,24.00,24.00,23.85,153230.00
04/04/2019,24.00,IBC,23.90,24.00,23.85,159790.00
03/04/2019,23.90,IBC,23.95,24.10,23.60,169460.00
02/04/2019,23.95,IBC,24.00,24.00,23.85,156170.00
01/04/2019,24.00,IBC,24.05,24.05,23.80,163500.00
29/03/2019,24.05,IBC,24.10,24.15,23.95,152130.00
28/03/2019,24.10,IBC,24.00,24.10,23.80,159290.00
27/03/2019,24.00,IBC,24.30,24.35,23.50,154930.00
26/03/2019,24.30,IBC,24.90,24.95,23.75,159880.00
25/03/2019,24.90,IBC,24.70,24.90,23.45,148510.00
22/03/2019,24.90,IBC,24.90,25.00,24.00,149210.00
21/03/2019,24.90,IBC,24.55,25.10,23.90,280580.00
20/03/2019,24.60,IBC,23.90,24.60,23.70,245050.00
19/03/2019,24.00,IBC,23.50,24.00,23.50,160960.00
18/03/2019,23.70,IBC,22.50,23.70,21.50,283940.00
15/03/2019,23.00,IBC,24.00,24.00,23.00,180420.00
14/03/2019,24.00,IBC,24.60,24.80,23.55,152210.00
13/03/2019,24.40,IBC,23.75,25.30,23.75,380480.00
12/03/2019,23.75,IBC,23.90,23.95,23.70,161130.00
11/03/2019,23.90,IBC,24.00,24.00,23.80,154410.00
08/03/2019,24.00,IBC,23.80,24.20,23.40,218140.00
07/03/2019,23.80,IBC,23.95,24.00,23.70,164520.00
06/03/2019,24.00,IBC,23.40,24.00,23.40,150770.00
05/03/2019,23.40,IBC,23.35,23.85,22.90,188000.00
04/03/2019,23.35,IBC,23.65,23.65,22.60,190860.00
01/03/2019,23.65,IBC,23.30,23.65,23.20,203600.00
