DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,47.50,ICC,47.50,47.50,47.50,0.00
25/04/2019,47.50,ICC,47.50,47.50,47.50,0.00
24/04/2019,47.50,ICC,47.50,47.50,47.50,0.00
23/04/2019,47.50,ICC,47.50,47.50,47.50,0.00
22/04/2019,47.50,ICC,47.50,47.50,47.50,100.00
19/04/2019,49.00,ICC,45.60,49.00,45.60,200.00
18/04/2019,48.80,ICC,48.80,48.80,48.80,100.00
17/04/2019,48.80,ICC,45.10,48.80,45.10,230.00
16/04/2019,52.60,ICC,52.70,52.70,52.60,4000.00
12/04/2019,50.00,ICC,43.10,50.00,43.10,1300.00
11/04/2019,50.00,ICC,42.60,50.00,42.60,300.00
10/04/2019,50.00,ICC,40.40,50.00,40.40,400.00
09/04/2019,47.50,ICC,40.90,48.10,40.90,500.00
08/04/2019,48.10,ICC,48.10,48.10,48.10,0.00
05/04/2019,48.10,ICC,48.10,48.10,48.10,0.00
04/04/2019,48.10,ICC,48.10,48.10,48.10,0.00
03/04/2019,48.10,ICC,48.10,48.10,48.10,0.00
02/04/2019,48.10,ICC,48.10,48.10,48.10,58.00
01/04/2019,48.10,ICC,48.10,48.10,48.10,0.00
29/03/2019,48.10,ICC,48.10,48.10,48.10,0.00
28/03/2019,49.10,ICC,47.10,49.10,47.10,200.00
27/03/2019,52.70,ICC,52.70,52.70,52.70,0.00
26/03/2019,52.70,ICC,52.70,52.70,52.70,7000.00
25/03/2019,52.00,ICC,52.70,52.70,52.00,5800.00
22/03/2019,51.00,ICC,51.00,51.00,51.00,1000.00
21/03/2019,52.70,ICC,52.70,52.70,52.70,5000.00
20/03/2019,51.00,ICC,51.00,51.00,51.00,1300.00
19/03/2019,51.00,ICC,52.70,52.70,51.00,2500.00
18/03/2019,52.00,ICC,52.70,52.70,52.00,5000.00
15/03/2019,49.80,ICC,49.80,49.80,49.80,0.00
14/03/2019,52.00,ICC,52.70,52.70,46.60,5800.00
13/03/2019,52.60,ICC,52.70,52.70,52.60,1900.00
12/03/2019,52.70,ICC,52.70,52.70,52.70,2500.00
11/03/2019,52.70,ICC,52.70,52.70,52.70,700.00
08/03/2019,52.70,ICC,52.70,52.70,52.70,2900.00
07/03/2019,51.80,ICC,52.70,52.70,45.50,2400.00
06/03/2019,52.70,ICC,52.70,52.70,52.70,3100.00
05/03/2019,52.70,ICC,52.70,52.70,52.70,617.00
04/03/2019,52.70,ICC,52.70,52.70,52.70,3000.00
01/03/2019,52.70,ICC,52.70,52.70,52.70,500.00
28/02/2019,52.70,ICC,52.80,52.80,52.70,3700.00
27/02/2019,52.80,ICC,52.80,52.80,52.80,1000.00
26/02/2019,52.70,ICC,52.80,52.80,52.70,3000.00
25/02/2019,52.70,ICC,52.80,52.80,52.70,1000.00
22/02/2019,52.70,ICC,52.90,52.90,52.70,2800.00
21/02/2019,52.80,ICC,52.90,52.90,52.80,1700.00
20/02/2019,52.80,ICC,52.90,52.90,52.80,500.00
19/02/2019,52.80,ICC,52.90,52.90,52.80,700.00
18/02/2019,52.90,ICC,52.90,52.90,52.90,800.00
15/02/2019,52.00,ICC,52.90,52.90,52.00,1500.00
14/02/2019,52.90,ICC,52.90,52.90,52.90,1200.00
13/02/2019,50.00,ICC,50.00,50.00,50.00,340.00
12/02/2019,46.00,ICC,46.00,46.00,46.00,300.00
11/02/2019,44.50,ICC,44.50,44.50,44.50,0.00
01/02/2019,44.50,ICC,44.50,44.50,44.50,0.00
31/01/2019,44.50,ICC,44.50,44.50,44.50,100.00
30/01/2019,44.00,ICC,44.00,44.00,44.00,0.00
29/01/2019,44.00,ICC,44.00,44.00,44.00,0.00
28/01/2019,44.00,ICC,44.00,44.00,44.00,100.00
25/01/2019,44.00,ICC,44.00,44.00,44.00,200.00
24/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
23/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
22/01/2019,43.40,ICC,43.40,43.40,43.40,300.00
21/01/2019,43.40,ICC,43.40,43.40,43.40,400.00
18/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
17/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
16/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
15/01/2019,43.40,ICC,43.40,43.40,43.40,0.00
14/01/2019,43.50,ICC,43.20,43.50,43.20,600.00
11/01/2019,42.00,ICC,42.00,42.00,42.00,200.00
10/01/2019,41.50,ICC,41.50,41.50,41.50,100.00
09/01/2019,41.10,ICC,41.10,41.10,41.10,0.00
08/01/2019,41.10,ICC,41.00,41.10,41.00,300.00
07/01/2019,41.00,ICC,41.00,41.00,41.00,100.00
04/01/2019,38.90,ICC,38.90,38.90,38.90,0.00
03/01/2019,42.00,ICC,35.70,42.00,35.70,200.00
02/01/2019,42.00,ICC,42.00,42.10,42.00,1500.00
28/12/2018,42.00,ICC,43.50,43.50,41.00,2600.00
27/12/2018,45.00,ICC,45.00,45.00,45.00,100.00
26/12/2018,45.00,ICC,37.80,45.00,37.80,200.00
25/12/2018,44.10,ICC,45.50,45.50,44.10,800.00
24/12/2018,44.10,ICC,44.10,44.10,44.10,0.00
21/12/2018,44.10,ICC,44.10,44.10,44.10,1.00
20/12/2018,47.60,ICC,40.50,47.60,40.50,200.00
19/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
18/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
17/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
14/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
13/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
12/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
11/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
10/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
07/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
06/12/2018,47.60,ICC,47.60,47.60,47.60,0.00
05/12/2018,48.50,ICC,47.50,48.50,47.50,1000.00
04/12/2018,47.50,ICC,47.50,47.50,47.50,7000.00
03/12/2018,47.50,ICC,47.50,47.50,47.50,7100.00
30/11/2018,47.50,ICC,47.50,47.50,47.50,4000.00
29/11/2018,47.50,ICC,47.50,47.50,47.50,3000.00
28/11/2018,47.50,ICC,47.50,47.50,47.50,2600.00
27/11/2018,47.50,ICC,47.50,47.50,47.50,1600.00
26/11/2018,47.50,ICC,47.50,47.50,47.50,0.00
23/11/2018,47.50,ICC,47.50,47.50,47.50,0.00
22/11/2018,47.50,ICC,47.50,47.50,47.50,0.00
21/11/2018,47.50,ICC,47.50,47.50,47.50,0.00
20/11/2018,47.50,ICC,47.50,47.50,47.50,0.00
19/11/2018,47.00,ICC,47.50,47.50,47.00,1400.00
16/11/2018,47.50,ICC,47.50,47.50,47.50,2400.00
15/11/2018,47.50,ICC,48.00,48.00,47.50,2400.00
14/11/2018,46.50,ICC,47.00,47.00,46.50,4600.00
13/11/2018,51.90,ICC,54.50,54.50,47.00,4000.00
12/11/2018,47.00,ICC,49.90,49.90,47.00,1500.00
09/11/2018,47.50,ICC,47.50,47.50,47.50,300.00
08/11/2018,47.50,ICC,47.60,47.60,47.50,1000.00
07/11/2018,47.50,ICC,47.50,47.50,47.50,700.00
06/11/2018,47.10,ICC,47.10,47.10,47.10,0.00
05/11/2018,47.10,ICC,47.50,47.50,47.10,4200.00
02/11/2018,48.50,ICC,48.50,48.50,48.50,0.00
01/11/2018,48.50,ICC,48.50,48.50,48.50,500.00
31/10/2018,48.40,ICC,48.50,48.50,48.40,700.00
30/10/2018,48.50,ICC,48.50,48.50,48.50,700.00
29/10/2018,48.50,ICC,48.60,48.60,48.50,1100.00
26/10/2018,48.60,ICC,48.50,48.60,48.50,200.00
25/10/2018,48.00,ICC,48.00,48.00,48.00,200.00
24/10/2018,48.60,ICC,48.60,48.60,48.60,0.00
23/10/2018,48.60,ICC,48.60,48.60,48.60,0.00
22/10/2018,48.60,ICC,48.60,48.60,48.60,130.00
19/10/2018,47.70,ICC,47.70,47.70,47.70,0.00
18/10/2018,47.70,ICC,47.70,47.70,47.70,0.00
17/10/2018,47.70,ICC,47.70,47.70,47.70,100.00
16/10/2018,54.00,ICC,54.00,54.00,54.00,800.00
15/10/2018,53.80,ICC,53.80,53.80,53.80,28.00
12/10/2018,48.20,ICC,54.00,54.00,48.20,2800.00
11/10/2018,54.00,ICC,54.00,54.00,54.00,1800.00
10/10/2018,54.00,ICC,54.00,54.00,54.00,2110.00
09/10/2018,53.90,ICC,53.90,53.90,53.90,100.00
08/10/2018,47.00,ICC,47.00,47.00,47.00,100.00
05/10/2018,54.00,ICC,60.00,60.00,54.00,1000.00
04/10/2018,54.00,ICC,54.00,54.00,54.00,1100.00
03/10/2018,54.00,ICC,54.00,54.00,54.00,330.00
02/10/2018,54.00,ICC,54.00,54.00,54.00,1400.00
01/10/2018,54.00,ICC,54.30,54.30,54.00,1800.00
28/09/2018,54.30,ICC,54.20,54.30,54.20,700.00
27/09/2018,54.20,ICC,54.10,54.20,54.10,1000.00
26/09/2018,54.10,ICC,54.20,55.00,54.10,6400.00
25/09/2018,54.10,ICC,54.20,54.20,54.10,3800.00
24/09/2018,54.10,ICC,54.10,54.20,54.10,14900.00
21/09/2018,52.00,ICC,54.10,54.10,52.00,2100.00
20/09/2018,58.00,ICC,54.00,59.00,54.00,2300.00
19/09/2018,60.00,ICC,59.00,60.00,59.00,4600.00
18/09/2018,59.00,ICC,59.50,59.50,59.00,7100.00
17/09/2018,59.10,ICC,58.60,60.00,58.60,13198.00
14/09/2018,52.50,ICC,52.00,52.50,52.00,200.00
13/09/2018,51.00,ICC,51.00,51.00,51.00,100.00
12/09/2018,51.00,ICC,51.00,51.00,51.00,0.00
11/09/2018,51.00,ICC,51.00,51.00,51.00,0.00
10/09/2018,51.00,ICC,51.00,51.00,51.00,0.00
07/09/2018,51.00,ICC,51.00,51.00,51.00,0.00
06/09/2018,51.00,ICC,51.00,51.00,51.00,100.00
05/09/2018,50.50,ICC,50.50,50.50,50.50,0.00
04/09/2018,50.50,ICC,50.50,50.50,50.50,1300.00
31/08/2018,50.50,ICC,49.00,50.50,49.00,200.00
30/08/2018,57.50,ICC,57.50,57.50,57.50,1298.00
29/08/2018,57.50,ICC,57.50,57.50,57.50,800.00
28/08/2018,50.00,ICC,50.00,50.00,50.00,0.00
27/08/2018,50.00,ICC,50.00,50.00,50.00,1200.00
24/08/2018,50.00,ICC,47.00,50.00,47.00,200.00
23/08/2018,55.00,ICC,55.00,55.00,55.00,2700.00
22/08/2018,55.00,ICC,55.00,55.00,55.00,1400.00
21/08/2018,55.00,ICC,55.00,55.00,55.00,600.00
20/08/2018,55.00,ICC,55.00,55.00,55.00,2700.00
17/08/2018,51.00,ICC,55.00,55.00,51.00,1300.00
