DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,14.20,IFS,14.20,14.20,14.20,0.00
25/04/2019,14.20,IFS,14.20,14.20,14.20,100.00
24/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
23/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
22/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
19/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
18/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
17/04/2019,13.00,IFS,13.00,13.00,13.00,5200.00
16/04/2019,14.20,IFS,12.60,14.20,12.60,700.00
12/04/2019,14.20,IFS,14.20,14.20,14.20,0.00
11/04/2019,14.20,IFS,14.20,14.20,14.20,100.00
10/04/2019,14.00,IFS,14.00,14.00,14.00,0.00
09/04/2019,14.00,IFS,14.00,14.00,14.00,0.00
08/04/2019,14.00,IFS,14.00,14.00,14.00,1010.00
05/04/2019,13.00,IFS,13.00,13.00,13.00,0.00
04/04/2019,13.10,IFS,13.00,13.10,13.00,13500.00
03/04/2019,13.20,IFS,13.20,13.20,13.20,0.00
02/04/2019,13.20,IFS,13.20,13.20,13.20,10.00
01/04/2019,13.00,IFS,12.90,13.80,12.90,2600.00
29/03/2019,13.60,IFS,13.50,13.60,13.50,8900.00
28/03/2019,12.90,IFS,12.90,12.90,12.90,0.00
27/03/2019,12.90,IFS,12.90,12.90,12.90,50.00
26/03/2019,14.00,IFS,12.50,14.00,12.50,420.00
25/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
22/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
21/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
20/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
19/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
18/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
15/03/2019,13.50,IFS,13.50,13.50,13.50,0.00
14/03/2019,13.50,IFS,13.50,13.50,13.50,1500.00
13/03/2019,12.50,IFS,12.50,12.50,12.50,0.00
12/03/2019,12.50,IFS,12.50,12.50,12.50,3.00
11/03/2019,12.50,IFS,12.50,12.50,12.50,200.00
08/03/2019,14.20,IFS,14.20,14.20,14.20,100.00
07/03/2019,14.50,IFS,14.50,14.50,14.50,34.00
06/03/2019,14.50,IFS,14.50,14.50,14.50,0.00
05/03/2019,14.50,IFS,14.50,14.50,14.50,0.00
04/03/2019,14.50,IFS,14.50,14.50,14.50,12.00
01/03/2019,14.50,IFS,14.50,14.50,14.50,0.00
28/02/2019,14.70,IFS,14.50,14.70,14.50,3700.00
27/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
26/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
25/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
22/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
21/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
20/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
19/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
18/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
15/02/2019,12.80,IFS,12.80,12.80,12.80,0.00
14/02/2019,12.80,IFS,12.80,12.80,12.80,210.00
13/02/2019,11.50,IFS,11.50,11.50,11.50,0.00
12/02/2019,11.50,IFS,11.50,11.50,11.50,0.00
11/02/2019,11.50,IFS,11.50,11.50,11.50,2.00
01/02/2019,11.50,IFS,11.50,11.50,11.50,100.00
31/01/2019,11.30,IFS,11.30,11.30,11.30,0.00
30/01/2019,11.30,IFS,11.30,11.30,11.30,0.00
29/01/2019,11.30,IFS,11.30,11.30,11.30,0.00
28/01/2019,11.30,IFS,11.30,11.30,11.30,300.00
25/01/2019,11.30,IFS,11.30,11.30,11.30,0.00
24/01/2019,11.30,IFS,11.30,11.30,11.30,0.00
23/01/2019,11.40,IFS,11.30,11.40,11.30,9120.00
22/01/2019,11.10,IFS,11.10,11.10,11.10,2900.00
21/01/2019,11.10,IFS,11.10,11.10,11.10,100.00
18/01/2019,12.20,IFS,12.20,12.20,12.20,20.00
17/01/2019,12.20,IFS,12.20,12.20,12.20,700.00
16/01/2019,12.00,IFS,12.00,12.00,12.00,100.00
15/01/2019,11.10,IFS,11.10,11.10,11.10,0.00
14/01/2019,11.10,IFS,11.10,11.10,11.10,0.00
11/01/2019,11.10,IFS,11.10,11.10,11.10,0.00
10/01/2019,11.10,IFS,11.10,11.10,11.10,0.00
09/01/2019,11.10,IFS,11.10,11.10,11.10,0.00
08/01/2019,11.10,IFS,11.10,11.10,11.10,200.00
07/01/2019,12.80,IFS,12.80,12.80,12.80,0.00
04/01/2019,12.80,IFS,12.80,12.80,12.80,0.00
03/01/2019,12.80,IFS,12.80,12.80,12.80,100.00
02/01/2019,12.50,IFS,12.50,12.50,12.50,10400.00
28/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
27/12/2018,12.00,IFS,12.00,12.00,12.00,600.00
26/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
25/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
24/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
21/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
20/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
19/12/2018,12.00,IFS,12.00,12.00,12.00,1900.00
18/12/2018,11.00,IFS,11.00,11.00,11.00,0.00
17/12/2018,11.00,IFS,11.00,11.00,11.00,400.00
14/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
13/12/2018,12.00,IFS,12.00,12.00,12.00,10.00
12/12/2018,12.00,IFS,12.00,12.00,12.00,0.00
11/12/2018,12.00,IFS,12.00,12.00,12.00,600.00
10/12/2018,11.50,IFS,11.50,11.50,11.50,5900.00
07/12/2018,11.50,IFS,11.50,11.50,11.50,0.00
06/12/2018,11.50,IFS,11.50,11.50,11.50,0.00
05/12/2018,11.50,IFS,11.50,11.50,11.50,10.00
04/12/2018,11.50,IFS,11.50,11.50,11.50,200.00
03/12/2018,11.50,IFS,11.50,11.50,11.50,0.00
30/11/2018,11.50,IFS,11.50,11.50,11.50,0.00
29/11/2018,11.50,IFS,11.50,11.50,11.50,0.00
28/11/2018,11.50,IFS,11.50,11.50,11.50,0.00
27/11/2018,11.50,IFS,11.50,11.50,11.50,200.00
26/11/2018,11.50,IFS,11.50,11.50,11.50,100.00
23/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
22/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
21/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
20/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
19/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
16/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
15/11/2018,12.50,IFS,12.50,12.50,12.50,0.00
14/11/2018,12.50,IFS,12.50,12.50,12.50,100.00
13/11/2018,10.20,IFS,11.50,11.50,10.20,1110.00
12/11/2018,12.00,IFS,12.00,12.00,12.00,500.00
