DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,51.90,IMP,51.90,52.30,50.90,13490.00
25/04/2019,51.90,IMP,51.90,51.90,51.00,12350.00
24/04/2019,51.90,IMP,51.40,51.90,51.00,12650.00
23/04/2019,51.50,IMP,51.40,51.50,51.40,8520.00
22/04/2019,51.40,IMP,50.50,51.40,50.50,6860.00
19/04/2019,51.00,IMP,51.00,51.00,50.50,6710.00
18/04/2019,51.00,IMP,51.00,51.00,50.50,9720.00
17/04/2019,51.30,IMP,50.50,51.30,50.00,13670.00
16/04/2019,50.80,IMP,51.20,51.20,50.70,160.00
12/04/2019,51.20,IMP,51.30,51.30,50.80,1560.00
11/04/2019,51.20,IMP,50.70,51.20,50.70,2640.00
10/04/2019,50.70,IMP,51.00,51.00,50.60,12810.00
09/04/2019,50.80,IMP,52.00,52.00,50.80,8940.00
08/04/2019,51.40,IMP,50.70,51.60,50.70,4120.00
05/04/2019,50.70,IMP,50.80,51.00,50.70,20980.00
04/04/2019,50.80,IMP,50.70,50.80,50.70,820.00
03/04/2019,50.70,IMP,51.50,52.50,50.70,26020.00
02/04/2019,51.50,IMP,51.60,52.10,51.50,7340.00
01/04/2019,51.50,IMP,53.10,53.10,51.50,11300.00
29/03/2019,53.00,IMP,54.20,54.20,52.80,33330.00
28/03/2019,53.00,IMP,51.60,53.00,50.50,51930.00
27/03/2019,51.60,IMP,50.30,51.60,50.00,21620.00
26/03/2019,50.70,IMP,50.60,51.20,50.60,6440.00
25/03/2019,51.20,IMP,51.50,51.50,50.70,6760.00
22/03/2019,52.00,IMP,51.50,52.00,51.30,31240.00
21/03/2019,51.50,IMP,52.00,52.00,51.00,18800.00
20/03/2019,52.00,IMP,52.00,52.00,51.20,5380.00
19/03/2019,52.00,IMP,52.10,52.10,51.10,16740.00
18/03/2019,51.50,IMP,52.50,52.50,51.50,22090.00
15/03/2019,52.50,IMP,52.50,52.70,52.00,18690.00
14/03/2019,52.50,IMP,51.70,52.90,51.00,25350.00
13/03/2019,50.70,IMP,50.10,52.00,50.00,115010.00
12/03/2019,50.20,IMP,50.40,50.70,50.20,25540.00
11/03/2019,50.20,IMP,50.60,50.60,50.10,20350.00
08/03/2019,50.40,IMP,50.50,50.90,50.20,54340.00
07/03/2019,50.30,IMP,51.00,51.30,50.30,34050.00
06/03/2019,51.00,IMP,51.40,51.80,50.30,12960.00
05/03/2019,51.40,IMP,50.90,51.40,50.30,25580.00
04/03/2019,50.60,IMP,51.90,51.90,50.60,25180.00
01/03/2019,51.90,IMP,49.70,51.90,49.60,8190.00
28/02/2019,49.70,IMP,50.00,50.00,49.70,2090.00
27/02/2019,49.70,IMP,49.45,49.70,48.80,2520.00
26/02/2019,49.00,IMP,49.80,50.50,48.90,22620.00
25/02/2019,50.00,IMP,50.60,50.60,49.80,12000.00
22/02/2019,50.00,IMP,49.90,50.90,49.90,12240.00
21/02/2019,49.90,IMP,50.90,50.90,49.90,9420.00
20/02/2019,49.90,IMP,50.10,50.10,49.90,14910.00
19/02/2019,50.00,IMP,51.00,52.00,50.00,26750.00
18/02/2019,50.00,IMP,50.50,50.50,49.80,6620.00
15/02/2019,49.80,IMP,50.00,50.00,49.80,670.00
14/02/2019,49.80,IMP,50.00,50.10,49.70,4390.00
13/02/2019,50.00,IMP,49.50,50.10,49.50,2890.00
12/02/2019,50.00,IMP,50.50,50.60,50.00,8250.00
11/02/2019,50.50,IMP,50.50,50.60,50.50,2400.00
01/02/2019,50.50,IMP,49.85,50.50,49.80,240.00
31/01/2019,49.90,IMP,50.00,50.00,49.90,1620.00
30/01/2019,50.00,IMP,50.10,50.10,49.95,7330.00
29/01/2019,50.00,IMP,50.80,50.80,49.75,1260.00
28/01/2019,50.00,IMP,49.80,50.00,49.80,1730.00
25/01/2019,49.80,IMP,50.00,50.00,49.80,1230.00
24/01/2019,49.90,IMP,50.00,50.00,49.90,8810.00
23/01/2019,50.00,IMP,51.90,53.50,49.80,5510.00
22/01/2019,50.00,IMP,50.20,50.20,49.90,2550.00
21/01/2019,49.90,IMP,51.00,51.00,49.80,7530.00
18/01/2019,51.90,IMP,50.40,51.90,50.00,9150.00
17/01/2019,50.40,IMP,50.40,50.40,50.40,3000.00
16/01/2019,51.30,IMP,51.10,52.00,50.10,11280.00
15/01/2019,51.10,IMP,53.00,53.00,50.60,11690.00
14/01/2019,53.00,IMP,53.20,53.30,51.00,12160.00
11/01/2019,53.10,IMP,54.00,54.10,53.10,5190.00
10/01/2019,54.00,IMP,54.30,54.50,54.00,3050.00
09/01/2019,57.00,IMP,55.00,57.00,54.10,11000.00
08/01/2019,58.00,IMP,54.50,58.00,54.50,16630.00
07/01/2019,58.00,IMP,56.00,58.00,54.50,7040.00
04/01/2019,58.00,IMP,59.70,59.70,56.70,25560.00
03/01/2019,59.70,IMP,58.60,59.70,58.00,7520.00
02/01/2019,60.00,IMP,60.90,60.90,59.50,6540.00
28/12/2018,60.90,IMP,59.00,60.90,59.00,164070.00
27/12/2018,60.10,IMP,58.50,60.30,58.50,45580.00
26/12/2018,60.30,IMP,60.00,60.30,59.80,13480.00
25/12/2018,60.40,IMP,58.50,60.40,58.50,8390.00
24/12/2018,60.40,IMP,58.50,60.40,58.50,9130.00
21/12/2018,59.90,IMP,58.00,59.90,58.00,16420.00
20/12/2018,58.90,IMP,57.90,58.90,57.90,20000.00
19/12/2018,58.00,IMP,57.50,58.00,56.20,17080.00
18/12/2018,58.00,IMP,57.90,58.00,57.90,15010.00
17/12/2018,57.90,IMP,57.80,57.90,57.00,8990.00
14/12/2018,57.80,IMP,56.00,57.80,56.00,18020.00
13/12/2018,57.00,IMP,56.40,57.00,56.00,27320.00
12/12/2018,56.40,IMP,55.90,56.50,55.90,15350.00
11/12/2018,56.00,IMP,54.90,56.00,54.90,12890.00
10/12/2018,54.80,IMP,55.90,55.90,54.70,620.00
07/12/2018,56.00,IMP,53.40,56.00,53.30,6750.00
06/12/2018,55.00,IMP,53.30,55.00,53.30,4760.00
05/12/2018,53.20,IMP,55.80,55.80,53.10,50.00
04/12/2018,56.00,IMP,56.00,56.00,52.90,16110.00
03/12/2018,56.00,IMP,53.50,56.00,53.50,67010.00
30/11/2018,53.80,IMP,52.50,53.80,52.50,23800.00
29/11/2018,52.50,IMP,51.00,52.50,51.00,31210.00
28/11/2018,51.00,IMP,50.80,51.90,50.80,31910.00
27/11/2018,50.50,IMP,50.50,51.00,50.50,17050.00
26/11/2018,50.50,IMP,50.80,50.80,50.50,4020.00
23/11/2018,50.50,IMP,50.20,50.90,50.20,31010.00
22/11/2018,50.90,IMP,50.30,50.90,50.30,3660.00
21/11/2018,50.90,IMP,50.50,51.10,50.30,4710.00
20/11/2018,51.00,IMP,51.40,51.40,51.00,1910.00
19/11/2018,50.60,IMP,51.00,51.00,50.50,7440.00
16/11/2018,51.00,IMP,51.00,51.00,51.00,200.00
15/11/2018,51.00,IMP,50.50,51.00,50.50,1930.00
14/11/2018,50.50,IMP,51.40,51.50,50.50,410.00
13/11/2018,50.50,IMP,50.50,50.60,50.50,18340.00
12/11/2018,50.40,IMP,51.00,51.00,50.40,2420.00
09/11/2018,51.00,IMP,50.10,51.00,50.10,270.00
08/11/2018,51.20,IMP,50.70,51.20,50.70,2330.00
07/11/2018,50.70,IMP,51.90,51.90,50.70,200.00
06/11/2018,51.90,IMP,51.00,51.90,51.00,80.00
05/11/2018,50.60,IMP,50.60,50.60,50.60,270.00
02/11/2018,51.00,IMP,51.00,51.00,51.00,2450.00
01/11/2018,52.00,IMP,50.60,52.00,50.60,4760.00
31/10/2018,52.00,IMP,51.90,52.00,51.90,10010.00
30/10/2018,51.50,IMP,51.70,51.90,50.30,24060.00
29/10/2018,51.90,IMP,51.00,51.90,50.40,31410.00
26/10/2018,52.00,IMP,51.00,52.90,51.00,20010.00
