DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
28/02/2012,2.00,IMT,1.90,2.00,1.90,14500.00
27/02/2012,1.90,IMT,1.70,1.90,1.70,4700.00
24/02/2012,1.80,IMT,1.80,1.80,1.80,12300.00
23/02/2012,2.00,IMT,2.00,2.00,2.00,15500.00
22/02/2012,2.20,IMT,2.10,2.20,2.10,5000.00
21/02/2012,2.30,IMT,2.30,2.30,2.30,700.00
20/02/2012,2.50,IMT,2.50,2.50,2.50,100.00
17/02/2012,2.30,IMT,2.30,2.30,2.30,100.00
16/02/2012,2.10,IMT,2.10,2.10,2.10,200.00
15/02/2012,2.30,IMT,2.30,2.30,2.30,100.00
14/02/2012,2.10,IMT,2.10,2.10,2.10,0.00
13/02/2012,2.30,IMT,2.30,2.30,2.30,100.00
10/02/2012,2.00,IMT,2.30,2.30,2.00,300.00
09/02/2012,2.00,IMT,2.40,2.40,2.00,2200.00
08/02/2012,2.20,IMT,2.20,2.20,2.20,200.00
07/02/2012,2.40,IMT,2.40,2.40,2.40,100.00
06/02/2012,2.20,IMT,2.20,2.20,2.20,200.00
03/02/2012,2.40,IMT,2.60,2.60,2.20,400.00
02/02/2012,2.50,IMT,2.20,2.50,2.20,400.00
01/02/2012,2.30,IMT,2.30,2.50,2.30,600.00
31/01/2012,2.50,IMT,2.40,2.70,2.30,600.00
30/01/2012,2.50,IMT,2.50,2.50,2.50,0.00
20/01/2012,2.50,IMT,2.50,2.50,2.50,600.00
19/01/2012,2.70,IMT,2.70,2.70,2.70,100.00
18/01/2012,2.50,IMT,2.50,2.50,2.50,100.00
17/01/2012,2.30,IMT,2.30,2.30,2.30,100.00
16/01/2012,2.40,IMT,2.40,2.40,2.00,1300.00
13/01/2012,2.20,IMT,2.20,2.20,2.20,7200.00
12/01/2012,2.00,IMT,2.00,2.00,2.00,6000.00
11/01/2012,2.40,IMT,2.40,2.40,2.00,1100.00
10/01/2012,2.20,IMT,2.20,2.20,2.20,0.00
09/01/2012,2.10,IMT,2.50,2.50,2.10,300.00
06/01/2012,2.30,IMT,2.30,2.30,2.30,600.00
05/01/2012,2.10,IMT,2.10,2.10,2.10,0.00
04/01/2012,2.10,IMT,2.50,2.50,2.10,2800.00
03/01/2012,2.20,IMT,2.60,2.60,2.20,400.00
30/12/2011,2.40,IMT,2.40,2.40,2.40,3800.00
29/12/2011,2.50,IMT,2.90,2.90,2.50,600.00
28/12/2011,2.70,IMT,2.70,2.70,2.70,200.00
27/12/2011,2.90,IMT,2.90,2.90,2.90,100.00
26/12/2011,3.20,IMT,3.20,3.20,3.20,0.00
23/12/2011,3.20,IMT,3.20,3.20,3.20,0.00
