DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,110.40,IN4,110.40,110.40,110.40,100.00
25/04/2019,96.00,IN4,96.00,96.00,96.00,0.00
24/04/2019,96.00,IN4,96.00,96.00,96.00,100.00
23/04/2019,96.20,IN4,96.20,96.20,96.20,0.00
22/04/2019,88.00,IN4,104.40,104.40,88.00,200.00
19/04/2019,90.80,IN4,90.80,90.80,90.80,100.00
18/04/2019,79.00,IN4,79.00,79.00,79.00,4200.00
17/04/2019,79.00,IN4,79.00,79.00,79.00,1800.00
16/04/2019,92.20,IN4,92.20,92.20,92.20,0.00
12/04/2019,92.20,IN4,92.20,92.20,92.20,0.00
11/04/2019,92.20,IN4,92.20,92.20,92.20,0.00
10/04/2019,92.20,IN4,92.20,92.20,92.20,0.00
09/04/2019,92.20,IN4,92.20,92.20,92.20,100.00
08/04/2019,80.20,IN4,80.20,80.20,80.20,200.00
05/04/2019,94.30,IN4,94.30,94.30,94.30,100.00
04/04/2019,82.00,IN4,82.00,82.00,82.00,0.00
03/04/2019,82.00,IN4,82.00,82.00,82.00,0.00
02/04/2019,82.00,IN4,82.00,82.00,82.00,600.00
01/04/2019,96.40,IN4,96.40,96.40,96.40,100.00
29/03/2019,83.90,IN4,83.90,83.90,83.90,0.00
28/03/2019,83.90,IN4,83.90,83.90,83.90,0.00
27/03/2019,83.90,IN4,83.90,83.90,83.90,100.00
26/03/2019,73.00,IN4,73.00,73.00,73.00,3000.00
25/03/2019,73.00,IN4,98.30,98.30,73.00,300.00
22/03/2019,85.50,IN4,85.50,85.50,85.50,0.00
21/03/2019,85.50,IN4,85.50,85.50,85.50,0.00
20/03/2019,85.50,IN4,85.50,85.50,85.50,0.00
19/03/2019,85.50,IN4,85.50,85.50,85.50,0.00
18/03/2019,85.50,IN4,85.50,85.50,85.50,100.00
15/03/2019,79.50,IN4,59.00,79.80,59.00,600.00
14/03/2019,72.00,IN4,67.00,72.00,67.00,500.00
13/03/2019,64.00,IN4,62.00,64.00,62.00,200.00
12/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
11/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
08/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
07/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
06/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
05/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
04/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
01/03/2019,57.00,IN4,57.00,57.00,57.00,0.00
28/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
27/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
26/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
25/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
22/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
21/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
20/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
19/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
18/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
15/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
14/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
13/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
12/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
11/02/2019,57.00,IN4,57.00,57.00,57.00,0.00
01/02/2019,57.00,IN4,57.00,57.00,57.00,100.00
31/01/2019,58.00,IN4,58.00,58.00,58.00,0.00
30/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
29/01/2019,52.60,IN4,52.60,52.60,52.60,100.00
28/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
25/01/2019,58.00,IN4,58.00,58.00,58.00,0.00
24/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
23/01/2019,52.30,IN4,52.30,52.30,52.30,100.00
22/01/2019,58.00,IN4,58.00,58.00,58.00,0.00
21/01/2019,58.00,IN4,58.00,58.00,58.00,0.00
18/01/2019,58.00,IN4,58.00,58.00,58.00,0.00
17/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
16/01/2019,57.60,IN4,57.60,57.60,57.60,0.00
15/01/2019,57.60,IN4,57.60,57.60,57.60,100.00
14/01/2019,57.60,IN4,57.60,57.60,57.60,0.00
11/01/2019,57.60,IN4,57.60,57.60,57.60,0.00
10/01/2019,57.60,IN4,57.60,57.60,57.60,0.00
09/01/2019,65.80,IN4,49.30,65.80,49.30,200.00
08/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
07/01/2019,58.00,IN4,58.00,58.00,58.00,100.00
04/01/2019,52.20,IN4,52.20,52.20,52.20,100.00
03/01/2019,58.60,IN4,58.60,58.60,58.60,100.00
02/01/2019,58.60,IN4,58.60,58.60,58.60,100.00
28/12/2018,51.10,IN4,51.10,51.10,51.10,100.00
27/12/2018,59.00,IN4,59.00,59.00,59.00,100.00
26/12/2018,53.50,IN4,53.50,53.50,53.50,100.00
25/12/2018,62.90,IN4,62.90,62.90,62.90,100.00
24/12/2018,54.70,IN4,54.70,54.70,54.70,100.00
21/12/2018,47.60,IN4,47.60,47.60,47.60,100.00
20/12/2018,50.60,IN4,50.60,50.60,50.60,100.00
19/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
18/12/2018,59.00,IN4,59.00,59.00,59.00,100.00
17/12/2018,57.70,IN4,57.70,57.70,57.70,0.00
14/12/2018,57.70,IN4,57.70,57.70,57.70,100.00
13/12/2018,67.80,IN4,67.80,67.80,67.80,100.00
12/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
11/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
10/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
07/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
06/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
05/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
04/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
03/12/2018,59.00,IN4,59.00,59.00,59.00,0.00
30/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
29/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
28/11/2018,59.00,IN4,59.00,59.00,59.00,100.00
27/11/2018,57.70,IN4,57.70,57.70,57.70,100.00
26/11/2018,50.20,IN4,50.20,50.20,50.20,0.00
23/11/2018,50.20,IN4,50.20,50.20,50.20,100.00
22/11/2018,59.00,IN4,59.00,59.00,59.00,100.00
21/11/2018,57.70,IN4,57.70,57.70,57.70,100.00
20/11/2018,50.20,IN4,50.20,50.20,50.20,0.00
19/11/2018,50.20,IN4,50.20,50.20,50.20,0.00
16/11/2018,50.20,IN4,50.20,50.20,50.20,100.00
15/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
14/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
13/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
12/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
09/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
08/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
07/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
06/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
05/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
02/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
01/11/2018,59.00,IN4,59.00,59.00,59.00,0.00
31/10/2018,59.00,IN4,59.00,59.00,59.00,0.00
30/10/2018,59.00,IN4,59.00,59.00,59.00,0.00
29/10/2018,59.00,IN4,59.00,59.00,59.00,0.00
26/10/2018,59.00,IN4,59.00,59.00,59.00,100.00
25/10/2018,56.30,IN4,56.30,56.30,56.30,100.00
24/10/2018,49.00,IN4,49.00,49.00,49.00,0.00
23/10/2018,49.00,IN4,49.00,49.00,49.00,100.00
22/10/2018,57.20,IN4,57.20,57.20,57.20,100.00
19/10/2018,49.80,IN4,49.80,49.80,49.80,0.00
18/10/2018,50.80,IN4,50.80,50.80,50.80,0.00
17/10/2018,50.80,IN4,50.80,50.80,50.80,100.00
16/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
15/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
12/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
11/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
10/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
09/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
08/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
05/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
04/10/2018,59.60,IN4,59.60,59.60,59.60,0.00
03/10/2018,59.60,IN4,59.60,59.60,59.60,100.00
02/10/2018,51.90,IN4,51.90,51.90,51.90,0.00
01/10/2018,51.90,IN4,51.90,51.90,51.90,0.00
28/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
27/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
26/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
25/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
24/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
21/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
20/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
19/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
18/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
17/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
14/09/2018,51.90,IN4,51.90,51.90,51.90,0.00
