DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,34.00,INN,34.20,34.20,34.00,1100.00
25/04/2019,33.90,INN,34.50,34.50,33.00,11700.00
24/04/2019,33.90,INN,36.50,36.50,33.00,20340.00
23/04/2019,34.00,INN,33.00,36.00,33.00,14750.00
22/04/2019,33.00,INN,32.90,33.00,32.50,9300.00
19/04/2019,33.00,INN,32.00,33.50,32.00,6300.00
18/04/2019,32.00,INN,33.90,33.90,32.00,4320.00
17/04/2019,32.50,INN,33.30,33.30,31.70,6440.00
16/04/2019,32.00,INN,32.40,32.40,31.50,2900.00
12/04/2019,31.50,INN,32.40,32.40,29.50,2800.00
11/04/2019,30.40,INN,30.40,30.40,30.40,0.00
10/04/2019,30.40,INN,32.50,32.50,30.00,16400.00
09/04/2019,30.40,INN,30.40,30.40,30.40,1100.00
08/04/2019,30.50,INN,30.50,30.50,30.10,1100.00
05/04/2019,33.00,INN,33.00,33.00,33.00,100.00
04/04/2019,30.50,INN,30.30,30.50,30.00,8100.00
03/04/2019,30.50,INN,30.00,30.50,30.00,1100.00
02/04/2019,30.50,INN,31.00,32.00,30.50,3700.00
01/04/2019,29.90,INN,29.90,29.90,29.90,100.00
29/03/2019,30.00,INN,30.00,30.10,30.00,5500.00
28/03/2019,30.50,INN,30.00,30.50,29.60,12560.00
27/03/2019,30.50,INN,30.50,30.50,30.50,0.00
26/03/2019,30.50,INN,30.00,30.50,30.00,3700.00
25/03/2019,30.40,INN,30.00,30.40,30.00,5200.00
22/03/2019,30.00,INN,30.00,30.00,30.00,1650.00
21/03/2019,30.50,INN,30.50,30.50,30.10,3800.00
20/03/2019,30.50,INN,30.10,30.50,30.10,300.00
19/03/2019,30.40,INN,30.50,30.50,30.40,1100.00
18/03/2019,30.50,INN,30.50,30.50,30.50,1200.00
15/03/2019,30.50,INN,30.00,30.50,30.00,8300.00
14/03/2019,30.50,INN,31.90,31.90,30.50,21420.00
13/03/2019,31.00,INN,32.00,32.00,31.00,16220.00
12/03/2019,32.00,INN,32.00,32.30,32.00,12136.00
11/03/2019,32.40,INN,32.00,32.50,31.50,15340.00
08/03/2019,32.50,INN,32.50,32.50,32.50,5820.00
07/03/2019,32.50,INN,32.00,35.00,32.00,26490.00
06/03/2019,32.00,INN,32.00,32.00,31.50,16500.00
05/03/2019,32.00,INN,31.00,32.00,30.70,36800.00
04/03/2019,31.00,INN,31.00,31.00,31.00,3000.00
01/03/2019,31.50,INN,29.40,32.20,29.40,3910.00
28/02/2019,29.40,INN,29.00,29.40,29.00,3600.00
27/02/2019,29.50,INN,30.00,30.00,29.50,5200.00
26/02/2019,30.00,INN,30.40,30.80,30.00,25400.00
25/02/2019,30.50,INN,30.30,30.50,30.00,8300.00
22/02/2019,30.50,INN,29.50,31.50,29.50,17200.00
21/02/2019,29.80,INN,29.90,29.90,28.70,4920.00
20/02/2019,30.00,INN,28.60,30.00,28.50,28200.00
19/02/2019,28.60,INN,28.70,28.90,28.50,18900.00
18/02/2019,28.50,INN,28.70,28.80,28.50,11770.00
15/02/2019,28.80,INN,28.80,29.00,28.20,5500.00
14/02/2019,28.80,INN,28.80,28.80,28.10,4500.00
13/02/2019,28.80,INN,28.80,28.80,28.80,1600.00
12/02/2019,28.90,INN,28.90,29.00,28.90,7620.00
11/02/2019,29.00,INN,28.90,29.00,28.90,4520.00
01/02/2019,29.00,INN,29.00,29.00,29.00,8800.00
31/01/2019,29.30,INN,28.50,29.30,27.70,14500.00
30/01/2019,28.60,INN,29.50,29.60,28.00,26800.00
29/01/2019,29.50,INN,29.40,29.50,29.40,4100.00
28/01/2019,29.40,INN,29.40,29.40,29.40,0.00
25/01/2019,29.40,INN,29.00,29.40,29.00,14420.00
24/01/2019,29.50,INN,28.90,29.50,28.90,22179.00
23/01/2019,29.00,INN,29.00,29.00,29.00,3080.00
22/01/2019,29.00,INN,29.00,29.00,28.90,5700.00
21/01/2019,29.00,INN,29.00,29.00,29.00,5217.00
18/01/2019,29.00,INN,29.10,29.10,29.00,3900.00
17/01/2019,29.80,INN,29.80,29.80,29.80,32.00
16/01/2019,29.80,INN,29.40,29.80,29.40,700.00
15/01/2019,29.40,INN,29.40,29.40,29.30,1300.00
14/01/2019,29.30,INN,29.30,29.30,29.30,0.00
11/01/2019,29.30,INN,29.30,29.30,29.30,300.00
10/01/2019,29.50,INN,29.50,29.50,29.50,1000.00
09/01/2019,29.50,INN,29.50,29.50,29.50,133.00
08/01/2019,29.10,INN,29.10,29.10,29.10,1300.00
07/01/2019,29.10,INN,29.00,29.10,28.90,1051.00
04/01/2019,28.50,INN,28.90,29.00,28.50,1600.00
03/01/2019,28.50,INN,29.00,29.90,28.50,5200.00
02/01/2019,29.90,INN,29.00,29.90,29.00,4100.00
28/12/2018,29.90,INN,29.10,29.90,28.20,3920.00
27/12/2018,29.90,INN,29.90,29.90,29.90,602.00
26/12/2018,29.90,INN,29.00,29.90,29.00,1100.00
25/12/2018,29.90,INN,30.00,30.00,29.60,3330.00
24/12/2018,30.00,INN,31.00,31.00,30.00,5800.00
21/12/2018,31.00,INN,31.40,31.40,31.00,800.00
20/12/2018,31.30,INN,31.40,31.40,31.00,3400.00
19/12/2018,31.30,INN,32.00,32.00,30.90,1000.00
18/12/2018,31.20,INN,30.50,31.20,30.50,200.00
17/12/2018,32.40,INN,32.40,32.40,32.40,100.00
14/12/2018,31.00,INN,31.50,31.60,31.00,19600.00
13/12/2018,31.70,INN,31.50,31.70,31.40,6210.00
12/12/2018,31.80,INN,32.30,32.30,31.50,8600.00
11/12/2018,31.90,INN,33.00,35.20,31.50,6840.00
10/12/2018,32.00,INN,31.50,32.00,31.50,11330.00
07/12/2018,32.90,INN,31.20,32.90,31.20,300.00
06/12/2018,33.90,INN,33.90,33.90,33.90,0.00
05/12/2018,33.90,INN,33.00,33.90,33.00,1300.00
04/12/2018,34.00,INN,34.00,34.00,34.00,100.00
03/12/2018,33.00,INN,31.30,33.00,31.30,800.00
30/11/2018,33.70,INN,33.90,33.90,33.60,3100.00
29/11/2018,32.50,INN,34.00,34.00,32.00,500.00
28/11/2018,32.50,INN,34.00,34.00,32.50,200.00
27/11/2018,32.50,INN,34.00,34.50,31.00,13300.00
26/11/2018,32.50,INN,34.00,34.50,32.50,4700.00
23/11/2018,33.90,INN,35.60,35.60,32.40,3100.00
22/11/2018,32.40,INN,32.50,32.50,32.40,1100.00
21/11/2018,33.00,INN,34.00,35.00,33.00,4000.00
20/11/2018,33.50,INN,33.50,33.50,33.50,400.00
19/11/2018,33.50,INN,32.50,34.00,32.50,3511.00
16/11/2018,32.50,INN,32.50,32.50,32.50,100.00
15/11/2018,33.00,INN,32.10,33.00,32.10,600.00
14/11/2018,33.50,INN,33.00,33.50,32.00,1211.00
13/11/2018,34.50,INN,34.50,34.50,33.00,7200.00
12/11/2018,34.80,INN,34.80,34.80,34.80,100.00
09/11/2018,34.80,INN,35.00,35.80,34.80,1700.00
08/11/2018,35.00,INN,38.00,38.00,34.00,5800.00
07/11/2018,35.00,INN,35.00,35.00,35.00,0.00
06/11/2018,35.00,INN,33.50,35.50,32.50,1500.00
05/11/2018,32.90,INN,32.00,33.20,32.00,1600.00
02/11/2018,33.40,INN,32.10,33.40,32.00,1700.00
01/11/2018,34.30,INN,34.80,34.80,31.60,1200.00
31/10/2018,34.80,INN,31.00,35.00,31.00,17400.00
