DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.70,ITC,12.50,12.70,12.50,5070.00
25/04/2019,12.60,ITC,12.60,12.60,12.60,1940.00
24/04/2019,12.80,ITC,12.60,12.80,12.30,96080.00
23/04/2019,12.60,ITC,12.30,12.70,12.30,28190.00
22/04/2019,12.50,ITC,12.70,12.80,12.50,62990.00
19/04/2019,12.60,ITC,12.60,12.60,12.60,29440.00
18/04/2019,12.50,ITC,12.65,12.65,12.00,82820.00
17/04/2019,12.60,ITC,12.60,12.70,12.60,20230.00
16/04/2019,12.60,ITC,12.00,12.60,12.00,1560.00
12/04/2019,12.00,ITC,12.80,12.80,11.90,20040.00
11/04/2019,12.00,ITC,12.60,12.60,12.00,10550.00
10/04/2019,12.60,ITC,12.60,12.70,12.30,3550.00
09/04/2019,12.70,ITC,12.30,12.70,12.30,4690.00
08/04/2019,12.60,ITC,12.60,12.60,12.60,180.00
05/04/2019,12.90,ITC,12.90,13.00,12.40,126570.00
04/04/2019,12.50,ITC,12.30,12.50,12.30,5500.00
03/04/2019,12.40,ITC,12.50,12.50,12.40,1300.00
02/04/2019,12.30,ITC,11.90,12.60,11.90,7960.00
01/04/2019,12.10,ITC,12.60,12.60,12.00,2210.00
29/03/2019,12.80,ITC,12.80,12.80,12.80,3560.00
28/03/2019,13.00,ITC,13.50,13.50,12.95,256690.00
27/03/2019,12.75,ITC,13.90,13.90,12.75,5760.00
26/03/2019,13.70,ITC,13.50,13.80,13.50,101570.00
25/03/2019,13.70,ITC,13.70,13.70,13.70,200.00
22/03/2019,13.50,ITC,13.70,13.70,13.30,3350.00
21/03/2019,13.70,ITC,14.20,14.20,13.70,2710.00
20/03/2019,14.25,ITC,14.45,14.45,13.70,11460.00
19/03/2019,13.60,ITC,13.70,13.70,13.50,6530.00
18/03/2019,13.50,ITC,13.50,13.50,13.30,15850.00
15/03/2019,13.50,ITC,13.70,13.70,13.50,970.00
14/03/2019,13.50,ITC,13.70,13.70,13.30,11270.00
13/03/2019,13.70,ITC,13.60,13.70,13.60,90.00
12/03/2019,13.60,ITC,13.00,13.60,13.00,65720.00
11/03/2019,13.45,ITC,13.45,13.45,13.45,0.00
08/03/2019,13.45,ITC,13.45,13.45,13.45,20.00
07/03/2019,13.45,ITC,13.10,13.45,13.10,54000.00
06/03/2019,13.20,ITC,13.00,13.20,13.00,128000.00
05/03/2019,13.00,ITC,13.50,13.50,12.80,86390.00
04/03/2019,12.80,ITC,12.60,13.05,12.60,126690.00
01/03/2019,12.20,ITC,12.20,12.30,12.00,115590.00
28/02/2019,12.00,ITC,12.30,12.30,12.00,100120.00
27/02/2019,12.30,ITC,12.20,12.30,12.20,58000.00
26/02/2019,12.20,ITC,11.90,12.20,11.90,194050.00
25/02/2019,11.80,ITC,11.80,11.90,11.80,7700.00
22/02/2019,11.90,ITC,11.90,11.90,11.90,0.00
21/02/2019,11.90,ITC,11.85,11.90,11.85,7210.00
20/02/2019,11.85,ITC,11.85,11.85,11.85,300.00
19/02/2019,12.30,ITC,12.40,12.40,12.20,142000.00
18/02/2019,12.40,ITC,12.40,12.40,12.40,0.00
15/02/2019,12.40,ITC,12.40,12.40,12.40,700.00
14/02/2019,12.30,ITC,11.70,12.30,11.70,4000.00
13/02/2019,12.50,ITC,12.20,12.50,12.20,2100.00
12/02/2019,12.00,ITC,11.50,12.00,11.50,97650.00
11/02/2019,11.80,ITC,11.70,11.80,11.70,1300.00
01/02/2019,11.50,ITC,11.50,11.70,11.50,50000.00
31/01/2019,11.50,ITC,11.05,11.70,11.05,94010.00
30/01/2019,11.60,ITC,12.40,12.40,11.60,51010.00
29/01/2019,11.70,ITC,11.60,11.70,11.60,50000.00
28/01/2019,11.70,ITC,11.80,11.80,11.60,14310.00
25/01/2019,11.70,ITC,11.90,11.90,11.70,103000.00
24/01/2019,12.05,ITC,11.75,12.05,11.75,62550.00
23/01/2019,11.75,ITC,11.50,11.75,11.50,750.00
22/01/2019,11.00,ITC,11.00,11.00,11.00,1000.00
21/01/2019,11.80,ITC,11.80,11.80,11.80,10700.00
18/01/2019,11.80,ITC,11.80,11.80,11.80,0.00
17/01/2019,11.80,ITC,11.80,11.80,11.80,10000.00
16/01/2019,11.80,ITC,11.80,11.80,11.80,8400.00
