DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,11.70,ITD,11.60,11.90,11.55,13160.00
25/04/2019,11.90,ITD,11.60,12.20,11.60,44530.00
24/04/2019,11.60,ITD,12.10,12.20,11.60,7880.00
23/04/2019,11.50,ITD,11.90,11.90,11.50,20910.00
22/04/2019,11.90,ITD,11.70,12.00,11.50,32700.00
19/04/2019,11.70,ITD,11.50,12.30,11.50,10070.00
18/04/2019,11.50,ITD,11.70,11.95,11.50,57260.00
17/04/2019,11.80,ITD,11.80,12.10,11.60,16380.00
16/04/2019,11.90,ITD,12.20,12.20,11.90,67950.00
12/04/2019,12.20,ITD,12.20,12.20,12.15,4740.00
11/04/2019,12.15,ITD,12.15,12.20,12.00,5450.00
10/04/2019,12.00,ITD,12.10,12.10,11.50,26750.00
09/04/2019,12.10,ITD,12.40,12.40,12.10,9650.00
08/04/2019,12.20,ITD,12.85,12.85,12.15,13910.00
05/04/2019,12.40,ITD,13.00,13.00,12.15,32990.00
04/04/2019,12.40,ITD,11.90,12.50,11.90,43110.00
03/04/2019,11.90,ITD,11.80,12.10,11.80,11390.00
02/04/2019,11.85,ITD,11.90,11.90,11.70,15310.00
01/04/2019,11.75,ITD,11.75,11.80,11.70,35350.00
29/03/2019,11.85,ITD,11.85,11.90,11.70,28980.00
28/03/2019,11.90,ITD,12.00,12.35,11.70,22130.00
27/03/2019,12.20,ITD,11.90,12.50,11.70,33780.00
26/03/2019,11.80,ITD,11.50,12.00,11.50,19240.00
25/03/2019,11.50,ITD,11.50,11.80,11.40,107430.00
22/03/2019,12.00,ITD,12.50,12.50,11.70,58090.00
21/03/2019,12.40,ITD,12.85,12.85,12.30,84020.00
20/03/2019,12.10,ITD,12.25,12.50,12.00,82430.00
19/03/2019,12.50,ITD,13.00,13.10,12.50,78630.00
18/03/2019,12.75,ITD,13.50,13.50,12.70,69670.00
15/03/2019,12.95,ITD,12.55,12.95,12.55,42430.00
14/03/2019,12.80,ITD,12.50,12.95,12.30,168140.00
13/03/2019,12.90,ITD,13.15,13.30,12.60,209000.00
12/03/2019,12.45,ITD,11.70,12.45,11.70,137130.00
