DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.00,IVS,9.90,10.00,9.90,500.00
25/04/2019,9.90,IVS,9.90,9.90,9.90,7500.00
24/04/2019,10.20,IVS,10.20,10.20,10.20,0.00
23/04/2019,10.20,IVS,10.20,10.20,10.20,900.00
22/04/2019,10.60,IVS,10.60,10.60,9.20,3000.00
19/04/2019,9.90,IVS,10.80,10.80,9.90,18000.00
18/04/2019,10.90,IVS,10.90,10.90,10.90,500.00
17/04/2019,10.20,IVS,10.20,10.20,10.20,0.00
16/04/2019,10.20,IVS,10.20,10.20,10.20,600.00
12/04/2019,11.10,IVS,11.10,11.10,11.10,0.00
11/04/2019,11.10,IVS,11.10,11.10,11.10,100.00
10/04/2019,10.10,IVS,9.40,10.10,9.40,3700.00
09/04/2019,10.30,IVS,9.80,10.50,9.80,6800.00
08/04/2019,10.20,IVS,10.40,10.40,9.90,4500.00
05/04/2019,10.50,IVS,9.70,10.50,9.60,5000.00
04/04/2019,10.60,IVS,9.80,10.60,9.80,2800.00
03/04/2019,10.80,IVS,10.10,11.10,9.30,23600.00
02/04/2019,10.10,IVS,10.20,10.20,10.10,6500.00
01/04/2019,10.10,IVS,10.10,10.10,10.10,1600.00
29/03/2019,10.70,IVS,10.70,10.70,10.70,0.00
28/03/2019,10.70,IVS,10.70,10.70,10.70,0.00
27/03/2019,10.70,IVS,10.70,10.70,10.70,500.00
26/03/2019,10.40,IVS,11.20,11.20,10.20,14050.00
25/03/2019,11.20,IVS,11.20,11.20,11.20,510.00
22/03/2019,10.90,IVS,10.40,10.90,10.40,3700.00
21/03/2019,10.80,IVS,9.80,11.20,9.80,7900.00
20/03/2019,10.60,IVS,9.90,10.60,9.90,1100.00
19/03/2019,10.60,IVS,11.00,11.00,9.90,6500.00
18/03/2019,10.90,IVS,9.40,11.10,9.40,4500.00
15/03/2019,10.20,IVS,10.70,10.90,10.10,4600.00
14/03/2019,10.70,IVS,9.30,10.90,9.30,10300.00
13/03/2019,10.00,IVS,10.90,10.90,10.00,2400.00
12/03/2019,11.00,IVS,10.10,11.10,10.10,18200.00
11/03/2019,11.20,IVS,11.20,11.20,11.20,500.00
08/03/2019,11.00,IVS,11.00,11.00,11.00,1000.00
07/03/2019,11.10,IVS,11.10,11.10,11.10,1000.00
06/03/2019,11.20,IVS,11.20,11.20,11.20,9000.00
05/03/2019,11.10,IVS,11.10,11.10,11.10,10500.00
04/03/2019,11.20,IVS,10.60,11.20,10.60,3000.00
01/03/2019,11.60,IVS,11.60,11.60,11.60,0.00
28/02/2019,11.60,IVS,11.60,11.60,11.60,500.00
27/02/2019,11.40,IVS,11.70,11.70,11.40,520.00
26/02/2019,11.30,IVS,11.40,11.40,11.30,3540.00
25/02/2019,11.30,IVS,11.80,11.80,10.60,17200.00
22/02/2019,10.90,IVS,10.90,10.90,10.90,1100.00
21/02/2019,10.30,IVS,11.20,11.70,10.10,8200.00
20/02/2019,11.20,IVS,11.20,11.20,11.20,500.00
19/02/2019,10.90,IVS,10.60,10.90,10.60,3000.00
18/02/2019,11.10,IVS,11.10,11.10,11.10,500.00
15/02/2019,11.10,IVS,11.10,11.10,11.10,500.00
14/02/2019,11.20,IVS,11.20,11.20,11.20,500.00
13/02/2019,11.10,IVS,11.10,11.10,11.10,500.00
12/02/2019,11.10,IVS,11.10,11.10,11.10,1500.00
11/02/2019,11.00,IVS,11.30,12.30,10.80,9400.00
01/02/2019,11.20,IVS,12.80,12.80,11.00,2300.00
31/01/2019,11.80,IVS,11.80,11.80,11.80,500.00
30/01/2019,11.00,IVS,11.00,11.00,11.00,2000.00
29/01/2019,11.10,IVS,11.10,11.10,11.10,1000.00
28/01/2019,11.30,IVS,11.30,11.30,11.30,2000.00
25/01/2019,11.40,IVS,11.70,11.70,11.00,5700.00
24/01/2019,11.80,IVS,10.90,11.80,10.20,9000.00
