DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.80,KDM,4.00,4.00,3.70,73270.00
25/04/2019,3.70,KDM,3.60,3.70,3.60,69110.00
24/04/2019,3.40,KDM,3.40,3.40,3.40,27800.00
23/04/2019,3.10,KDM,3.10,3.10,3.10,2000.00
22/04/2019,2.90,KDM,3.00,3.10,2.90,7200.00
19/04/2019,3.10,KDM,3.10,3.10,3.10,2600.00
18/04/2019,3.10,KDM,3.00,3.10,3.00,3200.00
17/04/2019,3.20,KDM,3.00,3.20,3.00,6600.00
16/04/2019,3.10,KDM,3.10,3.10,3.00,7700.00
12/04/2019,3.10,KDM,3.10,3.10,3.10,5700.00
11/04/2019,3.20,KDM,3.00,3.20,3.00,8500.00
10/04/2019,3.20,KDM,3.20,3.20,3.20,0.00
09/04/2019,3.20,KDM,3.20,3.30,3.20,3200.00
08/04/2019,3.20,KDM,3.00,3.30,3.00,7200.00
05/04/2019,3.10,KDM,3.00,3.10,3.00,2600.00
04/04/2019,3.00,KDM,3.00,3.00,3.00,1100.00
03/04/2019,3.00,KDM,3.00,3.00,2.80,10000.00
02/04/2019,3.10,KDM,3.20,3.20,3.10,800.00
01/04/2019,3.20,KDM,3.20,3.20,3.20,0.00
29/03/2019,3.20,KDM,3.20,3.20,3.20,0.00
28/03/2019,3.20,KDM,3.10,3.20,3.10,400.00
27/03/2019,3.10,KDM,3.00,3.10,3.00,9000.00
26/03/2019,3.10,KDM,3.00,3.10,3.00,200.00
25/03/2019,3.10,KDM,3.00,3.10,3.00,1600.00
22/03/2019,3.00,KDM,3.10,3.10,3.00,21000.00
21/03/2019,3.00,KDM,3.10,3.20,3.00,19300.00
20/03/2019,3.10,KDM,3.10,3.10,3.10,10500.00
19/03/2019,3.10,KDM,3.10,3.10,3.10,14300.00
18/03/2019,3.30,KDM,3.00,3.30,3.00,9200.00
15/03/2019,3.20,KDM,3.10,3.20,3.00,22500.00
14/03/2019,3.10,KDM,3.20,3.20,3.00,39000.00
13/03/2019,3.30,KDM,3.30,3.30,3.30,0.00
12/03/2019,3.30,KDM,3.30,3.30,3.30,1800.00
