DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.70,KLB,10.50,10.80,10.50,6200.00
25/04/2019,10.70,KLB,10.50,10.70,10.50,1500.00
24/04/2019,10.50,KLB,10.70,10.70,10.50,660.00
23/04/2019,10.60,KLB,10.40,10.70,10.40,6242.00
22/04/2019,10.80,KLB,10.70,10.80,10.70,2115.00
19/04/2019,10.70,KLB,10.70,10.70,10.70,1000.00
18/04/2019,10.70,KLB,10.60,10.80,10.60,2500.00
17/04/2019,10.70,KLB,10.60,10.80,10.60,2300.00
16/04/2019,10.60,KLB,10.60,10.60,10.60,100.00
12/04/2019,10.90,KLB,10.50,10.90,10.50,17862.00
11/04/2019,10.90,KLB,10.50,10.90,10.50,30696.00
10/04/2019,10.50,KLB,10.60,10.60,10.50,6300.00
09/04/2019,10.60,KLB,10.30,10.70,10.30,10000.00
08/04/2019,10.40,KLB,10.20,10.40,10.20,1596.00
05/04/2019,10.70,KLB,10.70,10.70,10.70,0.00
04/04/2019,10.80,KLB,10.60,10.80,10.60,13400.00
03/04/2019,10.70,KLB,10.60,10.80,10.60,6000.00
02/04/2019,10.70,KLB,10.60,10.70,10.60,6300.00
01/04/2019,11.00,KLB,10.50,11.00,10.50,9300.00
29/03/2019,10.90,KLB,10.40,10.90,10.40,13300.00
28/03/2019,10.30,KLB,10.40,10.40,10.00,8620.00
27/03/2019,10.00,KLB,10.00,10.00,10.00,1000.00
26/03/2019,10.40,KLB,9.80,10.40,9.60,5300.00
25/03/2019,10.40,KLB,10.40,10.40,10.40,320.00
22/03/2019,10.30,KLB,10.20,10.30,10.20,16080.00
21/03/2019,10.30,KLB,10.30,10.30,9.90,2335.00
20/03/2019,10.40,KLB,10.20,10.40,10.20,2810.00
19/03/2019,10.30,KLB,10.30,10.30,10.30,0.00
18/03/2019,10.30,KLB,10.30,10.30,10.30,0.00
15/03/2019,10.30,KLB,10.30,10.30,10.00,32800.00
14/03/2019,10.30,KLB,9.80,10.30,9.80,48714.00
13/03/2019,10.20,KLB,10.20,10.20,10.20,500.00
12/03/2019,10.30,KLB,10.30,10.30,9.90,12170.00
11/03/2019,10.00,KLB,10.30,10.30,10.00,1704.00
08/03/2019,10.10,KLB,10.30,10.30,10.10,7000.00
07/03/2019,10.40,KLB,10.10,10.40,10.10,9200.00
06/03/2019,10.20,KLB,10.50,10.50,10.20,2885.00
05/03/2019,10.40,KLB,10.30,10.40,10.30,4003.00
04/03/2019,10.40,KLB,10.60,10.60,10.40,13410.00
01/03/2019,10.60,KLB,10.40,10.60,10.40,13303.00
28/02/2019,10.50,KLB,10.50,10.50,10.40,1465.00
27/02/2019,10.50,KLB,10.60,10.60,10.30,1200.00
26/02/2019,10.40,KLB,10.40,10.40,9.90,12000.00
25/02/2019,10.40,KLB,10.20,10.50,9.60,14624.00
22/02/2019,10.50,KLB,9.90,10.50,9.90,16000.00
21/02/2019,10.00,KLB,9.90,10.30,9.80,16000.00
20/02/2019,9.70,KLB,10.00,10.00,9.70,1215.00
19/02/2019,9.60,KLB,10.00,10.00,9.60,3100.00
18/02/2019,10.00,KLB,10.00,10.00,10.00,619.00
15/02/2019,10.20,KLB,10.00,10.20,10.00,660.00
14/02/2019,10.10,KLB,10.20,10.20,10.00,8200.00
13/02/2019,11.00,KLB,10.40,11.00,10.40,350.00
12/02/2019,12.00,KLB,12.00,12.00,12.00,100.00
11/02/2019,12.00,KLB,11.20,12.00,11.20,1600.00
01/02/2019,11.00,KLB,10.90,11.50,10.90,5620.00
31/01/2019,10.90,KLB,10.90,10.90,10.90,0.00
30/01/2019,11.00,KLB,10.10,11.00,10.10,4400.00
29/01/2019,10.90,KLB,10.00,10.90,10.00,3710.00
