DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.00,KMR,3.00,3.00,2.87,56740.00
25/04/2019,3.00,KMR,3.08,3.08,2.98,362340.00
24/04/2019,2.88,KMR,2.71,2.88,2.71,402840.00
23/04/2019,2.70,KMR,2.74,2.74,2.61,125700.00
22/04/2019,2.72,KMR,2.71,2.74,2.68,96740.00
19/04/2019,2.71,KMR,2.70,2.76,2.70,183690.00
18/04/2019,2.72,KMR,2.78,2.78,2.72,34540.00
17/04/2019,2.78,KMR,2.83,2.83,2.70,78260.00
16/04/2019,2.83,KMR,2.86,2.86,2.80,34030.00
12/04/2019,2.86,KMR,2.80,2.86,2.80,54270.00
11/04/2019,2.84,KMR,2.68,2.85,2.68,136300.00
10/04/2019,2.70,KMR,2.69,2.73,2.69,29450.00
09/04/2019,2.74,KMR,2.70,2.75,2.70,77530.00
08/04/2019,2.70,KMR,2.76,2.76,2.70,65200.00
05/04/2019,2.72,KMR,2.71,2.76,2.71,25250.00
04/04/2019,2.79,KMR,2.76,2.83,2.65,547770.00
03/04/2019,2.84,KMR,2.77,2.84,2.75,37150.00
02/04/2019,2.77,KMR,2.91,2.91,2.77,213400.00
01/04/2019,2.88,KMR,2.85,2.91,2.80,57060.00
29/03/2019,2.92,KMR,2.81,2.92,2.80,174480.00
28/03/2019,2.90,KMR,2.80,2.90,2.76,60720.00
27/03/2019,2.85,KMR,2.86,2.86,2.80,68040.00
26/03/2019,2.86,KMR,2.90,2.90,2.80,85460.00
25/03/2019,2.90,KMR,2.93,2.93,2.80,68960.00
22/03/2019,2.92,KMR,2.96,2.96,2.90,30990.00
21/03/2019,2.93,KMR,2.94,2.94,2.88,74660.00
20/03/2019,2.94,KMR,2.90,2.94,2.86,76790.00
19/03/2019,2.94,KMR,2.91,2.94,2.88,69770.00
18/03/2019,2.95,KMR,3.00,3.00,2.90,198220.00
15/03/2019,3.00,KMR,3.05,3.05,2.91,185150.00
14/03/2019,3.03,KMR,2.97,3.04,2.96,74780.00
13/03/2019,2.97,KMR,2.93,3.04,2.93,48510.00
12/03/2019,3.04,KMR,3.09,3.09,2.95,243630.00
11/03/2019,3.09,KMR,3.10,3.10,3.00,58160.00
08/03/2019,3.10,KMR,3.09,3.13,3.00,64470.00
07/03/2019,3.16,KMR,3.17,3.18,3.05,51480.00
06/03/2019,3.17,KMR,3.08,3.17,3.00,89480.00
05/03/2019,3.08,KMR,3.03,3.08,3.00,78610.00
04/03/2019,3.03,KMR,2.88,3.08,2.88,100290.00
01/03/2019,2.90,KMR,2.85,2.90,2.75,89920.00
28/02/2019,2.84,KMR,2.80,2.85,2.75,93740.00
