DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
01/08/2018,0.48,KSA,0.48,0.48,0.48,0.00
31/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
30/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
27/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
26/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
25/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
24/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
23/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
20/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
19/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
18/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
17/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
16/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
13/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
12/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
11/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
10/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
09/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
06/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
05/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
04/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
03/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
02/07/2018,0.48,KSA,0.48,0.48,0.48,0.00
29/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
28/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
27/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
26/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
25/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
22/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
21/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
20/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
19/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
18/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
15/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
14/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
13/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
12/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
11/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
08/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
07/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
06/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
05/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
04/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
01/06/2018,0.48,KSA,0.48,0.48,0.48,0.00
31/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
30/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
29/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
28/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
25/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
24/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
23/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
22/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
21/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
18/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
17/05/2018,0.48,KSA,0.48,0.48,0.48,0.00
16/05/2018,0.48,KSA,0.47,0.49,0.47,6095090.00
15/05/2018,0.50,KSA,0.50,0.50,0.50,325050.00
14/05/2018,0.53,KSA,0.53,0.53,0.53,130520.00
11/05/2018,0.56,KSA,0.56,0.56,0.56,195280.00
10/05/2018,0.60,KSA,0.60,0.60,0.57,3400730.00
09/05/2018,0.57,KSA,0.57,0.57,0.57,247230.00
08/05/2018,0.54,KSA,0.54,0.54,0.54,125710.00
07/05/2018,0.51,KSA,0.51,0.51,0.51,123640.00
04/05/2018,0.48,KSA,0.47,0.48,0.45,396730.00
03/05/2018,0.45,KSA,0.47,0.47,0.44,941150.00
02/05/2018,0.47,KSA,0.50,0.50,0.47,901420.00
27/04/2018,0.50,KSA,0.53,0.53,0.50,616330.00
26/04/2018,0.53,KSA,0.56,0.56,0.53,658090.00
24/04/2018,0.56,KSA,0.57,0.57,0.54,565810.00
23/04/2018,0.57,KSA,0.61,0.61,0.57,1118670.00
20/04/2018,0.61,KSA,0.62,0.62,0.59,929500.00
19/04/2018,0.62,KSA,0.63,0.63,0.61,616290.00
18/04/2018,0.63,KSA,0.61,0.63,0.59,1093810.00
17/04/2018,0.61,KSA,0.64,0.64,0.61,2029830.00
16/04/2018,0.65,KSA,0.63,0.67,0.63,286900.00
13/04/2018,0.67,KSA,0.66,0.68,0.66,450360.00
12/04/2018,0.66,KSA,0.68,0.69,0.66,686320.00
11/04/2018,0.67,KSA,0.67,0.68,0.66,813540.00
10/04/2018,0.67,KSA,0.71,0.71,0.67,1451260.00
09/04/2018,0.71,KSA,0.73,0.73,0.70,565380.00
06/04/2018,0.73,KSA,0.72,0.73,0.69,1012210.00
05/04/2018,0.72,KSA,0.70,0.74,0.69,922880.00
04/04/2018,0.73,KSA,0.77,0.78,0.72,916520.00
03/04/2018,0.77,KSA,0.76,0.78,0.74,404480.00
02/04/2018,0.75,KSA,0.74,0.80,0.74,277580.00
30/03/2018,0.79,KSA,0.74,0.79,0.74,652190.00
29/03/2018,0.74,KSA,0.78,0.78,0.73,1575250.00
28/03/2018,0.78,KSA,0.79,0.80,0.77,299130.00
27/03/2018,0.79,KSA,0.79,0.80,0.78,365630.00
26/03/2018,0.79,KSA,0.78,0.80,0.78,424110.00
23/03/2018,0.78,KSA,0.81,0.81,0.77,1015400.00
22/03/2018,0.81,KSA,0.82,0.82,0.79,252700.00
21/03/2018,0.82,KSA,0.82,0.83,0.79,545350.00
20/03/2018,0.82,KSA,0.79,0.83,0.79,502720.00
19/03/2018,0.79,KSA,0.82,0.83,0.79,896830.00
16/03/2018,0.82,KSA,0.81,0.82,0.80,523900.00
15/03/2018,0.81,KSA,0.84,0.86,0.81,452010.00
14/03/2018,0.84,KSA,0.83,0.85,0.82,453850.00
13/03/2018,0.83,KSA,0.83,0.83,0.81,328910.00
12/03/2018,0.83,KSA,0.85,0.86,0.81,1412420.00
09/03/2018,0.85,KSA,0.85,0.86,0.83,601320.00
08/03/2018,0.85,KSA,0.87,0.89,0.85,250610.00
07/03/2018,0.89,KSA,0.88,0.90,0.86,1178670.00
06/03/2018,0.88,KSA,0.88,0.90,0.86,513280.00
05/03/2018,0.88,KSA,0.87,0.90,0.86,247080.00
02/03/2018,0.86,KSA,0.86,0.91,0.86,657560.00
01/03/2018,0.86,KSA,0.90,0.91,0.86,307730.00
28/02/2018,0.90,KSA,0.91,0.95,0.88,1186350.00
27/02/2018,0.94,KSA,0.96,1.00,0.92,1206080.00
26/02/2018,0.94,KSA,0.94,0.94,0.90,1133740.00
23/02/2018,0.88,KSA,0.83,0.88,0.83,663430.00
22/02/2018,0.83,KSA,0.79,0.84,0.79,830190.00
21/02/2018,0.80,KSA,0.83,0.85,0.80,1608730.00
13/02/2018,0.85,KSA,0.80,0.91,0.80,3036790.00
12/02/2018,0.86,KSA,0.86,0.86,0.86,629440.00
09/02/2018,0.92,KSA,1.03,1.03,0.92,3291810.00
08/02/2018,0.98,KSA,0.98,1.05,0.98,3017890.00
07/02/2018,1.05,KSA,1.12,1.19,1.05,1195420.00
06/02/2018,1.12,KSA,1.12,1.18,1.12,1403550.00
05/02/2018,1.20,KSA,1.28,1.29,1.20,801290.00
02/02/2018,1.29,KSA,1.28,1.30,1.26,476810.00
01/02/2018,1.29,KSA,1.31,1.31,1.28,1107430.00
31/01/2018,1.28,KSA,1.32,1.32,1.28,797610.00
30/01/2018,1.32,KSA,1.32,1.32,1.29,537970.00
29/01/2018,1.32,KSA,1.33,1.33,1.30,978390.00
26/01/2018,1.32,KSA,1.30,1.33,1.29,803160.00
25/01/2018,1.32,KSA,1.30,1.35,1.30,2146450.00
22/01/2018,1.32,KSA,1.36,1.37,1.30,1504600.00
19/01/2018,1.37,KSA,1.41,1.45,1.37,1009830.00
18/01/2018,1.40,KSA,1.40,1.43,1.37,1931160.00
17/01/2018,1.43,KSA,1.46,1.47,1.41,1574620.00
16/01/2018,1.46,KSA,1.49,1.49,1.41,1291960.00
15/01/2018,1.48,KSA,1.41,1.48,1.40,3112800.00
