DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,24.45,KSB,24.55,24.55,24.10,179730.00
25/04/2019,24.55,KSB,25.00,25.00,24.55,143060.00
24/04/2019,25.00,KSB,24.05,25.00,24.05,367460.00
23/04/2019,24.05,KSB,24.60,24.70,24.05,177300.00
22/04/2019,24.60,KSB,24.70,25.50,24.55,314070.00
19/04/2019,25.20,KSB,25.00,25.60,25.00,217990.00
18/04/2019,25.00,KSB,26.05,26.05,24.85,465320.00
17/04/2019,26.05,KSB,26.90,27.00,26.05,434080.00
16/04/2019,26.90,KSB,26.80,27.25,26.40,370800.00
12/04/2019,26.80,KSB,26.65,27.05,26.60,430720.00
11/04/2019,26.65,KSB,26.65,26.85,26.60,333040.00
10/04/2019,26.65,KSB,26.55,27.10,26.55,551370.00
09/04/2019,27.00,KSB,27.40,27.50,26.95,403990.00
08/04/2019,27.40,KSB,28.10,28.10,27.35,414270.00
05/04/2019,27.95,KSB,27.15,27.95,27.15,550420.00
04/04/2019,27.15,KSB,26.60,27.15,26.20,467460.00
03/04/2019,26.70,KSB,27.05,27.05,25.50,744080.00
02/04/2019,27.05,KSB,27.85,27.85,27.05,377690.00
01/04/2019,27.50,KSB,27.30,27.80,27.30,255490.00
29/03/2019,27.30,KSB,27.60,27.80,27.30,313170.00
28/03/2019,27.45,KSB,26.95,27.45,26.90,287070.00
27/03/2019,27.00,KSB,27.15,27.50,26.90,390320.00
26/03/2019,27.00,KSB,27.40,27.40,26.70,392090.00
25/03/2019,26.90,KSB,27.60,28.05,26.90,389280.00
22/03/2019,28.05,KSB,28.35,28.35,27.80,480010.00
21/03/2019,27.80,KSB,28.25,28.80,27.80,476960.00
20/03/2019,28.10,KSB,28.30,28.45,27.70,373090.00
19/03/2019,28.30,KSB,29.10,29.20,28.30,733760.00
18/03/2019,29.10,KSB,29.85,29.85,29.10,332220.00
15/03/2019,29.60,KSB,29.95,29.95,29.50,518560.00
14/03/2019,29.90,KSB,29.65,30.15,29.60,792670.00
13/03/2019,29.65,KSB,29.50,29.95,29.40,474900.00
12/03/2019,29.80,KSB,30.30,30.40,29.70,674170.00
11/03/2019,29.75,KSB,28.80,29.75,28.70,518690.00
08/03/2019,28.75,KSB,28.70,29.20,28.30,882730.00
07/03/2019,29.05,KSB,29.40,30.50,29.05,788610.00
06/03/2019,29.50,KSB,29.25,29.50,28.90,703520.00
05/03/2019,29.25,KSB,28.20,29.35,27.80,872000.00
04/03/2019,28.70,KSB,29.00,29.10,28.35,612200.00
01/03/2019,28.90,KSB,27.95,28.95,27.80,1166490.00
28/02/2019,27.50,KSB,26.35,27.75,26.20,1256510.00
27/02/2019,26.10,KSB,26.50,26.50,26.10,316910.00
26/02/2019,26.30,KSB,25.70,26.60,25.70,668710.00
25/02/2019,25.70,KSB,25.70,26.00,25.60,459980.00
22/02/2019,25.60,KSB,25.90,26.20,25.60,307310.00
21/02/2019,26.15,KSB,26.15,26.40,25.90,99410.00
20/02/2019,26.30,KSB,26.50,26.60,26.20,149810.00
19/02/2019,26.60,KSB,26.40,26.70,26.20,276260.00
18/02/2019,26.40,KSB,26.30,26.50,26.10,222890.00
15/02/2019,26.25,KSB,27.00,27.00,26.20,318640.00
14/02/2019,26.80,KSB,26.40,27.10,26.10,495530.00
13/02/2019,26.50,KSB,26.40,26.55,26.10,358890.00
12/02/2019,26.30,KSB,25.05,26.55,25.05,517370.00
11/02/2019,25.05,KSB,24.60,25.20,24.60,102050.00
01/02/2019,24.60,KSB,24.60,24.60,24.40,72380.00
31/01/2019,24.70,KSB,24.60,24.75,24.55,98180.00
30/01/2019,24.70,KSB,24.60,24.75,24.60,113590.00
29/01/2019,24.70,KSB,24.55,24.70,24.40,118370.00
28/01/2019,24.55,KSB,24.55,24.60,24.15,230180.00
25/01/2019,24.55,KSB,24.80,24.90,24.55,176290.00
24/01/2019,24.80,KSB,24.75,24.90,24.60,142000.00
23/01/2019,24.70,KSB,24.80,25.00,24.70,128950.00
22/01/2019,24.80,KSB,25.00,25.30,24.80,271720.00
21/01/2019,24.75,KSB,25.00,25.25,24.75,254470.00
18/01/2019,24.95,KSB,25.40,25.40,24.90,53910.00
17/01/2019,25.40,KSB,25.00,25.55,24.85,182140.00
16/01/2019,24.85,KSB,25.40,25.40,24.85,81630.00
15/01/2019,25.20,KSB,24.80,25.50,24.80,110620.00
14/01/2019,25.20,KSB,25.40,25.40,24.90,114640.00
11/01/2019,25.40,KSB,24.55,25.50,24.55,74790.00
10/01/2019,25.45,KSB,25.30,25.60,25.20,85380.00
09/01/2019,25.20,KSB,25.00,25.40,24.90,99760.00
08/01/2019,24.90,KSB,24.70,24.90,24.50,28980.00
07/01/2019,24.95,KSB,24.90,25.30,24.80,117860.00
04/01/2019,24.75,KSB,24.50,24.75,23.70,141560.00
03/01/2019,24.80,KSB,24.70,25.00,24.20,126270.00
02/01/2019,25.20,KSB,25.50,25.80,24.80,139920.00
28/12/2018,25.50,KSB,25.55,26.05,25.50,134880.00
27/12/2018,26.20,KSB,26.30,26.30,25.50,265350.00
