DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.39,KSH,1.40,1.40,1.33,357040.00
25/04/2019,1.40,KSH,1.54,1.54,1.34,1385160.00
24/04/2019,1.44,KSH,1.34,1.44,1.34,636150.00
23/04/2019,1.35,KSH,1.31,1.40,1.30,600710.00
22/04/2019,1.32,KSH,1.35,1.35,1.30,341760.00
19/04/2019,1.35,KSH,1.32,1.40,1.28,445310.00
18/04/2019,1.33,KSH,1.37,1.37,1.31,153080.00
17/04/2019,1.32,KSH,1.27,1.35,1.26,497420.00
16/04/2019,1.27,KSH,1.30,1.30,1.23,288250.00
12/04/2019,1.30,KSH,1.36,1.37,1.29,264950.00
11/04/2019,1.34,KSH,1.23,1.34,1.23,995550.00
10/04/2019,1.26,KSH,1.31,1.31,1.25,235950.00
09/04/2019,1.33,KSH,1.36,1.38,1.30,532620.00
08/04/2019,1.37,KSH,1.50,1.50,1.37,1095170.00
05/04/2019,1.47,KSH,1.47,1.47,1.43,1403320.00
04/04/2019,1.38,KSH,1.37,1.38,1.35,1704300.00
03/04/2019,1.29,KSH,1.22,1.29,1.20,1461170.00
02/04/2019,1.21,KSH,1.22,1.24,1.21,398420.00
01/04/2019,1.22,KSH,1.21,1.24,1.20,410220.00
29/03/2019,1.20,KSH,1.22,1.23,1.19,112320.00
28/03/2019,1.20,KSH,1.22,1.22,1.19,308660.00
27/03/2019,1.20,KSH,1.22,1.23,1.20,275440.00
26/03/2019,1.21,KSH,1.16,1.21,1.15,716100.00
25/03/2019,1.14,KSH,1.19,1.19,1.14,481520.00
22/03/2019,1.19,KSH,1.19,1.23,1.19,120180.00
21/03/2019,1.19,KSH,1.22,1.24,1.19,281570.00
20/03/2019,1.22,KSH,1.25,1.25,1.21,225210.00
19/03/2019,1.25,KSH,1.25,1.26,1.23,413150.00
18/03/2019,1.26,KSH,1.27,1.28,1.23,172550.00
15/03/2019,1.25,KSH,1.27,1.27,1.23,150720.00
14/03/2019,1.27,KSH,1.27,1.30,1.21,335910.00
13/03/2019,1.27,KSH,1.30,1.31,1.27,88730.00
12/03/2019,1.29,KSH,1.32,1.32,1.27,1542810.00
11/03/2019,1.31,KSH,1.22,1.32,1.21,2204890.00
08/03/2019,1.24,KSH,1.28,1.28,1.24,285590.00
07/03/2019,1.29,KSH,1.27,1.31,1.24,426500.00
06/03/2019,1.26,KSH,1.30,1.30,1.23,503370.00
05/03/2019,1.31,KSH,1.35,1.41,1.31,566570.00
04/03/2019,1.32,KSH,1.32,1.32,1.32,640070.00
01/03/2019,1.24,KSH,1.17,1.24,1.16,2374720.00
28/02/2019,1.16,KSH,1.15,1.21,1.15,446100.00
27/02/2019,1.14,KSH,1.16,1.16,1.13,155220.00
26/02/2019,1.16,KSH,1.15,1.17,1.13,232740.00
25/02/2019,1.16,KSH,1.16,1.18,1.14,153000.00
22/02/2019,1.16,KSH,1.19,1.20,1.15,75870.00
21/02/2019,1.16,KSH,1.16,1.17,1.14,92780.00
20/02/2019,1.15,KSH,1.16,1.20,1.13,120460.00
19/02/2019,1.15,KSH,1.16,1.18,1.14,267870.00
18/02/2019,1.16,KSH,1.20,1.20,1.15,208530.00
15/02/2019,1.20,KSH,1.25,1.25,1.18,87460.00
