DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
11/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
10/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
09/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
08/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
05/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
04/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
03/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
02/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
01/08/2016,0.80,KSS,0.80,0.80,0.80,0.00
29/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
28/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
27/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
26/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
25/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
22/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
21/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
20/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
19/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
18/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
15/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
14/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
13/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
12/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
11/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
08/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
07/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
06/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
05/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
04/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
01/07/2016,0.80,KSS,0.80,0.80,0.80,0.00
30/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
29/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
28/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
27/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
24/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
23/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
22/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
21/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
20/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
17/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
16/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
15/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
14/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
13/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
10/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
09/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
08/06/2016,0.80,KSS,0.80,0.80,0.80,0.00
07/06/2016,0.80,KSS,0.80,0.90,0.70,1926240.00
06/06/2016,0.80,KSS,0.80,0.90,0.80,2085340.00
03/06/2016,0.90,KSS,0.90,0.90,0.90,417210.00
02/06/2016,1.00,KSS,1.00,1.00,1.00,204490.00
01/06/2016,1.10,KSS,1.10,1.10,1.10,41740.00
31/05/2016,1.10,KSS,1.10,1.20,1.00,126860.00
30/05/2016,1.10,KSS,1.20,1.20,1.10,378890.00
27/05/2016,1.10,KSS,1.10,1.10,1.10,99240.00
26/05/2016,1.10,KSS,1.10,1.10,1.00,22960.00
25/05/2016,1.00,KSS,1.10,1.10,1.00,58820.00
24/05/2016,1.10,KSS,1.10,1.10,1.00,65920.00
23/05/2016,1.10,KSS,1.10,1.20,1.00,128460.00
20/05/2016,1.10,KSS,1.00,1.10,1.00,50360.00
19/05/2016,1.10,KSS,1.10,1.10,1.00,245100.00
18/05/2016,1.10,KSS,1.10,1.20,1.00,39800.00
17/05/2016,1.10,KSS,1.10,1.10,1.00,80560.00
16/05/2016,1.10,KSS,1.10,1.20,1.10,187410.00
13/05/2016,1.20,KSS,1.10,1.20,1.10,125090.00
12/05/2016,1.10,KSS,1.20,1.20,1.10,108570.00
11/05/2016,1.10,KSS,1.10,1.20,1.10,86540.00
10/05/2016,1.10,KSS,1.00,1.20,1.00,466140.00
09/05/2016,1.10,KSS,1.10,1.20,1.10,406650.00
06/05/2016,1.20,KSS,1.30,1.30,1.10,264920.00
05/05/2016,1.20,KSS,1.10,1.20,1.10,778300.00
04/05/2016,1.10,KSS,1.20,1.20,1.10,123440.00
29/04/2016,1.10,KSS,1.10,1.20,1.10,141860.00
28/04/2016,1.10,KSS,1.10,1.20,1.00,174430.00
27/04/2016,1.10,KSS,1.00,1.20,1.00,179180.00
26/04/2016,1.10,KSS,1.10,1.20,1.10,262220.00
25/04/2016,1.10,KSS,1.10,1.20,1.00,492860.00
22/04/2016,1.10,KSS,1.10,1.10,1.00,386700.00
21/04/2016,1.10,KSS,1.20,1.20,1.10,243980.00
20/04/2016,1.10,KSS,1.20,1.20,1.10,277630.00
19/04/2016,1.10,KSS,1.20,1.20,1.10,739750.00
15/04/2016,1.20,KSS,1.20,1.30,1.20,342720.00
14/04/2016,1.20,KSS,1.10,1.20,1.10,573360.00
13/04/2016,1.10,KSS,1.10,1.20,1.10,790170.00
12/04/2016,1.20,KSS,1.30,1.30,1.20,203320.00
11/04/2016,1.30,KSS,1.30,1.40,1.20,868460.00
08/04/2016,1.30,KSS,1.40,1.40,1.30,443060.00
07/04/2016,1.40,KSS,1.40,1.50,1.30,285920.00
06/04/2016,1.40,KSS,1.30,1.40,1.30,722500.00
05/04/2016,1.30,KSS,1.30,1.40,1.30,1183440.00
04/04/2016,1.40,KSS,1.40,1.40,1.40,77860.00
01/04/2016,1.50,KSS,1.50,1.60,1.50,247390.00
31/03/2016,1.60,KSS,1.70,1.80,1.60,1578640.00
