DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.00,KTS,18.00,18.00,18.00,100.00
25/04/2019,17.10,KTS,17.10,17.10,17.10,0.00
24/04/2019,17.10,KTS,17.10,17.10,17.10,0.00
23/04/2019,17.10,KTS,17.10,17.10,17.10,0.00
22/04/2019,17.10,KTS,16.70,17.10,16.70,7800.00
19/04/2019,18.50,KTS,18.50,18.50,18.50,0.00
18/04/2019,18.50,KTS,17.00,18.50,17.00,2000.00
17/04/2019,17.00,KTS,17.50,17.50,17.00,700.00
16/04/2019,17.50,KTS,17.50,17.50,17.50,0.00
12/04/2019,17.50,KTS,17.50,17.50,17.50,0.00
11/04/2019,17.50,KTS,17.50,19.80,17.50,3700.00
10/04/2019,19.40,KTS,19.40,19.40,19.40,0.00
09/04/2019,19.40,KTS,19.40,19.40,19.40,500.00
08/04/2019,21.50,KTS,21.50,21.50,21.50,0.00
05/04/2019,21.50,KTS,21.50,21.50,21.50,0.00
04/04/2019,21.50,KTS,21.50,21.50,21.50,100.00
03/04/2019,23.80,KTS,23.80,23.80,23.80,0.00
02/04/2019,23.80,KTS,23.80,23.80,23.80,0.00
01/04/2019,23.80,KTS,23.80,23.80,23.80,0.00
29/03/2019,23.80,KTS,23.80,23.80,23.80,100.00
28/03/2019,23.80,KTS,23.80,23.80,23.80,0.00
27/03/2019,23.80,KTS,23.80,23.80,23.80,100.00
26/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
25/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
22/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
21/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
20/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
19/03/2019,21.70,KTS,21.70,21.70,21.70,0.00
18/03/2019,21.70,KTS,21.70,21.70,21.70,100.00
15/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
14/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
13/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
12/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
11/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
08/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
07/03/2019,19.80,KTS,19.80,19.80,19.80,0.00
