DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,20.50,L61,20.50,20.50,20.50,0.00
25/04/2019,20.50,L61,20.50,20.50,20.50,100.00
24/04/2019,18.80,L61,18.80,18.80,18.80,0.00
23/04/2019,18.80,L61,18.80,18.80,18.80,0.00
22/04/2019,18.80,L61,18.80,18.80,18.80,0.00
19/04/2019,18.80,L61,18.80,18.80,18.80,0.00
18/04/2019,18.80,L61,18.80,18.80,18.80,100.00
17/04/2019,17.10,L61,17.10,17.10,15.60,300.00
16/04/2019,15.60,L61,15.60,15.60,15.60,0.00
12/04/2019,15.60,L61,15.60,15.60,15.60,0.00
11/04/2019,15.60,L61,15.60,15.60,15.60,0.00
10/04/2019,15.60,L61,15.60,15.60,15.60,0.00
09/04/2019,15.60,L61,15.60,15.60,15.60,0.00
08/04/2019,15.60,L61,15.60,15.60,15.60,0.00
05/04/2019,15.60,L61,15.60,15.60,15.60,0.00
04/04/2019,15.60,L61,15.60,15.60,15.60,0.00
03/04/2019,15.60,L61,15.60,15.60,15.60,600.00
02/04/2019,15.90,L61,15.90,15.90,15.90,0.00
01/04/2019,15.90,L61,15.90,15.90,15.90,0.00
29/03/2019,15.90,L61,15.90,15.90,15.90,0.00
28/03/2019,15.90,L61,15.90,15.90,15.90,101.00
27/03/2019,15.90,L61,15.90,15.90,15.90,0.00
26/03/2019,15.90,L61,15.90,15.90,15.90,0.00
25/03/2019,15.90,L61,15.90,15.90,15.90,100.00
22/03/2019,17.60,L61,17.60,17.60,17.60,0.00
21/03/2019,17.60,L61,17.60,17.60,17.60,0.00
20/03/2019,17.60,L61,17.60,17.60,17.60,0.00
19/03/2019,17.60,L61,17.60,17.60,17.60,0.00
18/03/2019,17.60,L61,17.60,17.60,17.60,0.00
15/03/2019,17.60,L61,17.60,17.60,17.60,0.00
14/03/2019,17.60,L61,17.60,17.60,17.60,0.00
13/03/2019,17.60,L61,17.60,17.60,17.60,0.00
12/03/2019,17.60,L61,14.50,17.60,14.50,230.00
11/03/2019,16.10,L61,16.10,16.10,16.10,100.00
08/03/2019,17.80,L61,17.80,17.80,17.80,100.00
07/03/2019,19.70,L61,19.70,19.70,19.70,0.00
06/03/2019,19.70,L61,19.70,19.70,19.70,0.00
05/03/2019,19.70,L61,19.70,19.70,19.70,0.00
04/03/2019,19.70,L61,17.40,19.70,17.40,600.00
01/03/2019,19.30,L61,19.30,19.30,19.30,89034.00
28/02/2019,17.60,L61,17.60,17.60,17.60,8400.00
27/02/2019,16.00,L61,16.00,16.00,16.00,14616.00
26/02/2019,14.60,L61,13.30,14.60,13.30,25679.00
25/02/2019,13.30,L61,13.30,13.30,13.30,2000.00
22/02/2019,12.10,L61,12.10,12.10,12.10,0.00
21/02/2019,12.10,L61,12.10,12.10,12.10,100.00
20/02/2019,11.80,L61,11.80,11.80,11.80,0.00
19/02/2019,11.80,L61,11.80,11.80,11.80,0.00
18/02/2019,11.80,L61,11.80,11.80,11.80,0.00
15/02/2019,11.80,L61,11.80,11.80,11.80,0.00
14/02/2019,11.80,L61,11.80,11.80,11.80,0.00
13/02/2019,11.80,L61,12.80,12.80,11.80,2000.00
12/02/2019,11.70,L61,11.70,11.70,11.70,100.00
11/02/2019,10.70,L61,10.70,10.70,10.70,100.00
01/02/2019,9.80,L61,9.80,9.80,9.80,0.00
31/01/2019,9.80,L61,9.80,9.80,9.80,0.00
30/01/2019,9.80,L61,9.80,9.80,9.80,216.00
29/01/2019,9.00,L61,9.00,9.00,9.00,24.00
28/01/2019,9.00,L61,9.00,9.00,9.00,60.00
25/01/2019,9.00,L61,9.20,9.20,9.00,216.00
24/01/2019,10.00,L61,10.00,10.00,10.00,0.00
23/01/2019,10.00,L61,10.00,10.00,10.00,0.00
22/01/2019,10.00,L61,10.00,10.00,10.00,0.00
21/01/2019,10.00,L61,10.00,10.00,10.00,0.00
18/01/2019,10.00,L61,10.00,10.00,10.00,0.00
17/01/2019,10.00,L61,10.00,10.00,10.00,0.00
16/01/2019,10.00,L61,10.00,10.00,10.00,0.00
15/01/2019,10.00,L61,10.00,10.00,10.00,3000.00
14/01/2019,10.00,L61,10.00,10.00,10.00,0.00
11/01/2019,10.00,L61,10.00,10.00,10.00,0.00
10/01/2019,10.00,L61,10.00,10.00,10.00,0.00
09/01/2019,10.00,L61,10.00,10.00,10.00,24.00
08/01/2019,10.00,L61,10.00,10.00,10.00,0.00
07/01/2019,10.00,L61,10.00,10.00,10.00,0.00
04/01/2019,10.00,L61,10.00,10.00,10.00,0.00
03/01/2019,10.00,L61,10.00,10.00,10.00,0.00
02/01/2019,10.00,L61,10.00,10.00,10.00,0.00
28/12/2018,10.00,L61,10.00,10.00,10.00,0.00
27/12/2018,10.00,L61,10.00,10.00,10.00,300.00
26/12/2018,10.00,L61,10.00,10.00,10.00,0.00
25/12/2018,10.00,L61,10.00,10.00,10.00,0.00
24/12/2018,10.00,L61,10.00,10.00,10.00,0.00
21/12/2018,10.00,L61,10.00,10.00,10.00,0.00
20/12/2018,10.00,L61,10.00,10.00,10.00,0.00
19/12/2018,10.00,L61,10.00,10.00,10.00,0.00
18/12/2018,10.00,L61,10.00,10.00,10.00,0.00
17/12/2018,10.00,L61,10.00,10.00,10.00,0.00
14/12/2018,10.00,L61,10.00,10.00,10.00,0.00
13/12/2018,10.00,L61,10.00,10.00,10.00,0.00
