DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.40,LCG,10.35,10.65,10.35,630920.00
25/04/2019,10.40,LCG,10.75,10.75,10.40,848250.00
24/04/2019,10.80,LCG,10.70,10.85,10.65,667390.00
23/04/2019,10.55,LCG,10.50,10.70,10.45,735630.00
22/04/2019,10.50,LCG,10.55,10.60,10.20,1454830.00
19/04/2019,10.55,LCG,10.80,11.05,10.55,805820.00
18/04/2019,11.00,LCG,10.95,11.10,10.50,2688820.00
17/04/2019,11.25,LCG,12.10,12.10,11.25,5021170.00
16/04/2019,12.05,LCG,12.20,12.25,11.90,1666310.00
12/04/2019,12.25,LCG,12.00,12.30,11.95,1390010.00
11/04/2019,12.00,LCG,12.10,12.35,11.90,1776120.00
10/04/2019,11.90,LCG,11.70,12.10,11.65,1569610.00
09/04/2019,11.80,LCG,11.95,12.25,11.80,2654910.00
08/04/2019,12.00,LCG,11.85,12.20,11.80,2218680.00
05/04/2019,11.85,LCG,12.00,12.50,11.85,2010960.00
04/04/2019,11.95,LCG,11.20,11.95,11.20,4080240.00
03/04/2019,11.20,LCG,10.95,11.35,10.85,1148740.00
02/04/2019,10.95,LCG,11.40,11.40,10.95,1435700.00
01/04/2019,11.25,LCG,11.00,11.40,11.00,1242440.00
29/03/2019,11.00,LCG,11.35,11.35,11.00,786920.00
28/03/2019,11.15,LCG,10.80,11.40,10.80,1771860.00
27/03/2019,10.80,LCG,10.85,11.10,10.70,1141790.00
26/03/2019,10.80,LCG,10.75,10.80,10.50,736710.00
25/03/2019,10.50,LCG,10.55,10.90,10.45,1356600.00
22/03/2019,11.00,LCG,11.25,11.40,10.70,1482710.00
21/03/2019,11.25,LCG,11.70,11.75,11.20,1914310.00
20/03/2019,11.55,LCG,11.25,11.60,11.15,2983020.00
19/03/2019,11.25,LCG,11.35,11.80,11.15,1720410.00
18/03/2019,11.15,LCG,10.45,11.15,10.25,2174440.00
15/03/2019,10.45,LCG,10.60,10.75,10.20,1193270.00
14/03/2019,10.60,LCG,10.30,10.65,10.20,978330.00
13/03/2019,10.30,LCG,10.80,10.90,10.30,1873730.00
12/03/2019,10.80,LCG,11.00,11.00,10.70,2082900.00
11/03/2019,10.80,LCG,10.60,10.85,10.50,1237320.00
08/03/2019,10.55,LCG,10.50,10.90,10.30,1341190.00
07/03/2019,10.60,LCG,10.90,11.20,10.60,2308920.00
06/03/2019,10.75,LCG,10.25,10.80,10.25,2805520.00
05/03/2019,10.25,LCG,10.45,10.50,10.15,1300640.00
04/03/2019,10.45,LCG,10.25,10.80,10.25,2411600.00
01/03/2019,10.20,LCG,9.65,10.30,9.58,2459520.00
28/02/2019,9.65,LCG,9.72,9.84,9.60,905060.00
27/02/2019,9.85,LCG,10.00,10.10,9.77,933280.00
26/02/2019,9.84,LCG,9.30,9.84,9.30,4697220.00
25/02/2019,9.20,LCG,9.09,9.35,9.03,620700.00
22/02/2019,9.00,LCG,9.00,9.09,8.99,341580.00
21/02/2019,9.05,LCG,8.96,9.10,8.96,265180.00
20/02/2019,8.96,LCG,8.91,9.00,8.90,117270.00
19/02/2019,9.00,LCG,8.96,9.10,8.96,369330.00
18/02/2019,8.96,LCG,9.00,9.00,8.95,342750.00
15/02/2019,9.00,LCG,9.19,9.19,8.99,593270.00
14/02/2019,9.10,LCG,8.99,9.20,8.87,504820.00
13/02/2019,8.99,LCG,8.95,9.04,8.85,192470.00
12/02/2019,8.95,LCG,9.15,9.20,8.93,457310.00
11/02/2019,9.18,LCG,9.00,9.25,9.00,527290.00
01/02/2019,9.00,LCG,9.20,9.20,9.00,128770.00
31/01/2019,9.19,LCG,9.28,9.55,9.19,620660.00
30/01/2019,9.19,LCG,9.10,9.28,8.90,142530.00
29/01/2019,9.00,LCG,9.00,9.00,8.80,51680.00
28/01/2019,9.00,LCG,8.97,9.05,8.70,145740.00
25/01/2019,8.96,LCG,9.19,9.19,8.94,76040.00
24/01/2019,9.00,LCG,9.00,9.10,8.85,149740.00
23/01/2019,9.00,LCG,9.00,9.18,8.81,91430.00
22/01/2019,8.72,LCG,9.22,9.22,8.72,220330.00
21/01/2019,9.22,LCG,9.40,9.40,9.10,326520.00
18/01/2019,9.20,LCG,8.72,9.27,8.50,505820.00
17/01/2019,8.73,LCG,8.02,8.81,8.02,237870.00
16/01/2019,8.24,LCG,8.25,8.25,8.15,11140.00
15/01/2019,8.20,LCG,8.05,8.25,8.05,51290.00
14/01/2019,8.05,LCG,8.02,8.22,8.02,42050.00
11/01/2019,8.23,LCG,8.25,8.30,8.16,41590.00
10/01/2019,8.23,LCG,8.25,8.25,8.05,84670.00
09/01/2019,8.10,LCG,8.09,8.20,8.00,25980.00
08/01/2019,8.10,LCG,7.94,8.10,7.94,56810.00
07/01/2019,7.95,LCG,7.97,8.00,7.91,30520.00
04/01/2019,7.98,LCG,7.90,7.98,7.60,132580.00
03/01/2019,7.93,LCG,7.99,7.99,7.70,99720.00
02/01/2019,7.93,LCG,7.99,8.30,7.90,51100.00
28/12/2018,7.99,LCG,7.98,7.99,7.90,34320.00
27/12/2018,7.99,LCG,7.71,8.29,7.71,200320.00
26/12/2018,7.99,LCG,7.99,8.00,7.70,36630.00
25/12/2018,7.99,LCG,7.75,7.99,7.35,293890.00
24/12/2018,7.90,LCG,8.10,8.10,7.88,39730.00
21/12/2018,8.00,LCG,8.00,8.02,7.96,62880.00
20/12/2018,8.25,LCG,8.40,8.40,7.90,230880.00
19/12/2018,8.30,LCG,8.36,8.36,8.25,138340.00
18/12/2018,8.48,LCG,8.40,8.48,8.19,201570.00
17/12/2018,8.50,LCG,8.55,8.58,8.50,43510.00
14/12/2018,8.55,LCG,8.58,8.58,8.44,73880.00
13/12/2018,8.59,LCG,8.51,8.60,8.50,62110.00
12/12/2018,8.59,LCG,8.57,8.60,8.40,40500.00
11/12/2018,8.60,LCG,8.67,8.67,8.10,87010.00
10/12/2018,8.70,LCG,8.78,8.79,8.70,34670.00
07/12/2018,8.80,LCG,8.65,8.80,8.65,73620.00
06/12/2018,8.78,LCG,8.61,8.80,8.61,21590.00
05/12/2018,8.80,LCG,8.76,8.80,8.56,32930.00
04/12/2018,8.76,LCG,8.69,8.76,8.61,51450.00
03/12/2018,8.65,LCG,8.60,8.69,8.52,58940.00
30/11/2018,8.60,LCG,8.57,8.60,8.51,59770.00
29/11/2018,8.59,LCG,8.58,8.60,8.53,17520.00
28/11/2018,8.59,LCG,8.51,8.59,8.50,15220.00
27/11/2018,8.64,LCG,8.50,8.64,8.50,57170.00
26/11/2018,8.50,LCG,8.50,8.58,8.50,30520.00
23/11/2018,8.58,LCG,8.51,8.59,8.50,32620.00
22/11/2018,8.50,LCG,8.62,8.62,8.50,20210.00
21/11/2018,8.55,LCG,8.60,8.60,8.50,80690.00
20/11/2018,8.64,LCG,8.60,8.64,8.40,119020.00
19/11/2018,8.64,LCG,8.51,8.64,8.50,36080.00
16/11/2018,8.60,LCG,8.60,8.60,8.53,21550.00
15/11/2018,8.55,LCG,8.50,8.63,8.50,70280.00
14/11/2018,8.50,LCG,8.62,8.64,8.50,115690.00
13/11/2018,8.60,LCG,8.51,8.63,8.50,83720.00
12/11/2018,8.64,LCG,8.37,8.64,8.37,52810.00
09/11/2018,8.64,LCG,8.63,8.69,8.55,73140.00
08/11/2018,8.63,LCG,8.79,8.79,8.63,65990.00
07/11/2018,8.64,LCG,8.90,8.90,8.61,88020.00
06/11/2018,8.90,LCG,8.79,8.90,8.70,76430.00
05/11/2018,8.80,LCG,8.60,8.80,8.60,33240.00
02/11/2018,8.60,LCG,8.45,8.75,8.45,177110.00
01/11/2018,8.56,LCG,8.79,8.80,8.56,100260.00
31/10/2018,8.72,LCG,8.72,8.80,8.68,90530.00
30/10/2018,8.71,LCG,8.81,8.88,8.71,45030.00
29/10/2018,8.80,LCG,8.70,8.85,8.62,80740.00
26/10/2018,8.70,LCG,8.90,8.90,8.70,175800.00
25/10/2018,8.80,LCG,8.80,8.90,8.37,447690.00
24/10/2018,9.00,LCG,9.10,9.10,8.91,77790.00
23/10/2018,9.10,LCG,9.01,9.10,8.85,134210.00
22/10/2018,9.01,LCG,9.35,9.36,9.00,224320.00
19/10/2018,9.36,LCG,9.30,9.40,9.20,69140.00
18/10/2018,9.36,LCG,9.68,9.68,9.35,58450.00
17/10/2018,9.65,LCG,9.70,9.90,9.50,603460.00
16/10/2018,9.47,LCG,9.25,9.50,9.25,92050.00
15/10/2018,9.15,LCG,9.30,9.30,9.04,262080.00
12/10/2018,9.03,LCG,8.69,9.28,8.69,368480.00
11/10/2018,8.69,LCG,9.20,9.29,8.69,403710.00
10/10/2018,9.34,LCG,9.40,9.40,9.26,342070.00
09/10/2018,9.35,LCG,9.44,9.45,9.33,345350.00
08/10/2018,9.42,LCG,9.35,9.49,9.35,450120.00
05/10/2018,9.45,LCG,9.60,9.68,9.45,510450.00
04/10/2018,9.55,LCG,9.39,9.80,9.33,548570.00
03/10/2018,9.39,LCG,9.39,9.44,9.35,150570.00
02/10/2018,9.39,LCG,9.31,9.50,9.30,493960.00
01/10/2018,9.31,LCG,9.43,9.49,9.30,188830.00
28/09/2018,9.43,LCG,9.29,9.54,9.25,474280.00
27/09/2018,9.25,LCG,9.29,9.30,9.19,325610.00
26/09/2018,9.22,LCG,9.23,9.30,9.18,98980.00
25/09/2018,9.22,LCG,9.21,9.35,9.20,229520.00
24/09/2018,9.21,LCG,9.29,9.39,9.15,86700.00
21/09/2018,9.29,LCG,9.35,9.39,9.29,109160.00
20/09/2018,9.30,LCG,9.35,9.44,9.30,141200.00
19/09/2018,9.36,LCG,9.44,9.44,9.25,38150.00
18/09/2018,9.45,LCG,9.50,9.57,9.00,362750.00
17/09/2018,9.50,LCG,9.15,9.50,9.15,305570.00
14/09/2018,9.15,LCG,9.17,9.38,9.15,31920.00
13/09/2018,9.26,LCG,9.38,9.45,9.26,100440.00
12/09/2018,9.38,LCG,9.22,9.45,9.22,40690.00
11/09/2018,9.35,LCG,9.21,9.35,9.21,37560.00
10/09/2018,9.21,LCG,9.20,9.33,9.20,27350.00
07/09/2018,9.36,LCG,9.20,9.36,9.20,19240.00
06/09/2018,9.36,LCG,9.29,9.36,9.11,109150.00
05/09/2018,9.28,LCG,9.39,9.40,9.21,61900.00
04/09/2018,9.40,LCG,9.60,9.60,9.40,129650.00
31/08/2018,9.39,LCG,9.10,9.50,9.05,163290.00
30/08/2018,9.10,LCG,8.95,9.10,8.90,115110.00
