DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,0.80,LCM,0.85,0.85,0.75,29800.00
25/04/2019,0.80,LCM,0.79,0.81,0.76,129540.00
24/04/2019,0.81,LCM,0.81,0.81,0.76,27100.00
23/04/2019,0.81,LCM,0.79,0.83,0.73,99090.00
22/04/2019,0.78,LCM,0.73,0.78,0.73,152280.00
19/04/2019,0.73,LCM,0.73,0.73,0.68,41250.00
18/04/2019,0.69,LCM,0.76,0.76,0.69,610.00
17/04/2019,0.73,LCM,0.72,0.76,0.69,74070.00
16/04/2019,0.73,LCM,0.76,0.76,0.69,38040.00
12/04/2019,0.73,LCM,0.70,0.73,0.70,68140.00
11/04/2019,0.70,LCM,0.73,0.74,0.68,14130.00
10/04/2019,0.73,LCM,0.74,0.75,0.73,4960.00
09/04/2019,0.72,LCM,0.68,0.75,0.67,45870.00
08/04/2019,0.72,LCM,0.70,0.72,0.69,17770.00
05/04/2019,0.68,LCM,0.72,0.76,0.68,6910.00
04/04/2019,0.72,LCM,0.70,0.74,0.68,18300.00
03/04/2019,0.71,LCM,0.70,0.71,0.68,42120.00
02/04/2019,0.70,LCM,0.72,0.73,0.67,2110.00
01/04/2019,0.69,LCM,0.73,0.73,0.68,10510.00
29/03/2019,0.73,LCM,0.74,0.74,0.69,710.00
28/03/2019,0.74,LCM,0.75,0.75,0.69,10720.00
27/03/2019,0.71,LCM,0.74,0.79,0.70,5740.00
26/03/2019,0.74,LCM,0.75,0.77,0.69,29640.00
25/03/2019,0.73,LCM,0.76,0.80,0.73,2000.00
22/03/2019,0.78,LCM,0.72,0.78,0.72,10750.00
21/03/2019,0.77,LCM,0.77,0.79,0.76,22480.00
20/03/2019,0.77,LCM,0.69,0.77,0.69,42980.00
19/03/2019,0.74,LCM,0.74,0.74,0.74,110.00
18/03/2019,0.70,LCM,0.72,0.72,0.70,300.00
15/03/2019,0.72,LCM,0.68,0.72,0.68,103630.00
14/03/2019,0.70,LCM,0.70,0.70,0.68,34950.00
13/03/2019,0.70,LCM,0.70,0.70,0.67,9190.00
12/03/2019,0.69,LCM,0.68,0.69,0.68,1680.00
11/03/2019,0.73,LCM,0.69,0.73,0.69,10050.00
08/03/2019,0.73,LCM,0.75,0.75,0.73,1130.00
07/03/2019,0.73,LCM,0.71,0.75,0.71,8380.00
06/03/2019,0.71,LCM,0.75,0.75,0.69,35960.00
05/03/2019,0.72,LCM,0.71,0.72,0.69,49760.00
04/03/2019,0.69,LCM,0.70,0.70,0.69,1500.00
01/03/2019,0.68,LCM,0.70,0.71,0.67,3650.00
28/02/2019,0.67,LCM,0.70,0.70,0.67,2110.00
27/02/2019,0.69,LCM,0.69,0.69,0.68,27000.00
26/02/2019,0.69,LCM,0.68,0.72,0.68,15830.00
25/02/2019,0.68,LCM,0.71,0.74,0.68,3700.00
22/02/2019,0.71,LCM,0.66,0.71,0.66,6520.00
21/02/2019,0.70,LCM,0.73,0.73,0.67,33820.00
20/02/2019,0.70,LCM,0.68,0.70,0.67,30320.00
19/02/2019,0.70,LCM,0.69,0.70,0.67,71270.00
18/02/2019,0.72,LCM,0.72,0.75,0.72,1420.00
