DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.20,LGL,9.83,10.20,9.83,271360.00
25/04/2019,10.00,LGL,10.00,10.00,9.81,172340.00
24/04/2019,10.00,LGL,10.00,10.10,9.72,92410.00
23/04/2019,9.98,LGL,9.75,10.00,9.60,353320.00
22/04/2019,9.74,LGL,9.45,9.80,9.40,302040.00
19/04/2019,9.45,LGL,9.45,9.60,9.20,57370.00
18/04/2019,9.45,LGL,9.59,9.59,9.41,79300.00
17/04/2019,9.50,LGL,9.21,9.70,9.21,247650.00
16/04/2019,9.41,LGL,9.60,9.80,9.40,118230.00
12/04/2019,9.60,LGL,9.45,9.70,9.25,188100.00
11/04/2019,9.50,LGL,9.70,9.70,9.00,143350.00
10/04/2019,9.10,LGL,8.90,9.20,8.80,177260.00
09/04/2019,9.00,LGL,9.09,9.09,8.90,21940.00
08/04/2019,9.09,LGL,9.15,9.20,8.90,61970.00
05/04/2019,9.15,LGL,8.92,9.20,8.90,68040.00
04/04/2019,9.08,LGL,9.00,9.10,8.99,58700.00
03/04/2019,8.99,LGL,9.00,9.09,8.99,60070.00
02/04/2019,8.99,LGL,8.99,9.10,8.85,45680.00
01/04/2019,8.84,LGL,9.10,9.10,8.80,72530.00
29/03/2019,9.00,LGL,8.85,9.10,8.65,120420.00
28/03/2019,8.85,LGL,8.43,8.90,8.43,54330.00
27/03/2019,8.70,LGL,9.05,9.20,8.70,245770.00
26/03/2019,9.00,LGL,8.60,9.20,8.30,116660.00
25/03/2019,8.60,LGL,8.91,9.00,8.60,153750.00
22/03/2019,8.91,LGL,9.19,9.30,8.48,365020.00
21/03/2019,9.11,LGL,9.70,9.95,9.11,587390.00
20/03/2019,9.72,LGL,9.38,9.72,9.20,268400.00
19/03/2019,9.10,LGL,8.87,9.49,8.87,158520.00
18/03/2019,8.87,LGL,8.30,8.88,8.25,362900.00
15/03/2019,8.30,LGL,8.31,8.37,8.25,105480.00
14/03/2019,8.38,LGL,8.20,8.40,8.10,97930.00
13/03/2019,8.20,LGL,8.48,8.48,8.10,81130.00
12/03/2019,8.30,LGL,7.80,8.33,7.75,198840.00
11/03/2019,7.79,LGL,7.60,7.80,7.60,107250.00
08/03/2019,7.60,LGL,7.66,7.72,7.55,32590.00
07/03/2019,7.66,LGL,7.80,7.90,7.66,212680.00
06/03/2019,7.79,LGL,7.42,7.79,7.42,90500.00
05/03/2019,7.42,LGL,7.55,7.68,7.42,71770.00
04/03/2019,7.60,LGL,7.70,7.70,7.54,44270.00
01/03/2019,7.65,LGL,7.53,7.77,7.53,32160.00
28/02/2019,7.68,LGL,7.50,7.77,7.50,59130.00
27/02/2019,7.68,LGL,7.80,7.80,7.60,62600.00
26/02/2019,7.77,LGL,7.70,7.80,7.61,32270.00
25/02/2019,7.77,LGL,7.70,7.80,7.50,34290.00
22/02/2019,7.84,LGL,7.88,7.88,7.72,4650.00
21/02/2019,7.88,LGL,7.80,8.10,7.80,12080.00
20/02/2019,7.90,LGL,7.70,8.00,7.70,84740.00
19/02/2019,7.70,LGL,7.80,7.80,7.65,103410.00
18/02/2019,7.89,LGL,7.82,8.00,7.60,81650.00
15/02/2019,7.90,LGL,7.98,7.99,7.80,22780.00
14/02/2019,7.90,LGL,7.99,7.99,7.80,60490.00
13/02/2019,7.80,LGL,7.89,7.99,7.70,45040.00
12/02/2019,7.70,LGL,7.55,7.83,7.50,121720.00
11/02/2019,7.70,LGL,7.80,7.85,7.33,99020.00
01/02/2019,7.80,LGL,8.15,8.19,7.65,212760.00
31/01/2019,8.20,LGL,8.43,8.45,8.20,154420.00
30/01/2019,8.41,LGL,8.40,8.90,8.30,111050.00
29/01/2019,8.40,LGL,8.40,8.40,8.24,57810.00
28/01/2019,8.49,LGL,8.70,8.70,8.30,88610.00
25/01/2019,8.50,LGL,8.25,8.57,8.00,455530.00
24/01/2019,8.15,LGL,8.20,8.35,8.15,203310.00
23/01/2019,8.15,LGL,7.71,8.20,7.70,116560.00
22/01/2019,7.71,LGL,7.89,7.89,7.60,50220.00
21/01/2019,7.72,LGL,7.78,7.95,7.66,172480.00
18/01/2019,7.67,LGL,7.97,7.97,7.50,50550.00
17/01/2019,7.70,LGL,7.80,7.88,7.60,97700.00
16/01/2019,7.70,LGL,7.55,7.86,7.40,69620.00
15/01/2019,7.60,LGL,7.99,7.99,7.51,357220.00
14/01/2019,7.47,LGL,7.00,7.47,7.00,170380.00
11/01/2019,6.99,LGL,7.00,7.00,6.96,9730.00
10/01/2019,6.99,LGL,7.15,7.15,6.99,21290.00
09/01/2019,6.99,LGL,7.05,7.05,6.99,21590.00
