DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,61.00,LHC,60.90,61.00,60.90,600.00
25/04/2019,61.50,LHC,62.50,62.50,59.20,8400.00
24/04/2019,60.60,LHC,58.60,60.60,58.60,15400.00
23/04/2019,61.00,LHC,57.50,61.00,56.10,2200.00
22/04/2019,61.40,LHC,61.40,61.40,61.40,0.00
19/04/2019,61.40,LHC,60.90,61.40,59.00,2000.00
18/04/2019,61.30,LHC,61.30,61.30,61.30,0.00
17/04/2019,61.30,LHC,61.30,61.30,61.30,10.00
16/04/2019,61.30,LHC,60.50,62.20,59.90,38900.00
12/04/2019,61.00,LHC,61.00,61.00,61.00,0.00
11/04/2019,61.00,LHC,61.00,61.00,61.00,0.00
10/04/2019,61.00,LHC,60.00,61.00,59.90,4500.00
09/04/2019,60.00,LHC,58.00,60.00,54.80,2800.00
08/04/2019,60.80,LHC,60.80,60.80,60.80,0.00
05/04/2019,60.80,LHC,60.80,60.80,60.80,0.00
04/04/2019,60.80,LHC,60.80,60.80,60.80,0.00
03/04/2019,60.80,LHC,61.00,61.00,60.80,266800.00
02/04/2019,60.60,LHC,60.60,60.60,60.60,100.00
01/04/2019,60.00,LHC,60.00,60.00,60.00,0.00
29/03/2019,60.00,LHC,59.00,60.00,59.00,400.00
28/03/2019,62.80,LHC,62.80,62.80,62.80,0.00
27/03/2019,62.80,LHC,61.00,62.80,61.00,2700.00
26/03/2019,60.70,LHC,59.00,60.70,59.00,600.00
25/03/2019,60.90,LHC,61.00,61.00,60.60,2600.00
22/03/2019,60.00,LHC,60.00,60.00,60.00,0.00
21/03/2019,60.00,LHC,60.00,60.00,60.00,100.00
20/03/2019,60.90,LHC,60.90,60.90,60.90,0.00
19/03/2019,60.90,LHC,60.90,60.90,60.90,0.00
18/03/2019,60.90,LHC,59.00,60.90,59.00,3100.00
15/03/2019,61.00,LHC,61.00,61.00,61.00,200.00
14/03/2019,61.00,LHC,61.00,61.00,61.00,400.00
13/03/2019,61.50,LHC,62.00,62.00,61.50,62000.00
12/03/2019,62.00,LHC,60.00,62.40,60.00,10700.00
11/03/2019,62.50,LHC,60.10,62.50,60.10,2300.00
08/03/2019,62.90,LHC,62.00,62.90,62.00,61700.00
07/03/2019,62.80,LHC,61.90,62.80,61.50,3000.00
06/03/2019,62.50,LHC,62.50,62.50,62.50,0.00
05/03/2019,62.50,LHC,62.50,62.50,62.50,0.00
04/03/2019,62.50,LHC,62.50,62.50,62.50,0.00
01/03/2019,62.50,LHC,61.50,62.50,60.20,7000.00
28/02/2019,61.40,LHC,60.00,61.40,60.00,4700.00
27/02/2019,62.00,LHC,62.00,62.00,62.00,0.00
26/02/2019,62.00,LHC,62.00,62.00,62.00,0.00
25/02/2019,62.00,LHC,60.00,62.00,60.00,1100.00
22/02/2019,61.90,LHC,61.90,61.90,61.90,0.00
21/02/2019,61.90,LHC,61.00,61.90,61.00,2300.00
20/02/2019,61.90,LHC,61.50,61.90,61.50,600.00
19/02/2019,62.00,LHC,62.00,62.00,62.00,0.00
18/02/2019,62.00,LHC,62.00,62.00,62.00,0.00
15/02/2019,62.00,LHC,62.00,62.00,62.00,0.00
14/02/2019,62.00,LHC,61.00,62.00,61.00,7600.00
13/02/2019,62.00,LHC,62.00,62.00,62.00,100.00
12/02/2019,60.00,LHC,62.50,62.50,60.00,9600.00
11/02/2019,62.50,LHC,62.50,62.50,62.50,0.00
01/02/2019,62.50,LHC,62.50,62.50,62.50,0.00
31/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
30/01/2019,62.50,LHC,62.50,62.50,62.50,2000.00
29/01/2019,62.90,LHC,62.90,62.90,62.90,0.00
28/01/2019,62.90,LHC,62.90,62.90,62.90,0.00
25/01/2019,62.90,LHC,62.00,62.90,62.00,5600.00
24/01/2019,63.00,LHC,63.00,63.00,63.00,0.00
23/01/2019,63.00,LHC,62.00,63.00,62.00,900.00
22/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
21/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
18/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
17/01/2019,62.50,LHC,61.00,62.50,61.00,600.00
16/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
15/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
14/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
11/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
10/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
09/01/2019,62.50,LHC,62.00,62.50,62.00,3800.00
08/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
07/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
04/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
03/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
02/01/2019,62.50,LHC,62.50,62.50,62.50,0.00
28/12/2018,62.50,LHC,62.50,62.50,62.50,0.00
27/12/2018,62.50,LHC,62.50,62.50,62.50,0.00
26/12/2018,62.50,LHC,62.50,62.50,62.50,0.00
