DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,44.80,LIX,44.80,44.80,44.80,0.00
25/04/2019,44.80,LIX,44.80,44.80,44.30,17270.00
24/04/2019,44.30,LIX,44.50,44.50,44.00,3700.00
23/04/2019,44.00,LIX,44.50,44.50,44.00,210.00
22/04/2019,44.00,LIX,44.60,44.60,43.80,5850.00
19/04/2019,44.00,LIX,44.00,44.10,43.90,8490.00
18/04/2019,45.00,LIX,45.00,45.00,45.00,100.00
17/04/2019,45.00,LIX,45.80,45.80,44.50,4130.00
16/04/2019,44.50,LIX,45.60,45.60,44.10,1570.00
12/04/2019,44.10,LIX,44.00,44.50,44.00,2000.00
11/04/2019,44.00,LIX,44.35,44.35,44.00,2480.00
10/04/2019,44.35,LIX,43.80,44.35,43.80,70.00
09/04/2019,44.40,LIX,43.70,44.50,43.70,1530.00
08/04/2019,44.40,LIX,44.00,44.50,44.00,3970.00
05/04/2019,44.50,LIX,43.55,44.50,43.55,60.00
04/04/2019,44.25,LIX,44.00,44.25,43.60,14350.00
03/04/2019,44.50,LIX,44.50,44.50,43.80,130470.00
02/04/2019,44.50,LIX,44.80,44.80,44.00,14870.00
01/04/2019,44.80,LIX,44.90,44.90,43.70,24120.00
29/03/2019,44.90,LIX,45.50,45.70,44.10,78240.00
28/03/2019,45.50,LIX,45.50,45.70,44.90,370.00
27/03/2019,45.70,LIX,45.80,45.80,45.30,2670.00
26/03/2019,45.80,LIX,45.00,45.80,44.80,3060.00
25/03/2019,45.50,LIX,45.50,45.50,44.20,360.00
22/03/2019,45.50,LIX,45.20,45.50,45.00,23100.00
21/03/2019,46.00,LIX,45.00,46.00,45.00,14710.00
20/03/2019,45.10,LIX,45.20,45.20,45.00,620.00
19/03/2019,45.20,LIX,45.25,45.25,45.20,1070.00
18/03/2019,45.60,LIX,45.60,45.60,45.20,14780.00
15/03/2019,45.60,LIX,45.60,45.60,45.40,440.00
14/03/2019,45.60,LIX,45.95,45.95,45.60,1360.00
13/03/2019,46.00,LIX,45.00,46.65,45.00,9150.00
12/03/2019,45.10,LIX,45.00,45.10,44.80,4570.00
11/03/2019,45.00,LIX,45.00,45.00,44.80,58790.00
08/03/2019,45.00,LIX,45.00,47.00,45.00,115860.00
07/03/2019,45.00,LIX,45.00,47.00,45.00,43490.00
06/03/2019,45.00,LIX,44.95,45.00,44.70,13060.00
05/03/2019,45.00,LIX,45.00,45.05,44.90,76910.00
04/03/2019,45.00,LIX,45.00,45.05,45.00,80800.00
01/03/2019,45.00,LIX,46.00,47.70,44.70,52790.00
28/02/2019,47.70,LIX,46.90,47.70,46.50,1170.00
27/02/2019,47.90,LIX,47.75,47.90,46.50,1130.00
26/02/2019,47.90,LIX,47.90,47.90,47.80,1440.00
25/02/2019,47.90,LIX,48.00,48.00,47.50,12030.00
22/02/2019,48.00,LIX,45.00,48.00,45.00,15740.00
21/02/2019,45.00,LIX,45.00,45.00,45.00,6550.00
20/02/2019,45.00,LIX,45.00,45.00,44.90,5230.00
19/02/2019,45.00,LIX,45.00,45.00,44.80,14660.00
18/02/2019,45.00,LIX,46.00,47.50,44.80,51160.00
15/02/2019,45.00,LIX,45.00,45.00,45.00,34620.00
14/02/2019,45.00,LIX,44.60,45.10,44.60,31400.00
13/02/2019,44.70,LIX,45.00,45.00,44.50,23980.00
12/02/2019,45.00,LIX,45.70,45.90,44.80,103210.00
11/02/2019,45.90,LIX,45.90,45.90,44.50,4220.00
01/02/2019,45.90,LIX,45.90,45.90,45.90,320.00
31/01/2019,45.90,LIX,45.90,46.00,45.00,34890.00
30/01/2019,45.90,LIX,46.00,46.00,45.90,15600.00
29/01/2019,45.90,LIX,46.10,46.10,45.90,67570.00
28/01/2019,46.05,LIX,46.90,46.90,46.05,17870.00
25/01/2019,46.30,LIX,46.30,47.40,46.00,30830.00
24/01/2019,46.30,LIX,47.50,47.50,46.30,15700.00
23/01/2019,46.50,LIX,46.30,46.50,46.00,14960.00
22/01/2019,46.50,LIX,46.50,46.50,46.40,31870.00
21/01/2019,47.40,LIX,47.60,47.60,46.20,17930.00
18/01/2019,47.60,LIX,47.80,47.80,47.60,7010.00
17/01/2019,46.50,LIX,47.50,47.50,46.50,18880.00
16/01/2019,46.50,LIX,48.00,48.00,46.50,31490.00
