DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,2.30,LTC,2.30,2.50,2.30,5400.00
25/04/2019,2.50,LTC,2.50,2.50,2.50,100.00
24/04/2019,2.70,LTC,2.70,2.70,2.70,1200.00
23/04/2019,2.50,LTC,2.40,2.50,2.40,2200.00
22/04/2019,2.60,LTC,2.60,2.60,2.60,1300.00
19/04/2019,2.80,LTC,2.80,2.80,2.60,2700.00
18/04/2019,2.80,LTC,3.00,3.00,2.80,1592.00
17/04/2019,3.10,LTC,3.10,3.10,3.10,0.00
16/04/2019,3.10,LTC,3.10,3.10,3.10,800.00
12/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
11/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
10/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
09/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
08/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
05/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
04/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
03/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
02/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
01/04/2019,3.40,LTC,3.40,3.40,3.40,0.00
29/03/2019,3.40,LTC,3.40,3.40,3.40,0.00
28/03/2019,3.40,LTC,3.40,3.40,3.40,0.00
27/03/2019,3.40,LTC,3.40,3.40,3.40,0.00
26/03/2019,3.40,LTC,3.40,3.40,3.40,0.00
25/03/2019,3.40,LTC,3.40,3.40,3.40,0.00
22/03/2019,3.40,LTC,3.40,3.40,3.40,1500.00
21/03/2019,3.20,LTC,3.20,3.20,3.20,300.00
20/03/2019,3.10,LTC,3.10,3.10,3.10,560.00
19/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
18/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
15/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
14/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
13/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
12/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
11/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
08/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
07/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
06/03/2019,3.10,LTC,3.10,3.10,3.10,1000.00
05/03/2019,3.10,LTC,3.10,3.10,3.10,20.00
04/03/2019,3.10,LTC,3.10,3.10,3.10,500.00
01/03/2019,3.10,LTC,3.10,3.10,3.10,0.00
28/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
27/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
26/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
25/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
22/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
21/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
20/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
19/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
18/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
15/02/2019,3.10,LTC,3.10,3.10,3.10,0.00
14/02/2019,3.10,LTC,2.90,3.10,2.90,2700.00
13/02/2019,2.90,LTC,2.90,2.90,2.90,72.00
12/02/2019,2.90,LTC,2.90,2.90,2.90,0.00
11/02/2019,2.90,LTC,2.90,2.90,2.90,0.00
01/02/2019,2.90,LTC,2.90,2.90,2.90,0.00
31/01/2019,2.90,LTC,2.90,2.90,2.90,2000.00
30/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
29/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
28/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
25/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
24/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
23/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
22/01/2019,3.00,LTC,3.00,3.00,3.00,0.00
21/01/2019,3.00,LTC,3.00,3.00,3.00,2100.00
18/01/2019,3.00,LTC,3.00,3.00,3.00,3500.00
17/01/2019,3.30,LTC,3.30,3.30,3.30,0.00
16/01/2019,3.30,LTC,3.30,3.30,3.30,0.00
15/01/2019,3.30,LTC,3.30,3.30,3.30,0.00
14/01/2019,3.30,LTC,3.20,3.30,3.20,2700.00
11/01/2019,3.10,LTC,3.10,3.10,3.10,1300.00
10/01/2019,3.10,LTC,3.10,3.10,3.10,6000.00
09/01/2019,3.10,LTC,3.10,3.10,3.10,3100.00
08/01/2019,3.40,LTC,3.10,3.40,3.10,6100.00
07/01/2019,3.40,LTC,3.40,3.40,3.40,0.00
04/01/2019,3.40,LTC,3.40,3.40,3.40,900.00
03/01/2019,3.40,LTC,3.40,3.40,3.40,5200.00
02/01/2019,3.50,LTC,3.50,3.50,3.50,1000.00
28/12/2018,3.50,LTC,3.40,3.50,3.20,7500.00
27/12/2018,3.40,LTC,3.20,3.40,3.20,6000.00
26/12/2018,3.10,LTC,3.10,3.10,3.10,1000.00
25/12/2018,3.40,LTC,3.40,3.40,3.40,0.00
24/12/2018,3.40,LTC,3.40,3.40,3.40,1000.00
21/12/2018,3.40,LTC,3.40,3.40,3.40,2000.00
20/12/2018,3.60,LTC,3.60,3.70,3.40,17100.00
19/12/2018,3.40,LTC,3.60,3.60,3.40,2500.00
18/12/2018,3.40,LTC,3.40,3.40,3.40,0.00
17/12/2018,3.40,LTC,3.20,3.40,2.90,5200.00
14/12/2018,3.10,LTC,3.10,3.10,3.10,400.00
13/12/2018,2.90,LTC,2.90,2.90,2.90,0.00
12/12/2018,2.90,LTC,2.90,2.90,2.90,23800.00
11/12/2018,3.20,LTC,3.20,3.20,3.20,6000.00
10/12/2018,3.50,LTC,3.50,3.50,3.50,0.00
07/12/2018,3.50,LTC,3.50,3.50,3.50,500.00
06/12/2018,3.80,LTC,3.80,3.80,3.80,0.00
