DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.00,MAC,7.00,7.00,7.00,0.00
25/04/2019,7.00,MAC,7.00,7.00,7.00,0.00
24/04/2019,7.00,MAC,7.00,7.00,7.00,1000.00
23/04/2019,7.10,MAC,7.10,7.10,7.10,0.00
22/04/2019,7.10,MAC,7.10,7.10,7.10,20000.00
19/04/2019,7.10,MAC,7.10,7.10,7.10,10000.00
18/04/2019,7.20,MAC,7.20,7.20,7.20,0.00
17/04/2019,7.20,MAC,7.10,7.20,7.10,4100.00
16/04/2019,7.10,MAC,7.30,7.30,7.10,6900.00
12/04/2019,7.30,MAC,7.10,7.30,7.00,47100.00
11/04/2019,7.30,MAC,7.30,7.30,7.10,25000.00
10/04/2019,7.30,MAC,7.20,7.30,7.20,15000.00
09/04/2019,7.30,MAC,7.20,7.40,7.20,11110.00
08/04/2019,7.10,MAC,7.10,7.20,7.10,2900.00
05/04/2019,7.10,MAC,6.70,7.10,6.70,200.00
04/04/2019,7.40,MAC,7.40,7.40,7.40,100.00
03/04/2019,7.00,MAC,7.00,7.00,7.00,75.00
02/04/2019,7.00,MAC,6.40,7.00,6.40,6700.00
01/04/2019,6.40,MAC,6.40,6.70,6.40,400.00
29/03/2019,6.40,MAC,6.70,6.70,6.40,200.00
28/03/2019,7.10,MAC,6.20,7.10,6.20,1300.00
27/03/2019,6.60,MAC,6.20,6.60,6.20,2800.00
26/03/2019,6.70,MAC,6.50,7.40,6.20,1725.00
25/03/2019,6.80,MAC,6.80,6.80,6.80,100.00
22/03/2019,7.40,MAC,7.40,7.40,7.40,100.00
21/03/2019,6.90,MAC,6.90,6.90,6.90,100.00
20/03/2019,7.40,MAC,7.40,7.40,7.40,50.00
19/03/2019,7.40,MAC,7.50,7.50,7.40,16000.00
18/03/2019,7.50,MAC,7.20,7.70,7.20,10304.00
15/03/2019,7.00,MAC,7.30,7.30,6.80,5700.00
14/03/2019,7.30,MAC,7.30,7.30,7.30,10.00
13/03/2019,7.30,MAC,7.30,7.30,7.30,3610.00
12/03/2019,7.10,MAC,6.80,7.10,6.80,322.00
11/03/2019,7.40,MAC,7.40,7.40,7.40,10.00
08/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
07/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
06/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
05/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
04/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
01/03/2019,7.40,MAC,7.40,7.40,7.40,0.00
28/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
27/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
26/02/2019,7.40,MAC,7.40,7.40,7.40,45.00
25/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
22/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
21/02/2019,7.40,MAC,6.70,7.40,6.70,10300.00
20/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
19/02/2019,7.40,MAC,7.40,7.40,7.40,0.00
18/02/2019,7.40,MAC,7.20,7.40,7.20,4575.00
15/02/2019,7.20,MAC,7.20,7.20,7.20,0.00
14/02/2019,7.20,MAC,7.20,7.20,7.20,1000.00
13/02/2019,7.40,MAC,7.30,7.40,7.30,5400.00
12/02/2019,7.50,MAC,6.90,7.50,6.90,4200.00
11/02/2019,6.90,MAC,6.90,6.90,6.90,0.00
01/02/2019,6.90,MAC,6.90,6.90,6.90,0.00
31/01/2019,6.90,MAC,6.90,6.90,6.90,0.00
30/01/2019,6.90,MAC,6.90,6.90,6.90,0.00
29/01/2019,6.90,MAC,6.90,6.90,6.90,0.00
