DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,48.00,MAS,48.50,49.50,48.00,3810.00
25/04/2019,52.00,MAS,52.50,53.00,49.20,1600.00
24/04/2019,51.80,MAS,47.60,51.80,47.60,334.00
23/04/2019,51.80,MAS,47.30,51.80,47.30,900.00
22/04/2019,47.10,MAS,52.80,52.80,47.10,400.00
19/04/2019,49.00,MAS,51.20,54.00,48.00,900.00
18/04/2019,51.20,MAS,51.20,56.30,51.20,1323.00
17/04/2019,56.80,MAS,47.80,56.90,47.80,3284.00
16/04/2019,52.00,MAS,52.00,52.00,47.80,300.00
12/04/2019,48.60,MAS,48.70,48.70,48.60,580.00
11/04/2019,49.50,MAS,48.50,49.50,48.50,500.00
10/04/2019,45.00,MAS,49.00,49.00,45.00,700.00
09/04/2019,49.00,MAS,49.00,49.00,49.00,1700.00
08/04/2019,51.00,MAS,51.00,51.00,51.00,1100.00
05/04/2019,49.10,MAS,50.00,51.00,49.10,6400.00
04/04/2019,50.00,MAS,50.00,50.00,50.00,2700.00
03/04/2019,50.00,MAS,49.00,50.00,49.00,1210.00
02/04/2019,48.50,MAS,48.50,48.50,48.50,100.00
01/04/2019,49.00,MAS,51.00,52.00,48.10,89000.00
29/03/2019,48.10,MAS,49.00,51.60,48.10,300.00
28/03/2019,48.00,MAS,48.00,48.00,48.00,320.00
27/03/2019,48.00,MAS,48.00,48.00,48.00,100.00
26/03/2019,47.50,MAS,47.50,47.50,47.50,534.00
25/03/2019,48.00,MAS,48.00,48.00,48.00,0.00
22/03/2019,48.00,MAS,48.00,48.00,48.00,12.00
21/03/2019,48.00,MAS,48.00,48.00,48.00,45.00
20/03/2019,48.00,MAS,48.00,48.00,48.00,0.00
19/03/2019,48.00,MAS,48.00,48.00,48.00,500.00
18/03/2019,49.50,MAS,49.50,49.50,49.50,100.00
15/03/2019,46.70,MAS,46.70,46.70,46.70,1000.00
14/03/2019,46.70,MAS,46.70,46.70,46.70,1200.00
13/03/2019,46.50,MAS,46.00,46.50,46.00,2730.00
12/03/2019,46.50,MAS,46.00,46.50,46.00,1600.00
11/03/2019,47.00,MAS,46.00,47.00,46.00,7800.00
08/03/2019,47.00,MAS,47.00,47.00,47.00,1110.00
