DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,16.50,MBS,15.60,16.50,15.60,315911.00
25/04/2019,15.90,MBS,15.70,15.90,15.50,249365.00
24/04/2019,15.90,MBS,15.80,15.90,15.40,274100.00
23/04/2019,15.80,MBS,15.00,16.50,14.90,639803.00
22/04/2019,15.00,MBS,14.70,15.00,14.70,245670.00
19/04/2019,15.00,MBS,14.90,15.00,14.90,134110.00
18/04/2019,15.00,MBS,15.00,15.00,14.70,213800.00
17/04/2019,15.00,MBS,15.00,15.00,14.70,236440.00
16/04/2019,14.80,MBS,15.20,15.20,14.80,195451.00
12/04/2019,15.20,MBS,15.20,15.30,15.10,97140.00
11/04/2019,15.50,MBS,15.20,15.50,15.20,208148.00
10/04/2019,15.20,MBS,15.50,15.50,15.20,103455.00
09/04/2019,15.50,MBS,15.70,15.80,15.50,92720.00
08/04/2019,15.70,MBS,15.90,16.00,15.60,142270.00
05/04/2019,15.80,MBS,15.60,15.80,15.30,258820.00
04/04/2019,15.60,MBS,15.40,15.80,15.40,174714.00
03/04/2019,15.50,MBS,15.90,15.90,15.50,240009.00
02/04/2019,15.80,MBS,16.10,16.20,15.80,245610.00
01/04/2019,16.00,MBS,16.10,16.30,16.00,818662.00
29/03/2019,16.10,MBS,16.00,16.20,16.00,158300.00
28/03/2019,16.00,MBS,16.10,16.20,16.00,92100.00
27/03/2019,16.10,MBS,16.30,16.50,16.10,182710.00
26/03/2019,16.10,MBS,16.40,16.50,15.90,165188.00
25/03/2019,15.90,MBS,16.00,16.30,15.90,473150.00
22/03/2019,16.60,MBS,16.60,16.70,16.40,353770.00
21/03/2019,16.60,MBS,16.80,17.10,16.60,455602.00
20/03/2019,16.60,MBS,16.10,16.70,16.00,289100.00
19/03/2019,16.30,MBS,16.50,16.90,16.30,851840.00
18/03/2019,16.30,MBS,16.10,16.40,16.00,286338.00
15/03/2019,16.00,MBS,15.70,16.10,15.70,262330.00
14/03/2019,15.70,MBS,16.10,16.10,15.70,256740.00
13/03/2019,16.20,MBS,15.30,16.20,15.20,876524.00
12/03/2019,15.20,MBS,15.00,15.20,15.00,107650.00
11/03/2019,15.00,MBS,15.00,15.00,15.00,54785.00
08/03/2019,15.00,MBS,15.20,15.20,15.00,109000.00
07/03/2019,15.30,MBS,15.30,15.40,15.20,168530.00
06/03/2019,15.30,MBS,15.40,15.40,15.20,127834.00
05/03/2019,15.40,MBS,15.60,15.70,15.30,291800.00
04/03/2019,15.60,MBS,15.40,15.80,15.20,216465.00
01/03/2019,15.20,MBS,15.10,15.30,15.10,40500.00
28/02/2019,15.10,MBS,15.40,15.50,15.10,76550.00
27/02/2019,15.40,MBS,15.40,15.60,15.30,69589.00
26/02/2019,15.40,MBS,15.40,15.50,15.20,180749.00
25/02/2019,15.40,MBS,15.70,15.70,15.40,106960.00
22/02/2019,15.40,MBS,15.80,15.80,15.30,89849.00
21/02/2019,15.70,MBS,14.60,16.10,14.50,1024279.00
20/02/2019,14.70,MBS,14.90,14.90,14.70,31710.00
19/02/2019,14.70,MBS,15.00,15.00,14.70,103705.00
18/02/2019,15.10,MBS,15.10,15.10,14.90,29760.00
15/02/2019,15.20,MBS,15.00,15.30,14.90,83940.00
14/02/2019,15.00,MBS,15.10,15.10,15.00,83800.00
13/02/2019,15.30,MBS,15.30,15.30,15.10,177530.00
12/02/2019,15.30,MBS,15.50,15.50,15.20,80330.00
11/02/2019,15.50,MBS,15.00,15.50,15.00,93100.00
01/02/2019,15.00,MBS,14.70,15.00,14.60,36415.00
31/01/2019,15.00,MBS,15.00,15.00,14.80,17810.00
30/01/2019,15.00,MBS,14.90,15.00,14.80,48500.00
29/01/2019,14.90,MBS,14.50,14.90,14.40,110700.00
28/01/2019,14.50,MBS,14.80,14.90,14.50,48410.00
