DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,2.53,MCG,2.53,2.53,2.53,1400.00
25/04/2019,2.53,MCG,2.53,2.53,2.53,10.00
24/04/2019,2.70,MCG,2.69,2.70,2.69,2300.00
23/04/2019,2.69,MCG,2.69,2.69,2.69,1700.00
22/04/2019,2.89,MCG,2.89,2.89,2.89,100.00
19/04/2019,2.90,MCG,2.90,2.90,2.90,100.00
18/04/2019,2.90,MCG,2.70,2.90,2.70,3700.00
17/04/2019,2.90,MCG,2.79,2.90,2.79,1520.00
16/04/2019,3.00,MCG,3.09,3.09,3.00,20.00
12/04/2019,3.00,MCG,2.90,3.00,2.90,1010.00
11/04/2019,3.00,MCG,3.00,3.00,2.90,1260.00
10/04/2019,2.90,MCG,2.70,3.00,2.70,4520.00
09/04/2019,2.90,MCG,2.60,2.90,2.60,20.00
08/04/2019,2.79,MCG,2.90,2.90,2.79,150.00
05/04/2019,3.00,MCG,3.00,3.00,3.00,0.00
04/04/2019,3.00,MCG,2.79,3.00,2.79,100.00
03/04/2019,3.00,MCG,2.78,3.00,2.78,210.00
02/04/2019,2.98,MCG,3.20,3.42,2.98,3280.00
01/04/2019,3.20,MCG,3.20,3.20,3.20,0.00
29/03/2019,3.20,MCG,3.20,3.20,3.20,100.00
28/03/2019,3.10,MCG,3.10,3.10,3.10,0.00
27/03/2019,3.10,MCG,3.10,3.10,3.10,0.00
26/03/2019,3.10,MCG,3.10,3.10,3.10,10.00
25/03/2019,3.04,MCG,3.04,3.04,3.04,100.00
22/03/2019,2.85,MCG,2.62,2.98,2.62,6320.00
21/03/2019,2.80,MCG,2.80,2.80,2.80,100.00
20/03/2019,2.77,MCG,3.15,3.15,2.77,110.00
19/03/2019,2.97,MCG,2.97,2.97,2.97,400.00
18/03/2019,2.78,MCG,2.98,3.00,2.78,2890.00
15/03/2019,2.98,MCG,3.38,3.39,2.98,7350.00
14/03/2019,3.20,MCG,2.79,3.20,2.79,9610.00
13/03/2019,3.00,MCG,2.98,3.00,2.98,1010.00
12/03/2019,3.00,MCG,3.00,3.00,3.00,100.00
11/03/2019,3.10,MCG,3.10,3.10,3.10,0.00
08/03/2019,3.10,MCG,3.10,3.10,3.10,100.00
07/03/2019,2.90,MCG,2.90,2.90,2.90,0.00
06/03/2019,2.90,MCG,2.90,2.90,2.90,0.00
05/03/2019,2.90,MCG,2.90,2.90,2.90,160.00
04/03/2019,2.90,MCG,2.90,2.90,2.90,50.00
01/03/2019,2.80,MCG,3.10,3.10,2.80,300.00
28/02/2019,2.99,MCG,2.80,2.99,2.80,50.00
27/02/2019,2.80,MCG,2.80,2.80,2.80,10.00
26/02/2019,2.65,MCG,2.60,2.80,2.60,5070.00
25/02/2019,2.79,MCG,2.80,2.80,2.70,240.00
22/02/2019,2.67,MCG,2.67,2.67,2.67,10.00
21/02/2019,2.50,MCG,2.50,2.50,2.50,50.00
20/02/2019,2.44,MCG,2.28,2.44,2.28,350.00
19/02/2019,2.44,MCG,2.44,2.44,2.44,0.00
18/02/2019,2.44,MCG,2.44,2.44,2.44,1200.00
15/02/2019,2.45,MCG,2.45,2.45,2.45,10160.00
14/02/2019,2.50,MCG,2.56,2.56,2.50,150.00
13/02/2019,2.40,MCG,2.20,2.40,2.20,7610.00
12/02/2019,2.35,MCG,2.35,2.35,2.35,140.00
11/02/2019,2.20,MCG,2.30,2.30,2.20,5270.00
01/02/2019,2.30,MCG,2.30,2.30,2.30,5200.00
31/01/2019,2.39,MCG,2.73,2.73,2.39,750.00
30/01/2019,2.56,MCG,2.40,2.56,2.40,1010.00
29/01/2019,2.40,MCG,2.40,2.45,2.40,2940.00
28/01/2019,2.49,MCG,2.49,2.49,2.49,0.00
25/01/2019,2.49,MCG,2.30,2.49,2.30,140.00
24/01/2019,2.36,MCG,2.36,2.36,2.36,0.00
23/01/2019,2.36,MCG,2.36,2.36,2.36,10.00
22/01/2019,2.30,MCG,2.30,2.30,2.30,30.00
21/01/2019,2.40,MCG,2.40,2.40,2.30,9510.00
18/01/2019,2.41,MCG,2.41,2.41,2.41,100.00
17/01/2019,2.55,MCG,2.55,2.55,2.55,10530.00
16/01/2019,2.74,MCG,2.74,2.74,2.45,12970.00
15/01/2019,2.57,MCG,2.57,2.57,2.57,0.00
14/01/2019,2.57,MCG,2.57,2.57,2.57,0.00
11/01/2019,2.57,MCG,2.57,2.57,2.57,2000.00
10/01/2019,2.75,MCG,2.75,2.75,2.75,50.00
09/01/2019,2.61,MCG,2.50,2.61,2.50,3050.00
08/01/2019,2.61,MCG,2.61,2.61,2.61,10280.00
07/01/2019,2.80,MCG,2.80,2.80,2.80,0.00
04/01/2019,2.80,MCG,2.48,2.80,2.48,2100.00
03/01/2019,2.66,MCG,2.50,2.66,2.48,10100.00
02/01/2019,2.66,MCG,2.66,2.66,2.66,0.00
28/12/2018,2.66,MCG,2.66,2.66,2.66,10.00
27/12/2018,2.50,MCG,2.50,2.50,2.50,15000.00
26/12/2018,2.52,MCG,2.52,2.52,2.52,1360.00
25/12/2018,2.36,MCG,2.36,2.36,2.36,0.00
24/12/2018,2.36,MCG,2.36,2.36,2.36,10.00
21/12/2018,2.50,MCG,2.50,2.50,2.50,0.00
20/12/2018,2.50,MCG,2.50,2.50,2.50,72000.00
19/12/2018,2.50,MCG,2.50,2.55,2.49,11780.00
18/12/2018,2.50,MCG,2.57,2.57,2.50,15000.00
17/12/2018,2.58,MCG,2.58,2.58,2.58,4740.00
14/12/2018,2.58,MCG,2.43,2.58,2.43,6510.00
13/12/2018,2.43,MCG,2.45,2.60,2.43,9650.00
