DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,97.50,MCH,99.00,99.90,97.50,22000.00
25/04/2019,98.00,MCH,97.20,99.00,97.20,4297.00
24/04/2019,97.00,MCH,98.50,100.00,97.00,35857.00
23/04/2019,99.10,MCH,100.00,100.00,99.10,3290.00
22/04/2019,99.90,MCH,99.00,99.90,99.00,6349.00
19/04/2019,99.00,MCH,99.00,99.00,99.00,100.00
18/04/2019,98.00,MCH,97.50,98.10,97.50,41040.00
17/04/2019,98.10,MCH,96.10,98.10,96.10,8400.00
16/04/2019,98.10,MCH,98.00,98.40,98.00,18271.00
12/04/2019,98.10,MCH,99.50,99.50,98.10,34610.00
11/04/2019,98.70,MCH,98.50,99.00,98.50,12560.00
10/04/2019,98.00,MCH,98.00,98.30,96.90,4680.00
09/04/2019,98.00,MCH,96.90,98.00,96.90,8560.00
08/04/2019,97.50,MCH,97.00,97.50,97.00,11740.00
05/04/2019,97.00,MCH,98.80,99.00,97.00,19342.00
04/04/2019,98.00,MCH,99.00,99.00,97.00,16252.00
03/04/2019,96.70,MCH,96.70,96.70,96.70,332.00
02/04/2019,99.00,MCH,98.90,99.00,98.80,10323.00
01/04/2019,99.00,MCH,98.40,99.00,98.00,11415.00
29/03/2019,98.40,MCH,98.40,98.40,98.40,10.00
28/03/2019,98.80,MCH,97.30,99.00,95.10,15639.00
27/03/2019,98.80,MCH,98.70,98.80,98.00,57711.00
26/03/2019,98.70,MCH,98.00,98.90,98.00,13080.00
25/03/2019,98.00,MCH,98.00,98.00,98.00,1879.00
22/03/2019,98.00,MCH,96.70,98.00,96.50,12152.00
21/03/2019,98.00,MCH,98.00,98.50,98.00,6181.00
20/03/2019,97.50,MCH,97.50,98.00,97.40,11311.00
19/03/2019,97.00,MCH,98.00,98.00,97.00,561.00
18/03/2019,97.90,MCH,99.00,99.00,97.30,10703.00
15/03/2019,98.00,MCH,98.00,98.00,98.00,600.00
14/03/2019,98.30,MCH,98.30,99.90,98.30,13982.00
13/03/2019,99.00,MCH,100.00,100.10,99.00,4068.00
12/03/2019,101.00,MCH,100.30,101.00,100.00,1850.00
11/03/2019,102.00,MCH,102.00,102.00,101.60,2628.00
08/03/2019,103.60,MCH,103.60,103.60,103.60,0.00
07/03/2019,103.00,MCH,105.50,105.50,103.00,2800.00
06/03/2019,103.30,MCH,103.50,104.00,103.30,1115.00
05/03/2019,104.10,MCH,105.00,105.00,104.10,1808.00
04/03/2019,104.10,MCH,103.70,104.20,103.70,3480.00
01/03/2019,108.70,MCH,108.00,108.70,108.00,295.00
28/02/2019,106.50,MCH,106.50,106.50,106.50,50.00
27/02/2019,106.50,MCH,105.00,107.00,105.00,3673.00
26/02/2019,110.00,MCH,110.00,110.00,110.00,501.00
25/02/2019,110.00,MCH,109.00,110.00,102.50,7683.00
22/02/2019,109.80,MCH,109.80,109.80,109.00,703.00
21/02/2019,109.90,MCH,109.90,110.00,109.00,2485.00
20/02/2019,110.00,MCH,109.70,110.00,109.70,5471.00
19/02/2019,109.90,MCH,109.50,109.90,109.50,11828.00
18/02/2019,109.80,MCH,110.00,110.00,109.80,13557.00
15/02/2019,110.00,MCH,109.00,110.00,109.00,20581.00
14/02/2019,109.00,MCH,109.00,109.00,109.00,3330.00
13/02/2019,108.60,MCH,108.00,108.90,108.00,41508.00
12/02/2019,108.60,MCH,108.10,109.00,108.10,4700.00
11/02/2019,109.00,MCH,108.00,109.00,108.00,15300.00
01/02/2019,108.00,MCH,100.00,108.00,100.00,3263.00
31/01/2019,108.00,MCH,108.00,108.00,107.90,746.00
30/01/2019,108.00,MCH,107.00,108.50,107.00,6221.00
29/01/2019,108.00,MCH,106.00,108.50,106.00,20896.00
28/01/2019,108.00,MCH,107.70,108.00,107.70,5395.00
25/01/2019,108.00,MCH,107.50,108.00,106.90,6627.00
24/01/2019,108.00,MCH,105.20,110.00,105.00,11348.00
23/01/2019,110.00,MCH,106.00,110.00,106.00,59348.00
22/01/2019,108.00,MCH,107.50,108.00,105.60,43300.00
21/01/2019,106.50,MCH,105.00,106.50,105.00,19552.00
18/01/2019,105.90,MCH,104.50,105.90,104.00,36214.00
17/01/2019,106.00,MCH,103.00,106.00,103.00,51533.00
16/01/2019,103.20,MCH,103.00,103.20,102.90,9840.00
15/01/2019,102.20,MCH,102.00,103.00,102.00,16632.00
14/01/2019,102.00,MCH,100.00,103.00,100.00,53450.00
11/01/2019,101.00,MCH,99.60,101.00,99.60,5245.00
10/01/2019,100.80,MCH,100.00,100.80,99.80,11705.00
09/01/2019,100.10,MCH,100.00,101.00,100.00,21932.00
08/01/2019,101.00,MCH,99.00,101.00,99.00,67044.00
07/01/2019,100.00,MCH,100.00,100.00,97.10,1537.00
04/01/2019,100.00,MCH,98.70,101.00,98.70,37361.00
03/01/2019,100.50,MCH,99.00,100.50,96.30,942.00
02/01/2019,100.00,MCH,99.00,100.00,99.00,4028.00
28/12/2018,102.00,MCH,99.90,102.00,96.00,38770.00
27/12/2018,99.00,MCH,100.00,100.00,99.00,1614.00
26/12/2018,101.00,MCH,99.50,101.00,99.50,36837.00
25/12/2018,100.80,MCH,96.00,100.80,96.00,476.00
24/12/2018,101.00,MCH,100.00,101.00,100.00,1536.00
21/12/2018,102.20,MCH,102.00,102.20,99.00,60517.00
20/12/2018,101.00,MCH,100.80,101.00,100.00,60850.00
19/12/2018,101.00,MCH,97.40,101.00,97.40,9006.00
18/12/2018,101.00,MCH,99.40,101.00,99.40,32946.00
17/12/2018,100.00,MCH,99.50,100.00,99.50,39004.00
14/12/2018,101.00,MCH,99.00,101.00,99.00,51352.00
13/12/2018,101.00,MCH,100.00,101.00,100.00,13463.00
12/12/2018,100.00,MCH,100.00,100.00,100.00,5777.00
11/12/2018,100.00,MCH,99.00,100.50,99.00,180517.00
10/12/2018,99.40,MCH,98.50,99.50,98.50,19522.00
07/12/2018,99.50,MCH,94.50,99.50,94.50,76516.00
06/12/2018,94.90,MCH,93.50,95.00,93.50,75611.00
05/12/2018,94.00,MCH,93.50,94.00,93.50,6027.00
04/12/2018,96.00,MCH,93.00,96.00,93.00,48347.00
03/12/2018,93.50,MCH,91.80,93.50,91.70,15768.00
30/11/2018,92.00,MCH,92.00,92.00,92.00,9150.00
29/11/2018,93.50,MCH,91.30,93.50,90.50,30631.00
28/11/2018,91.40,MCH,91.00,91.40,91.00,4634.00
27/11/2018,92.00,MCH,89.20,92.00,89.20,5183.00
26/11/2018,92.80,MCH,92.80,92.80,92.80,180.00
23/11/2018,90.20,MCH,93.90,93.90,90.10,2912.00
22/11/2018,92.60,MCH,93.00,93.00,92.60,28806.00
21/11/2018,93.90,MCH,92.80,93.90,92.80,7645.00
20/11/2018,93.00,MCH,93.00,93.00,92.50,44475.00
19/11/2018,93.50,MCH,92.00,93.50,92.00,43767.00
16/11/2018,93.20,MCH,90.70,93.50,90.70,40426.00
15/11/2018,91.00,MCH,89.00,92.00,89.00,21230.00
14/11/2018,90.00,MCH,89.50,90.00,89.50,43849.00
13/11/2018,90.00,MCH,88.50,90.00,87.00,14807.00
12/11/2018,88.00,MCH,86.00,88.00,86.00,26607.00
09/11/2018,86.00,MCH,86.00,86.00,86.00,2076.00
08/11/2018,87.00,MCH,86.00,87.00,86.00,3061.00
07/11/2018,86.00,MCH,84.50,86.30,84.50,6286.00
06/11/2018,86.00,MCH,85.20,86.50,85.20,13610.00
05/11/2018,85.00,MCH,89.00,89.00,85.00,11326.00
02/11/2018,85.00,MCH,85.00,85.00,85.00,136.00
01/11/2018,84.00,MCH,84.00,85.00,84.00,4265.00
31/10/2018,84.50,MCH,75.00,87.00,75.00,4170.00
30/10/2018,86.00,MCH,83.10,86.00,83.10,18085.00
29/10/2018,83.00,MCH,83.00,83.90,83.00,1712.00
26/10/2018,83.40,MCH,83.80,84.50,83.10,2170.00
25/10/2018,84.00,MCH,84.80,84.80,80.10,767.00
24/10/2018,85.00,MCH,85.00,85.00,83.00,3182.00
23/10/2018,82.00,MCH,82.00,86.00,82.00,3123.00
22/10/2018,85.10,MCH,85.00,85.10,85.00,1175.00
19/10/2018,85.00,MCH,85.00,85.00,85.00,10000.00
18/10/2018,86.90,MCH,86.90,86.90,86.90,599.00
17/10/2018,86.10,MCH,86.30,86.30,86.10,1106.00
16/10/2018,86.10,MCH,86.10,86.10,86.00,2480.00
15/10/2018,86.00,MCH,86.00,87.00,86.00,7542.00
12/10/2018,86.00,MCH,86.00,86.00,86.00,100.00
11/10/2018,89.30,MCH,89.60,89.60,89.30,3569.00
10/10/2018,88.30,MCH,90.00,90.00,88.20,8285.00
09/10/2018,89.30,MCH,89.30,89.30,89.30,113.00
08/10/2018,90.00,MCH,90.00,90.00,87.00,7538.00
05/10/2018,90.00,MCH,90.20,90.50,90.00,8980.00
04/10/2018,90.10,MCH,90.50,90.50,90.00,21179.00
03/10/2018,90.50,MCH,90.00,90.50,90.00,5502.00
02/10/2018,90.10,MCH,90.50,90.50,90.10,400.00
01/10/2018,90.10,MCH,88.60,90.50,88.60,24363.00
28/09/2018,90.00,MCH,90.00,90.00,89.80,7658.00
27/09/2018,88.60,MCH,88.50,89.50,88.50,7510.00
26/09/2018,90.00,MCH,88.00,90.00,88.00,21475.00
25/09/2018,89.00,MCH,88.50,89.00,88.50,5904.00
24/09/2018,88.50,MCH,88.90,88.90,88.50,4775.00
21/09/2018,88.50,MCH,88.00,88.50,88.00,10763.00
20/09/2018,88.00,MCH,88.00,89.00,88.00,5899.00
19/09/2018,88.00,MCH,88.00,88.00,88.00,6124.00
18/09/2018,88.00,MCH,87.80,88.00,87.80,3890.00
17/09/2018,88.00,MCH,87.00,88.00,87.00,686.00
14/09/2018,88.50,MCH,88.50,88.50,88.50,7715.00
13/09/2018,88.60,MCH,88.00,88.60,88.00,1846.00
12/09/2018,88.50,MCH,88.00,88.50,88.00,6397.00
11/09/2018,88.50,MCH,88.00,88.50,88.00,8288.00
10/09/2018,88.50,MCH,88.60,88.60,88.50,18095.00
07/09/2018,88.60,MCH,88.60,88.80,88.60,6038.00
06/09/2018,88.60,MCH,88.00,88.70,88.00,10117.00
05/09/2018,88.50,MCH,88.50,88.50,88.40,8800.00
04/09/2018,88.50,MCH,88.20,89.80,88.20,7370.00
31/08/2018,88.30,MCH,88.00,90.00,88.00,3222.00
30/08/2018,88.20,MCH,87.00,88.50,86.00,16200.00
29/08/2018,87.00,MCH,87.00,88.00,86.00,8323.00
28/08/2018,86.00,MCH,94.70,94.70,83.80,3730.00
27/08/2018,90.00,MCH,96.60,97.00,89.90,5388.00
24/08/2018,99.00,MCH,97.00,99.00,97.00,53030.00
23/08/2018,97.50,MCH,98.00,98.00,97.00,43490.00
22/08/2018,98.10,MCH,96.50,98.10,96.50,13613.00
21/08/2018,96.90,MCH,96.50,97.00,96.50,4163.00
20/08/2018,96.90,MCH,96.90,97.00,96.90,18011.00
17/08/2018,98.00,MCH,98.00,98.30,98.00,5222.00
16/08/2018,98.50,MCH,99.00,99.00,98.00,13846.00
