DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
11/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
10/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
09/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
08/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
07/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
04/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
03/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
02/05/2012,3.60,MCV,3.60,3.60,3.60,0.00
27/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
26/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
25/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
24/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
23/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
20/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
19/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
18/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
17/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
16/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
13/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
12/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
11/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
10/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
09/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
06/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
05/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
04/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
03/04/2012,3.60,MCV,3.60,3.60,3.60,0.00
30/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
29/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
28/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
27/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
26/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
23/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
22/03/2012,3.60,MCV,3.60,3.60,3.60,0.00
