DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.90,MDC,7.80,7.90,7.70,25710.00
25/04/2019,7.90,MDC,7.80,7.90,7.80,34548.00
24/04/2019,7.90,MDC,7.90,7.90,7.80,124208.00
23/04/2019,8.00,MDC,7.90,8.00,7.70,94602.00
22/04/2019,7.90,MDC,7.80,8.00,7.80,15104.00
19/04/2019,7.70,MDC,7.70,7.80,7.70,24500.00
18/04/2019,7.80,MDC,7.70,7.80,7.70,2200.00
17/04/2019,7.80,MDC,7.70,7.80,7.70,1200.00
16/04/2019,7.80,MDC,7.80,7.80,7.70,10400.00
12/04/2019,7.80,MDC,7.70,7.80,7.70,12800.00
11/04/2019,7.70,MDC,7.70,7.70,7.70,5600.00
10/04/2019,7.70,MDC,7.70,7.70,7.70,12000.00
09/04/2019,7.70,MDC,7.70,7.70,7.70,13000.00
08/04/2019,7.70,MDC,7.50,7.70,7.50,600.00
05/04/2019,7.80,MDC,7.50,7.80,7.50,10300.00
04/04/2019,7.50,MDC,7.30,7.50,7.30,13300.00
03/04/2019,7.10,MDC,7.20,7.20,7.10,9872.00
02/04/2019,7.10,MDC,7.10,7.10,7.10,10000.00
01/04/2019,7.10,MDC,7.10,7.10,7.10,0.00
29/03/2019,7.10,MDC,7.20,7.20,7.10,33200.00
28/03/2019,7.20,MDC,7.20,7.20,7.20,3400.00
27/03/2019,7.10,MDC,7.10,7.20,7.10,66600.00
26/03/2019,6.90,MDC,6.60,6.90,6.60,10700.00
25/03/2019,6.50,MDC,6.50,6.50,6.50,1000.00
22/03/2019,6.40,MDC,6.50,6.50,6.40,16400.00
21/03/2019,6.50,MDC,6.70,6.70,6.50,47100.00
20/03/2019,6.70,MDC,6.50,6.70,6.50,7000.00
19/03/2019,6.50,MDC,6.50,6.50,6.50,500.00
18/03/2019,6.60,MDC,6.60,6.60,6.60,6900.00
15/03/2019,6.60,MDC,6.50,6.60,6.40,5100.00
14/03/2019,6.50,MDC,6.50,6.50,6.50,25500.00
13/03/2019,6.50,MDC,6.50,6.50,6.50,59700.00
12/03/2019,6.50,MDC,6.40,6.50,6.40,2100.00
11/03/2019,6.40,MDC,6.40,6.40,6.40,1500.00
08/03/2019,6.40,MDC,6.30,6.40,6.30,27702.00
07/03/2019,6.30,MDC,6.40,6.50,6.30,11222.00
06/03/2019,6.20,MDC,6.10,6.20,6.10,48802.00
05/03/2019,6.00,MDC,5.90,6.00,5.90,25802.00
04/03/2019,5.80,MDC,5.80,5.90,5.80,2800.00
01/03/2019,5.80,MDC,5.80,5.80,5.80,10000.00
28/02/2019,5.80,MDC,5.70,5.80,5.70,13500.00
27/02/2019,5.70,MDC,5.70,5.70,5.70,1000.00
26/02/2019,5.50,MDC,5.50,5.50,5.50,200.00
25/02/2019,5.50,MDC,5.60,5.60,5.50,4800.00
22/02/2019,5.40,MDC,5.40,5.40,5.40,100.00
21/02/2019,5.70,MDC,5.70,5.70,5.70,4500.00
20/02/2019,5.70,MDC,5.70,5.70,5.70,400.00
19/02/2019,5.70,MDC,5.70,5.80,5.70,7800.00
18/02/2019,5.70,MDC,5.70,5.70,5.70,0.00
15/02/2019,5.70,MDC,5.70,5.70,5.70,100.00
14/02/2019,5.50,MDC,5.70,5.90,5.50,4000.00
13/02/2019,5.50,MDC,5.50,5.50,5.50,0.00
12/02/2019,5.50,MDC,5.50,5.50,5.50,0.00
11/02/2019,5.50,MDC,5.50,5.50,5.50,0.00
01/02/2019,5.50,MDC,5.50,5.50,5.50,0.00
31/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
30/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
29/01/2019,5.50,MDC,5.50,5.50,5.50,11000.00
28/01/2019,5.50,MDC,5.50,5.50,5.50,9000.00
25/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
24/01/2019,5.50,MDC,5.50,5.50,5.50,45400.00
23/01/2019,5.50,MDC,5.50,5.50,5.50,1500.00
22/01/2019,5.50,MDC,5.50,5.50,5.50,9900.00
21/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
18/01/2019,5.50,MDC,5.50,5.50,5.50,15000.00
17/01/2019,5.50,MDC,5.50,5.50,5.50,300.00
16/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
15/01/2019,5.50,MDC,5.50,5.50,5.50,200.00
14/01/2019,5.70,MDC,5.20,5.70,5.20,631.00
11/01/2019,5.60,MDC,5.60,5.60,5.60,0.00
10/01/2019,5.60,MDC,5.60,5.60,5.60,5000.00
09/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
08/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
07/01/2019,5.50,MDC,5.50,5.90,5.50,300.00
04/01/2019,5.50,MDC,5.50,6.00,5.50,9400.00
03/01/2019,5.50,MDC,5.50,5.50,5.50,0.00
02/01/2019,5.50,MDC,5.40,5.50,5.40,200.00
28/12/2018,5.30,MDC,5.30,5.30,5.30,0.00
27/12/2018,5.30,MDC,5.30,5.30,5.30,300.00
26/12/2018,5.30,MDC,5.30,5.30,5.30,1500.00
25/12/2018,5.30,MDC,5.30,5.30,5.30,0.00
24/12/2018,5.30,MDC,5.30,5.30,5.30,0.00
