DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.75,MDG,10.75,10.75,10.15,320.00
25/04/2019,10.05,MDG,10.05,10.05,10.05,10.00
24/04/2019,10.10,MDG,11.00,11.40,10.05,500.00
23/04/2019,10.70,MDG,10.70,10.70,10.70,10.00
22/04/2019,11.50,MDG,10.60,11.50,10.60,1160.00
19/04/2019,11.35,MDG,11.45,12.90,11.35,30.00
18/04/2019,12.20,MDG,12.20,12.20,12.20,0.00
17/04/2019,12.20,MDG,12.20,12.20,12.20,40.00
16/04/2019,12.15,MDG,12.15,12.20,12.10,5110.00
12/04/2019,13.00,MDG,13.00,13.00,13.00,0.00
11/04/2019,13.00,MDG,13.00,13.00,13.00,0.00
10/04/2019,13.00,MDG,13.00,13.00,13.00,490.00
09/04/2019,13.00,MDG,13.00,13.00,13.00,100.00
08/04/2019,13.50,MDG,13.50,13.50,13.50,200.00
05/04/2019,13.50,MDG,12.40,13.50,12.40,140.00
04/04/2019,13.30,MDG,13.30,13.30,13.30,0.00
03/04/2019,13.30,MDG,13.30,13.30,13.30,0.00
02/04/2019,13.30,MDG,12.55,13.30,12.55,30.00
01/04/2019,12.55,MDG,12.55,12.55,12.55,0.00
29/03/2019,12.55,MDG,12.55,12.55,12.55,10.00
28/03/2019,12.45,MDG,12.45,12.45,12.45,110.00
27/03/2019,12.45,MDG,12.45,12.45,12.45,0.00
26/03/2019,12.45,MDG,12.45,12.45,12.45,30.00
25/03/2019,12.20,MDG,12.80,12.80,12.20,620.00
22/03/2019,12.80,MDG,12.00,12.85,12.00,5070.00
21/03/2019,12.05,MDG,12.05,12.05,12.05,340.00
20/03/2019,12.50,MDG,12.10,12.50,12.10,170.00
19/03/2019,12.50,MDG,12.05,12.50,12.05,280.00
18/03/2019,12.80,MDG,12.80,12.80,12.80,0.00
15/03/2019,12.80,MDG,12.00,12.90,12.00,218820.00
14/03/2019,12.90,MDG,13.00,13.00,12.90,540720.00
13/03/2019,12.90,MDG,13.00,13.00,12.90,1040.00
12/03/2019,13.80,MDG,13.80,13.80,13.80,10.00
11/03/2019,13.00,MDG,13.20,13.20,13.00,330.00
08/03/2019,12.40,MDG,12.40,12.40,12.40,4460.00
07/03/2019,12.30,MDG,13.20,13.20,12.30,5060.00
06/03/2019,13.20,MDG,12.80,13.65,12.50,1790.00
05/03/2019,12.80,MDG,12.75,12.80,12.40,3570.00
04/03/2019,12.00,MDG,12.00,12.00,12.00,600.00
01/03/2019,12.90,MDG,13.20,13.20,12.90,400.00
28/02/2019,13.85,MDG,12.95,13.85,12.95,110.00
27/02/2019,13.90,MDG,13.90,13.90,13.90,10.00
26/02/2019,13.50,MDG,13.50,13.50,13.50,10.00
25/02/2019,12.80,MDG,12.00,12.80,12.00,6010.00
22/02/2019,12.00,MDG,12.00,12.00,12.00,1240.00
21/02/2019,12.70,MDG,12.70,12.70,12.70,10.00
20/02/2019,12.00,MDG,12.60,12.60,12.00,4530.00
19/02/2019,11.80,MDG,11.80,11.80,11.80,0.00
18/02/2019,11.80,MDG,11.80,11.80,11.80,0.00
15/02/2019,11.80,MDG,13.00,13.00,11.80,20.00
14/02/2019,12.65,MDG,12.65,12.65,12.65,0.00
13/02/2019,12.65,MDG,11.85,12.65,11.85,30.00
12/02/2019,11.85,MDG,11.90,11.90,11.85,1900.00
11/02/2019,12.70,MDG,12.70,12.70,12.70,0.00
01/02/2019,12.70,MDG,12.70,12.70,12.70,0.00
31/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
30/01/2019,12.70,MDG,11.85,12.70,11.85,70.00
29/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
28/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
25/01/2019,12.70,MDG,12.70,12.70,12.70,120.00
24/01/2019,13.00,MDG,13.00,13.00,13.00,10.00
23/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
22/01/2019,12.70,MDG,12.70,12.70,12.70,358200.00
21/01/2019,12.90,MDG,11.80,12.90,11.80,310.00
18/01/2019,12.65,MDG,12.50,12.65,12.50,3190.00
17/01/2019,12.00,MDG,13.00,13.00,12.00,200.00
16/01/2019,12.60,MDG,12.60,12.60,12.55,13230.00
15/01/2019,11.85,MDG,11.85,11.85,11.85,0.00
14/01/2019,11.85,MDG,12.70,12.70,11.85,160.00
11/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
10/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
09/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
08/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
07/01/2019,12.70,MDG,12.70,12.70,12.70,200.00
04/01/2019,12.70,MDG,12.70,12.70,12.70,0.00
