DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,36.50,MH3,36.10,36.50,36.10,1500.00
25/04/2019,37.30,MH3,36.50,37.30,36.50,1700.00
24/04/2019,36.40,MH3,37.10,37.10,36.40,5500.00
23/04/2019,37.50,MH3,36.60,37.50,36.60,2450.00
22/04/2019,36.40,MH3,36.10,36.60,36.10,4200.00
19/04/2019,36.90,MH3,36.10,36.90,36.10,1740.00
18/04/2019,37.10,MH3,39.40,39.40,36.60,3910.00
17/04/2019,39.00,MH3,37.40,39.00,36.20,12050.00
16/04/2019,37.50,MH3,38.50,38.50,35.80,4200.00
12/04/2019,38.40,MH3,38.50,38.50,38.40,2300.00
11/04/2019,38.50,MH3,38.50,38.80,38.00,8800.00
10/04/2019,39.30,MH3,39.00,39.30,38.60,5500.00
09/04/2019,39.60,MH3,39.50,39.60,39.30,16155.00
08/04/2019,41.00,MH3,42.20,42.20,38.50,30130.00
05/04/2019,42.60,MH3,42.50,43.00,42.10,7900.00
04/04/2019,43.10,MH3,43.50,43.50,43.00,18400.00
03/04/2019,44.00,MH3,44.90,44.90,43.50,9800.00
02/04/2019,45.60,MH3,44.70,45.60,44.70,1000.00
01/04/2019,44.60,MH3,44.50,46.00,44.50,6120.00
29/03/2019,46.40,MH3,43.50,46.50,43.30,26925.00
28/03/2019,43.30,MH3,43.30,43.60,43.10,13925.00
27/03/2019,43.50,MH3,43.00,44.00,43.00,5000.00
26/03/2019,42.90,MH3,42.90,43.10,42.90,4200.00
25/03/2019,43.10,MH3,43.50,43.80,43.00,3700.00
22/03/2019,44.50,MH3,44.60,44.80,44.00,8900.00
21/03/2019,45.10,MH3,44.50,45.50,44.50,8900.00
20/03/2019,45.50,MH3,45.00,45.50,43.70,6200.00
19/03/2019,46.00,MH3,41.80,48.00,41.80,23550.00
18/03/2019,43.50,MH3,41.20,45.00,41.20,17000.00
15/03/2019,46.00,MH3,47.50,47.50,45.20,6500.00
14/03/2019,47.00,MH3,48.00,48.00,46.50,6800.00
13/03/2019,48.60,MH3,48.50,51.00,48.00,24650.00
12/03/2019,47.50,MH3,44.50,47.50,44.50,21220.00
11/03/2019,43.90,MH3,42.00,44.90,42.00,10700.00
08/03/2019,42.50,MH3,41.00,42.50,40.70,9300.00
07/03/2019,42.00,MH3,38.90,42.00,38.90,10400.00
06/03/2019,39.00,MH3,37.00,39.00,35.30,10800.00
05/03/2019,36.70,MH3,36.00,36.70,36.00,13000.00
04/03/2019,36.50,MH3,34.10,36.50,34.10,12600.00
01/03/2019,34.30,MH3,34.10,34.50,34.10,5400.00
28/02/2019,35.50,MH3,35.00,35.50,34.50,13900.00
27/02/2019,34.20,MH3,33.70,34.20,33.70,1600.00
26/02/2019,34.90,MH3,34.50,35.60,31.50,17800.00
25/02/2019,35.00,MH3,34.10,35.00,33.70,12100.00
22/02/2019,34.00,MH3,33.20,34.80,33.20,4700.00
21/02/2019,34.60,MH3,34.90,34.90,33.10,7800.00
20/02/2019,34.70,MH3,34.50,35.40,34.50,2600.00
19/02/2019,34.50,MH3,34.50,34.50,34.50,500.00
18/02/2019,34.70,MH3,31.20,34.80,31.20,4300.00
15/02/2019,34.40,MH3,34.50,34.90,34.40,5500.00
14/02/2019,35.00,MH3,32.30,35.00,32.30,15200.00
13/02/2019,35.80,MH3,35.80,35.80,35.80,303.00
12/02/2019,35.60,MH3,35.60,35.80,35.60,3900.00
11/02/2019,36.00,MH3,35.00,36.00,35.00,3800.00
01/02/2019,33.70,MH3,33.70,33.70,33.70,0.00
31/01/2019,34.00,MH3,33.20,35.00,33.20,2815.00
30/01/2019,34.00,MH3,33.40,34.00,33.40,1100.00
29/01/2019,33.30,MH3,33.70,33.70,33.30,600.00
28/01/2019,33.70,MH3,33.60,34.00,33.60,1900.00
25/01/2019,34.10,MH3,34.00,35.00,34.00,5515.00
24/01/2019,34.50,MH3,34.50,34.50,34.50,100.00
23/01/2019,33.00,MH3,33.50,33.50,33.00,1700.00
22/01/2019,33.50,MH3,36.00,37.20,33.00,37300.00
21/01/2019,36.80,MH3,38.00,38.00,36.80,2800.00
18/01/2019,38.20,MH3,38.50,38.50,37.90,4520.00
17/01/2019,38.70,MH3,38.00,41.00,37.50,13600.00
16/01/2019,39.00,MH3,38.00,39.00,36.20,15400.00
15/01/2019,38.00,MH3,39.90,39.90,37.00,1000.00
14/01/2019,41.00,MH3,41.00,42.20,40.80,19600.00
11/01/2019,40.30,MH3,43.80,44.00,40.30,6310.00
10/01/2019,44.00,MH3,44.00,44.00,43.00,13620.00
09/01/2019,43.10,MH3,41.00,44.00,41.00,17800.00
08/01/2019,41.00,MH3,40.50,42.00,38.30,8700.00
07/01/2019,40.60,MH3,40.20,40.60,40.20,5080.00
04/01/2019,38.80,MH3,38.00,40.00,36.60,11203.00
03/01/2019,38.00,MH3,38.00,38.10,38.00,3307.00
02/01/2019,38.10,MH3,38.10,38.10,38.10,1000.00
28/12/2018,39.50,MH3,38.00,39.50,37.80,6600.00
27/12/2018,37.10,MH3,38.00,38.00,37.00,6500.00
26/12/2018,36.20,MH3,36.20,36.20,36.20,0.00
25/12/2018,36.90,MH3,35.20,37.00,35.10,5000.00
24/12/2018,36.90,MH3,35.80,37.00,35.80,1700.00
21/12/2018,36.00,MH3,36.00,36.00,35.00,3300.00
20/12/2018,35.00,MH3,38.00,38.00,35.00,2800.00
19/12/2018,35.80,MH3,35.80,35.80,35.80,16720.00
18/12/2018,31.20,MH3,31.20,31.20,31.20,12200.00
17/12/2018,29.40,MH3,25.10,29.40,25.10,1900.00
14/12/2018,26.00,MH3,25.00,26.00,25.00,6400.00
13/12/2018,23.90,MH3,23.90,23.90,21.30,4000.00
12/12/2018,20.80,MH3,20.80,20.80,20.80,0.00
11/12/2018,20.80,MH3,20.80,20.80,20.80,0.00
10/12/2018,20.80,MH3,20.80,20.80,20.80,0.00
07/12/2018,20.80,MH3,20.80,20.80,20.80,100.00
06/12/2018,23.50,MH3,23.50,23.50,23.50,0.00
05/12/2018,23.50,MH3,23.50,23.50,23.50,3000.00
04/12/2018,23.20,MH3,22.90,23.20,22.90,3700.00
03/12/2018,23.00,MH3,23.00,23.00,23.00,7005.00
30/11/2018,22.10,MH3,22.10,22.10,22.10,100.00
29/11/2018,20.60,MH3,20.60,20.60,20.60,0.00
28/11/2018,20.60,MH3,20.60,20.60,20.60,0.00
27/11/2018,20.60,MH3,20.60,20.60,20.60,0.00
26/11/2018,20.50,MH3,22.00,22.00,20.50,6000.00
23/11/2018,22.30,MH3,22.30,22.30,22.30,1000.00
22/11/2018,22.30,MH3,22.30,22.30,22.30,0.00
21/11/2018,22.30,MH3,22.30,22.30,22.30,900.00
20/11/2018,22.30,MH3,22.30,22.30,22.30,100.00
19/11/2018,22.50,MH3,22.00,23.00,22.00,5600.00
16/11/2018,25.00,MH3,25.00,25.00,25.00,0.00
15/11/2018,25.00,MH3,25.00,25.00,25.00,0.00
