DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,47.30,MKP,47.30,47.30,47.30,300.00
25/04/2019,55.60,MKP,55.60,55.60,55.60,5.00
24/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
23/04/2019,55.60,MKP,55.60,55.60,55.60,6.00
22/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
19/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
18/04/2019,55.60,MKP,55.60,55.60,55.60,6.00
17/04/2019,55.60,MKP,55.60,55.60,55.60,18.00
16/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
12/04/2019,55.60,MKP,55.60,55.60,55.60,1.00
11/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
10/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
09/04/2019,55.60,MKP,55.60,55.60,55.60,20.00
08/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
05/04/2019,55.60,MKP,55.60,55.60,55.60,2000.00
04/04/2019,55.60,MKP,55.60,55.60,55.60,100.00
03/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
02/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
01/04/2019,55.60,MKP,55.60,55.60,55.60,0.00
29/03/2019,60.00,MKP,55.90,60.00,54.90,8300.00
28/03/2019,56.00,MKP,56.00,56.00,56.00,700.00
27/03/2019,51.50,MKP,51.50,51.50,51.50,600.00
26/03/2019,51.50,MKP,51.40,51.50,51.40,1700.00
25/03/2019,51.50,MKP,51.50,51.50,51.50,400.00
22/03/2019,51.50,MKP,51.50,51.50,51.50,100.00
21/03/2019,49.40,MKP,49.40,49.40,49.40,0.00
20/03/2019,50.90,MKP,47.50,50.90,47.50,3500.00
19/03/2019,44.60,MKP,44.60,44.60,44.60,0.00
18/03/2019,45.00,MKP,43.00,45.00,43.00,900.00
15/03/2019,45.00,MKP,45.00,45.00,45.00,0.00
14/03/2019,45.00,MKP,45.00,45.00,45.00,820.00
13/03/2019,45.50,MKP,45.50,45.50,45.50,0.00
12/03/2019,45.00,MKP,46.90,46.90,45.00,440.00
11/03/2019,45.00,MKP,44.10,45.00,44.10,9026.00
08/03/2019,46.80,MKP,45.00,46.80,43.00,7500.00
07/03/2019,42.00,MKP,42.20,42.20,42.00,3197.00
06/03/2019,42.00,MKP,42.00,43.70,42.00,8700.00
05/03/2019,41.80,MKP,41.80,41.80,41.80,0.00
04/03/2019,45.80,MKP,41.60,45.80,41.30,11400.00
01/03/2019,45.10,MKP,45.10,45.10,45.10,0.00
28/02/2019,47.00,MKP,44.50,47.00,44.50,11000.00
27/02/2019,45.00,MKP,45.00,45.00,45.00,100.00
26/02/2019,45.00,MKP,43.20,45.00,43.00,5312.00
25/02/2019,45.00,MKP,44.50,45.00,44.50,1165.00
22/02/2019,44.00,MKP,44.00,44.00,44.00,1200.00
21/02/2019,43.10,MKP,45.00,45.00,43.00,2700.00
20/02/2019,45.30,MKP,45.30,45.30,45.30,0.00
19/02/2019,45.50,MKP,45.10,45.50,45.00,1200.00
18/02/2019,49.00,MKP,49.00,49.00,49.00,63.00
15/02/2019,49.00,MKP,49.00,49.00,49.00,1000.00
14/02/2019,50.00,MKP,50.00,50.00,50.00,0.00
13/02/2019,50.00,MKP,50.00,50.00,50.00,100.00
12/02/2019,50.30,MKP,50.30,50.30,50.30,0.00
11/02/2019,50.30,MKP,50.30,50.30,50.30,0.00
01/02/2019,50.30,MKP,50.30,50.30,50.30,0.00
31/01/2019,50.30,MKP,50.30,50.30,50.30,0.00
30/01/2019,50.30,MKP,50.30,50.30,50.30,0.00
29/01/2019,50.30,MKP,50.30,50.30,50.30,0.00
28/01/2019,53.90,MKP,53.90,53.90,53.90,57.00
25/01/2019,58.60,MKP,51.90,58.60,51.70,9000.00
24/01/2019,51.00,MKP,51.00,51.00,51.00,0.00
23/01/2019,51.00,MKP,51.00,51.00,51.00,0.00
22/01/2019,51.00,MKP,51.00,51.00,51.00,0.00
21/01/2019,51.00,MKP,51.00,51.00,51.00,7.00
18/01/2019,51.00,MKP,51.00,51.00,51.00,100.00
17/01/2019,53.00,MKP,53.00,53.00,53.00,150.00
16/01/2019,53.00,MKP,53.00,53.00,53.00,0.00
15/01/2019,53.00,MKP,53.00,53.00,53.00,0.00
14/01/2019,53.00,MKP,53.00,53.00,53.00,0.00
11/01/2019,53.00,MKP,52.90,53.00,52.90,1850.00
10/01/2019,53.00,MKP,53.00,53.00,53.00,3000.00
09/01/2019,54.30,MKP,54.30,54.30,54.30,0.00
08/01/2019,54.30,MKP,54.30,54.30,54.30,0.00
07/01/2019,55.00,MKP,52.10,55.00,52.10,6500.00
04/01/2019,52.10,MKP,52.10,52.10,52.10,0.00
03/01/2019,52.10,MKP,52.10,52.10,52.10,400.00
02/01/2019,57.60,MKP,57.60,57.60,57.60,0.00
28/12/2018,64.40,MKP,55.80,64.40,55.80,16800.00
27/12/2018,56.00,MKP,56.00,56.00,56.00,2000.00
26/12/2018,60.80,MKP,52.80,60.80,52.80,1000.00
25/12/2018,52.90,MKP,52.90,52.90,52.90,0.00
24/12/2018,50.00,MKP,53.50,53.50,50.00,2500.00
21/12/2018,50.80,MKP,53.50,53.50,50.80,1200.00
20/12/2018,55.00,MKP,55.00,55.00,55.00,1000.00
19/12/2018,57.00,MKP,57.00,57.00,57.00,830.00
18/12/2018,59.90,MKP,59.90,59.90,59.90,2000.00
17/12/2018,58.20,MKP,58.20,58.20,58.20,0.00
14/12/2018,59.00,MKP,58.00,59.00,58.00,1600.00
13/12/2018,59.70,MKP,59.70,59.70,59.70,0.00
12/12/2018,59.70,MKP,59.70,59.70,59.70,19.00
11/12/2018,59.70,MKP,59.70,59.70,59.70,100.00
10/12/2018,55.00,MKP,55.00,55.00,55.00,500.00
07/12/2018,56.70,MKP,56.70,56.70,56.70,0.00
06/12/2018,56.70,MKP,56.70,56.70,56.70,9.00
05/12/2018,59.90,MKP,56.00,59.90,56.00,2100.00
04/12/2018,58.60,MKP,58.60,58.60,58.60,0.00
03/12/2018,58.60,MKP,58.60,58.60,58.60,0.00
30/11/2018,60.00,MKP,58.00,60.00,58.00,700.00
29/11/2018,57.00,MKP,55.50,57.00,55.50,2200.00
28/11/2018,54.60,MKP,54.60,54.60,54.60,2000.00
27/11/2018,54.50,MKP,54.60,54.60,54.50,1000.00
26/11/2018,56.20,MKP,56.20,56.20,56.20,0.00
23/11/2018,56.20,MKP,56.20,56.20,56.20,0.00
22/11/2018,59.90,MKP,52.50,59.90,52.50,200.00
21/11/2018,57.50,MKP,57.50,57.50,57.50,0.00
20/11/2018,57.50,MKP,57.50,57.50,57.50,0.00
19/11/2018,57.50,MKP,57.50,57.50,57.50,10.00
16/11/2018,57.50,MKP,57.50,57.50,57.50,0.00
15/11/2018,57.50,MKP,57.50,57.50,57.50,0.00
14/11/2018,61.00,MKP,54.00,61.00,54.00,200.00
13/11/2018,57.10,MKP,57.10,57.10,57.10,0.00
12/11/2018,57.20,MKP,57.00,57.30,57.00,400.00
09/11/2018,66.00,MKP,55.00,67.80,55.00,4135.00
08/11/2018,59.00,MKP,59.00,59.00,59.00,1850.00
07/11/2018,69.40,MKP,69.40,69.40,69.40,70.00
06/11/2018,69.40,MKP,69.40,69.40,69.40,0.00
05/11/2018,69.40,MKP,69.40,69.40,69.40,0.00
02/11/2018,69.40,MKP,69.40,69.40,69.40,0.00
