DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,43.00,MPC,42.70,43.10,42.70,109760.00
25/04/2019,42.50,MPC,43.30,43.30,42.40,67904.00
24/04/2019,43.40,MPC,42.60,43.60,42.60,114471.00
23/04/2019,42.70,MPC,42.00,43.20,42.00,90354.00
22/04/2019,42.00,MPC,43.50,43.50,42.00,125500.00
19/04/2019,43.30,MPC,42.90,44.00,42.90,166084.00
18/04/2019,43.00,MPC,44.20,44.20,42.20,328515.00
17/04/2019,43.80,MPC,46.10,46.10,43.80,556639.00
16/04/2019,46.10,MPC,45.50,47.80,45.00,373696.00
12/04/2019,45.60,MPC,46.30,46.30,45.50,117060.00
11/04/2019,45.90,MPC,46.60,46.80,45.60,221336.00
10/04/2019,46.00,MPC,44.50,50.00,44.30,476708.00
09/04/2019,44.90,MPC,46.20,46.20,44.70,493975.00
08/04/2019,46.30,MPC,46.30,46.80,45.90,199597.00
05/04/2019,46.30,MPC,44.90,46.80,44.70,381714.00
04/04/2019,44.60,MPC,44.00,44.90,44.00,214456.00
03/04/2019,44.00,MPC,44.70,45.00,43.60,281239.00
02/04/2019,44.20,MPC,44.50,45.30,44.20,334059.00
01/04/2019,44.60,MPC,45.80,45.80,43.50,255815.00
29/03/2019,49.40,MPC,49.50,51.00,49.20,621687.00
28/03/2019,49.30,MPC,48.30,49.70,48.00,486271.00
27/03/2019,48.10,MPC,48.00,48.50,47.60,299070.00
26/03/2019,47.70,MPC,47.60,48.00,47.40,197570.00
25/03/2019,47.70,MPC,48.70,48.70,47.20,264030.00
22/03/2019,48.60,MPC,48.00,48.70,47.90,610754.00
21/03/2019,47.80,MPC,46.00,48.80,46.00,1121850.00
20/03/2019,45.60,MPC,46.00,46.00,45.30,196660.00
19/03/2019,45.60,MPC,45.70,46.00,45.30,172720.00
18/03/2019,45.70,MPC,45.90,46.10,45.20,160190.00
15/03/2019,45.90,MPC,46.00,47.00,45.60,271260.00
14/03/2019,46.00,MPC,44.60,46.20,44.50,500690.00
13/03/2019,44.00,MPC,44.50,44.60,43.90,306150.00
12/03/2019,44.50,MPC,44.00,44.80,44.00,201910.00
11/03/2019,44.00,MPC,44.10,44.50,43.70,153900.00
08/03/2019,43.90,MPC,44.80,44.80,43.50,250180.00
07/03/2019,44.50,MPC,45.50,45.50,44.50,219525.00
06/03/2019,44.80,MPC,45.30,45.30,44.50,192500.00
05/03/2019,45.00,MPC,46.00,46.30,44.80,432080.00
04/03/2019,46.00,MPC,45.70,46.30,45.00,312720.00
01/03/2019,45.60,MPC,45.20,45.80,44.20,274110.00
28/02/2019,44.50,MPC,47.30,47.30,43.00,1116970.00
27/02/2019,48.20,MPC,48.10,48.70,47.70,436233.00
