DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.40,MPT,3.40,3.40,3.20,418800.00
25/04/2019,3.40,MPT,3.50,3.50,3.30,725500.00
24/04/2019,3.50,MPT,3.40,3.50,3.40,235100.00
23/04/2019,3.50,MPT,3.40,3.50,3.40,407000.00
22/04/2019,3.50,MPT,3.40,3.60,3.40,457200.00
19/04/2019,3.50,MPT,3.40,3.50,3.40,211430.00
18/04/2019,3.50,MPT,3.50,3.50,3.40,347800.00
17/04/2019,3.50,MPT,3.40,3.60,3.40,590701.00
16/04/2019,3.50,MPT,3.60,3.60,3.30,440371.00
12/04/2019,3.60,MPT,3.50,3.60,3.50,338600.00
11/04/2019,3.50,MPT,3.50,3.60,3.40,274130.00
10/04/2019,3.60,MPT,3.50,3.60,3.40,341700.00
09/04/2019,3.50,MPT,3.50,3.60,3.40,599060.00
08/04/2019,3.50,MPT,3.50,3.60,3.50,199230.00
05/04/2019,3.60,MPT,3.50,3.60,3.40,68100.00
04/04/2019,3.50,MPT,3.50,3.60,3.50,180500.00
03/04/2019,3.60,MPT,3.50,3.60,3.50,101110.00
02/04/2019,3.60,MPT,3.60,3.70,3.50,796000.00
01/04/2019,3.60,MPT,3.50,3.60,3.50,200800.00
29/03/2019,3.60,MPT,3.50,3.60,3.50,214110.00
28/03/2019,3.50,MPT,3.50,3.60,3.50,204900.00
27/03/2019,3.60,MPT,3.60,3.70,3.50,393630.00
26/03/2019,3.60,MPT,3.60,3.60,3.50,341120.00
25/03/2019,3.60,MPT,3.60,3.60,3.40,245700.00
22/03/2019,3.60,MPT,3.60,3.70,3.50,312500.00
21/03/2019,3.70,MPT,3.50,3.70,3.50,796923.00
20/03/2019,3.50,MPT,3.60,3.60,3.50,227310.00
19/03/2019,3.60,MPT,3.60,3.70,3.50,335900.00
18/03/2019,3.60,MPT,3.70,3.80,3.50,569200.00
15/03/2019,3.70,MPT,3.70,3.70,3.60,440500.00
14/03/2019,3.70,MPT,3.70,3.70,3.50,707850.00
13/03/2019,3.60,MPT,3.60,3.70,3.50,905914.00
12/03/2019,3.60,MPT,3.70,3.70,3.60,365600.00
11/03/2019,3.80,MPT,3.50,3.80,3.50,820723.00
08/03/2019,3.60,MPT,3.50,3.60,3.50,563500.00
07/03/2019,3.50,MPT,3.50,3.60,3.50,375900.00
06/03/2019,3.60,MPT,3.50,3.60,3.40,315000.00
