DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,16.00,MSC,16.00,16.00,16.00,0.00
25/04/2019,16.00,MSC,16.00,16.00,16.00,19000.00
24/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
23/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
22/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
19/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
18/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
17/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
16/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
12/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
11/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
10/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
09/04/2019,15.50,MSC,15.50,15.50,15.50,0.00
08/04/2019,15.50,MSC,17.60,17.60,15.50,12000.00
05/04/2019,16.00,MSC,16.00,16.00,16.00,0.00
04/04/2019,16.00,MSC,16.00,16.00,16.00,0.00
03/04/2019,16.00,MSC,16.00,16.00,16.00,0.00
02/04/2019,16.00,MSC,16.00,16.00,16.00,87.00
01/04/2019,16.00,MSC,16.00,16.00,16.00,0.00
29/03/2019,16.00,MSC,17.00,17.00,16.00,53841.00
28/03/2019,15.50,MSC,15.50,15.50,15.50,45.00
27/03/2019,15.50,MSC,15.50,15.50,15.50,0.00
26/03/2019,15.50,MSC,17.70,17.70,15.50,3400.00
25/03/2019,16.10,MSC,17.60,17.60,16.10,19100.00
22/03/2019,16.00,MSC,16.00,16.00,16.00,50.00
21/03/2019,16.00,MSC,16.00,16.00,16.00,4050.00
20/03/2019,14.90,MSC,14.90,14.90,14.90,100.00
19/03/2019,16.50,MSC,16.50,16.50,16.50,7000.00
18/03/2019,16.00,MSC,16.00,16.00,16.00,0.00
15/03/2019,16.00,MSC,17.00,17.00,16.00,12833.00
14/03/2019,15.50,MSC,15.50,15.50,15.50,1000.00
13/03/2019,15.50,MSC,15.50,15.50,15.50,0.00
12/03/2019,15.50,MSC,16.50,17.30,15.50,37300.00
11/03/2019,15.80,MSC,15.80,15.80,15.80,1000.00
08/03/2019,17.50,MSC,17.50,17.50,17.50,100.00
07/03/2019,17.50,MSC,17.50,17.50,17.50,10000.00
06/03/2019,17.00,MSC,17.00,17.00,17.00,17100.00
05/03/2019,16.00,MSC,16.00,16.00,16.00,0.00
04/03/2019,16.00,MSC,16.00,16.00,16.00,0.00
01/03/2019,16.00,MSC,16.00,16.00,16.00,7263.00
28/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
27/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
26/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
25/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
22/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
21/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
20/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
19/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
18/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
15/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
14/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
13/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
12/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
11/02/2019,16.00,MSC,16.00,16.00,16.00,0.00
