DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,86.90,MSN,87.00,87.40,86.40,284150.00
25/04/2019,87.40,MSN,88.00,88.00,87.10,271410.00
24/04/2019,88.00,MSN,86.60,88.10,86.60,573510.00
23/04/2019,87.90,MSN,87.10,88.00,87.10,338520.00
22/04/2019,87.90,MSN,87.60,88.00,87.50,292240.00
19/04/2019,87.60,MSN,86.00,88.00,86.00,57480.00
18/04/2019,86.00,MSN,86.10,87.90,86.00,407720.00
17/04/2019,88.00,MSN,87.80,88.10,87.00,730310.00
16/04/2019,87.80,MSN,86.00,88.10,85.40,290800.00
12/04/2019,87.80,MSN,87.80,88.10,87.00,95630.00
11/04/2019,87.70,MSN,86.70,88.00,86.70,188220.00
10/04/2019,86.70,MSN,85.20,87.00,85.20,292050.00
09/04/2019,87.50,MSN,88.70,88.70,87.00,280380.00
08/04/2019,88.30,MSN,88.00,88.50,85.80,582440.00
05/04/2019,88.30,MSN,87.80,88.80,87.80,231110.00
04/04/2019,87.80,MSN,87.10,88.10,87.10,336280.00
03/04/2019,87.70,MSN,88.10,88.10,87.00,303680.00
02/04/2019,88.10,MSN,88.30,88.60,86.30,393200.00
01/04/2019,88.00,MSN,85.60,88.00,85.20,515710.00
29/03/2019,84.30,MSN,85.00,86.90,84.30,756010.00
28/03/2019,85.00,MSN,85.00,85.00,84.20,395730.00
27/03/2019,85.00,MSN,83.10,85.20,83.10,455910.00
26/03/2019,83.10,MSN,82.20,84.00,82.20,488320.00
25/03/2019,82.20,MSN,83.00,83.70,82.10,488150.00
22/03/2019,84.50,MSN,84.90,85.30,84.50,759190.00
21/03/2019,85.00,MSN,85.10,85.40,84.30,665060.00
20/03/2019,85.00,MSN,85.20,86.20,84.00,591560.00
19/03/2019,87.00,MSN,87.30,87.30,86.00,442460.00
18/03/2019,86.80,MSN,86.50,87.60,84.80,766250.00
15/03/2019,86.50,MSN,88.60,89.00,85.30,1372560.00
14/03/2019,88.60,MSN,89.00,89.30,88.60,201760.00
13/03/2019,89.00,MSN,88.50,89.50,88.50,1014640.00
12/03/2019,88.50,MSN,89.60,90.00,88.10,653990.00
11/03/2019,89.60,MSN,88.10,89.70,88.10,602350.00
08/03/2019,89.80,MSN,89.10,90.00,88.50,469730.00
07/03/2019,90.00,MSN,90.70,91.00,89.80,947510.00
06/03/2019,90.00,MSN,90.00,90.20,89.30,695520.00
05/03/2019,89.40,MSN,89.50,90.90,89.30,772090.00
04/03/2019,89.50,MSN,89.10,91.40,89.00,1284390.00
01/03/2019,89.00,MSN,89.00,89.20,88.20,683440.00
28/02/2019,88.90,MSN,89.90,89.90,88.50,835220.00
27/02/2019,89.90,MSN,90.10,90.90,89.80,788910.00
26/02/2019,90.00,MSN,91.00,91.20,88.40,902730.00
25/02/2019,91.20,MSN,92.00,92.00,90.50,1139980.00
22/02/2019,88.40,MSN,89.90,91.00,88.40,1234210.00
21/02/2019,89.70,MSN,86.30,89.90,86.30,2224960.00
20/02/2019,86.00,MSN,86.00,86.40,85.80,1131460.00
19/02/2019,86.50,MSN,85.10,86.60,85.10,1121720.00
18/02/2019,85.40,MSN,85.00,85.50,84.90,659240.00
15/02/2019,84.70,MSN,85.80,85.80,84.60,779850.00
14/02/2019,86.00,MSN,85.90,86.40,84.00,1451830.00
13/02/2019,85.90,MSN,82.30,85.90,82.30,1361490.00
12/02/2019,82.30,MSN,81.50,83.00,80.80,1032810.00
11/02/2019,80.20,MSN,79.90,82.20,79.80,1094450.00
01/02/2019,78.40,MSN,78.00,78.60,77.50,679540.00
31/01/2019,77.70,MSN,79.40,79.60,77.70,721900.00
30/01/2019,79.10,MSN,79.10,79.60,79.10,591400.00
29/01/2019,79.50,MSN,80.00,80.00,79.20,604480.00
28/01/2019,79.10,MSN,78.30,79.30,78.30,749070.00
25/01/2019,78.30,MSN,78.00,78.60,77.80,677540.00
24/01/2019,78.00,MSN,78.70,78.90,77.50,435690.00
23/01/2019,78.00,MSN,80.10,80.10,78.00,707690.00
22/01/2019,80.10,MSN,80.80,80.90,80.10,115780.00
21/01/2019,80.80,MSN,81.00,81.30,80.60,266000.00
18/01/2019,81.00,MSN,80.20,81.40,80.20,359080.00
17/01/2019,80.20,MSN,81.30,82.10,80.20,320060.00
16/01/2019,81.40,MSN,82.00,82.60,81.40,483100.00
15/01/2019,81.90,MSN,80.60,82.00,80.40,403800.00
14/01/2019,80.50,MSN,80.70,81.30,80.30,268810.00
11/01/2019,80.70,MSN,80.30,81.20,80.00,452300.00
10/01/2019,80.20,MSN,79.00,81.10,79.00,450900.00
09/01/2019,79.00,MSN,79.00,79.80,78.90,339530.00
08/01/2019,79.00,MSN,78.20,79.10,78.10,279810.00
07/01/2019,78.20,MSN,78.10,78.50,77.20,336380.00
04/01/2019,76.20,MSN,77.00,77.50,75.50,463070.00
03/01/2019,78.00,MSN,78.90,78.90,77.60,565640.00
02/01/2019,78.60,MSN,78.90,78.90,78.20,433670.00
28/12/2018,77.50,MSN,79.40,80.00,77.50,546000.00
27/12/2018,79.00,MSN,80.00,80.50,79.00,425950.00
26/12/2018,79.00,MSN,80.00,80.20,79.00,577200.00
25/12/2018,80.00,MSN,78.90,80.40,77.90,562070.00
24/12/2018,79.00,MSN,80.00,80.90,79.00,379150.00
21/12/2018,78.60,MSN,80.80,81.90,78.60,2407240.00
20/12/2018,81.00,MSN,81.00,82.00,81.00,337360.00
19/12/2018,81.50,MSN,81.10,82.30,81.00,325700.00
18/12/2018,81.20,MSN,80.30,81.40,80.30,595370.00
17/12/2018,82.00,MSN,84.20,85.40,82.00,605910.00
14/12/2018,85.50,MSN,87.40,87.40,85.50,367370.00
13/12/2018,87.10,MSN,88.00,88.20,86.80,630690.00
12/12/2018,87.00,MSN,85.90,87.00,85.20,377650.00
11/12/2018,85.90,MSN,85.20,86.10,85.20,646530.00
10/12/2018,85.60,MSN,84.50,86.00,84.10,485360.00
07/12/2018,84.60,MSN,84.00,85.40,84.00,811580.00
06/12/2018,83.80,MSN,84.00,85.30,83.50,629700.00
05/12/2018,84.10,MSN,83.50,84.10,82.50,642600.00
04/12/2018,84.10,MSN,82.50,84.50,82.40,1138470.00
03/12/2018,82.20,MSN,81.50,82.40,81.30,739700.00
30/11/2018,80.00,MSN,81.00,81.40,79.50,644810.00
29/11/2018,81.00,MSN,82.50,82.50,81.00,359660.00
28/11/2018,81.30,MSN,81.60,82.00,81.00,323700.00
27/11/2018,82.00,MSN,82.10,83.00,81.90,420980.00
26/11/2018,82.10,MSN,81.60,82.30,81.20,349670.00
23/11/2018,81.60,MSN,82.00,82.30,81.50,450020.00
22/11/2018,82.00,MSN,81.20,82.50,81.00,551990.00
21/11/2018,81.20,MSN,80.00,81.50,80.00,282090.00
20/11/2018,81.80,MSN,81.20,82.40,81.20,334090.00
19/11/2018,81.80,MSN,79.60,82.00,79.60,260240.00
16/11/2018,79.60,MSN,80.90,80.90,79.00,399900.00
15/11/2018,79.40,MSN,79.80,79.90,78.40,383880.00
14/11/2018,79.00,MSN,79.10,80.60,77.00,331450.00
13/11/2018,79.00,MSN,82.00,82.10,79.00,576150.00
12/11/2018,83.60,MSN,83.10,84.20,82.40,241050.00
09/11/2018,84.30,MSN,84.00,84.50,82.70,577220.00
08/11/2018,84.50,MSN,85.00,86.00,84.00,145850.00
07/11/2018,84.70,MSN,84.50,85.40,83.70,892740.00
06/11/2018,84.00,MSN,86.20,87.00,84.00,995460.00
05/11/2018,85.20,MSN,82.70,85.20,82.70,536740.00
02/11/2018,84.50,MSN,82.70,84.50,82.00,993240.00
01/11/2018,82.00,MSN,82.50,83.60,81.20,831090.00
31/10/2018,83.00,MSN,79.00,83.00,78.50,1008000.00
30/10/2018,78.00,MSN,75.30,78.70,75.20,819270.00
29/10/2018,76.50,MSN,75.00,76.60,74.70,728550.00
26/10/2018,76.50,MSN,77.00,77.40,76.30,785650.00
25/10/2018,77.50,MSN,71.00,77.50,71.00,2117680.00
24/10/2018,75.00,MSN,76.10,77.40,74.20,1772610.00
23/10/2018,77.50,MSN,79.00,79.00,75.10,1943490.00
22/10/2018,79.20,MSN,81.00,81.40,79.20,551610.00
19/10/2018,81.00,MSN,79.10,81.00,78.50,1119580.00
18/10/2018,80.20,MSN,81.00,81.30,79.80,644320.00
17/10/2018,81.00,MSN,80.00,81.80,79.50,993370.00
16/10/2018,78.60,MSN,78.40,79.20,77.50,851250.00
15/10/2018,78.50,MSN,81.00,81.00,78.00,1242460.00
12/10/2018,81.30,MSN,75.40,81.30,75.40,1444630.00
11/10/2018,78.60,MSN,80.70,81.90,78.60,2375010.00
10/10/2018,84.50,MSN,88.00,88.00,84.50,1323520.00
09/10/2018,88.00,MSN,89.80,90.00,88.00,669990.00
08/10/2018,89.80,MSN,90.40,91.00,87.60,1958530.00
05/10/2018,91.00,MSN,93.80,93.80,90.90,1591190.00
04/10/2018,93.90,MSN,93.30,93.90,92.80,1441430.00
03/10/2018,93.20,MSN,93.50,93.70,92.50,604560.00
02/10/2018,94.00,MSN,93.90,94.10,90.60,2307220.00
01/10/2018,93.90,MSN,92.80,93.90,91.60,1291940.00
28/09/2018,92.80,MSN,93.40,93.40,91.50,686950.00
27/09/2018,92.50,MSN,93.50,94.00,92.00,442950.00
26/09/2018,93.50,MSN,93.50,94.20,93.30,659600.00
25/09/2018,94.40,MSN,95.50,95.90,93.90,289760.00
24/09/2018,94.50,MSN,93.00,95.00,92.90,558170.00
21/09/2018,91.00,MSN,92.50,94.70,91.00,3712030.00
20/09/2018,92.50,MSN,91.50,92.70,91.50,637980.00
19/09/2018,91.20,MSN,92.00,93.00,91.00,447450.00
18/09/2018,90.10,MSN,91.50,91.50,89.10,280760.00
17/09/2018,91.60,MSN,91.10,91.60,88.90,490340.00
14/09/2018,91.60,MSN,92.40,92.40,91.50,422950.00
13/09/2018,92.40,MSN,91.70,94.00,91.70,241210.00
12/09/2018,92.60,MSN,93.60,94.50,92.60,314160.00
11/09/2018,92.50,MSN,92.00,92.60,90.00,499990.00
10/09/2018,91.50,MSN,94.10,95.00,91.50,392730.00
07/09/2018,95.00,MSN,94.30,95.00,93.60,218340.00
06/09/2018,94.80,MSN,93.00,95.50,92.90,501250.00
05/09/2018,93.00,MSN,93.70,94.60,92.60,541780.00
04/09/2018,94.00,MSN,95.00,96.30,94.00,822140.00
31/08/2018,95.00,MSN,95.60,97.20,94.80,749680.00
30/08/2018,97.00,MSN,92.00,97.00,91.50,743980.00
29/08/2018,91.00,MSN,92.00,93.20,91.00,760740.00
28/08/2018,91.40,MSN,92.00,92.00,91.00,315060.00
27/08/2018,91.20,MSN,90.60,91.80,90.50,317350.00
24/08/2018,90.60,MSN,91.20,92.00,90.60,466910.00
23/08/2018,91.20,MSN,92.80,92.90,91.20,269120.00
22/08/2018,92.00,MSN,90.80,92.30,90.50,361550.00
21/08/2018,90.30,MSN,90.80,91.80,90.00,292260.00
20/08/2018,89.90,MSN,90.50,90.50,89.30,256130.00
17/08/2018,89.60,MSN,90.80,91.30,89.50,356510.00
16/08/2018,90.00,MSN,90.10,91.10,88.60,519730.00
15/08/2018,91.50,MSN,93.50,93.80,91.50,322230.00
14/08/2018,93.50,MSN,90.90,93.50,89.90,597970.00
13/08/2018,90.90,MSN,88.30,91.80,87.90,744800.00
10/08/2018,89.00,MSN,88.70,89.50,87.80,886180.00
09/08/2018,89.90,MSN,90.00,90.90,88.90,333290.00
08/08/2018,90.00,MSN,90.00,90.00,88.50,405530.00
07/08/2018,90.00,MSN,87.40,90.60,87.00,675440.00
06/08/2018,87.40,MSN,85.00,88.40,84.50,636030.00
03/08/2018,85.00,MSN,85.10,85.20,84.20,478550.00
02/08/2018,84.20,MSN,84.20,84.80,83.40,491440.00
01/08/2018,84.20,MSN,84.50,84.50,82.70,299790.00
31/07/2018,84.20,MSN,81.00,84.60,81.00,910850.00
30/07/2018,81.40,MSN,81.80,81.80,80.00,515970.00
27/07/2018,81.30,MSN,80.80,81.50,79.90,525860.00
26/07/2018,81.00,MSN,81.90,82.10,80.00,433810.00
25/07/2018,81.00,MSN,80.50,84.00,79.90,935280.00
24/07/2018,80.50,MSN,79.10,81.20,78.20,1009400.00
23/07/2018,79.10,MSN,79.00,81.20,78.60,1161850.00
20/07/2018,79.10,MSN,79.60,80.00,78.10,766990.00
19/07/2018,79.10,MSN,77.00,80.50,76.80,761010.00
18/07/2018,76.00,MSN,74.50,77.00,74.20,1230190.00
17/07/2018,74.50,MSN,73.30,74.50,73.30,549360.00
16/07/2018,74.20,MSN,74.50,75.20,73.90,1011680.00
13/07/2018,74.90,MSN,74.00,75.40,73.50,453210.00
12/07/2018,74.00,MSN,72.70,74.00,72.60,521530.00
11/07/2018,74.00,MSN,74.00,74.20,72.60,962210.00
10/07/2018,74.20,MSN,74.00,74.90,73.90,495930.00
09/07/2018,74.20,MSN,74.00,76.00,73.10,414980.00
06/07/2018,74.00,MSN,71.80,74.10,71.10,1494750.00
05/07/2018,73.90,MSN,73.20,74.10,71.80,1268230.00
04/07/2018,74.10,MSN,73.00,74.60,71.00,967410.00
03/07/2018,74.00,MSN,76.00,76.50,72.10,1224710.00
02/07/2018,76.00,MSN,77.40,78.90,73.50,1503790.00
29/06/2018,79.00,MSN,77.20,79.50,77.20,683730.00
28/06/2018,79.00,MSN,80.00,80.90,77.00,810880.00
