DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,4.40,MST,4.50,4.60,4.40,396350.00
25/04/2019,4.50,MST,4.50,4.60,4.40,281119.00
24/04/2019,4.60,MST,4.50,4.60,4.40,280656.00
23/04/2019,4.60,MST,4.50,4.70,4.30,1618640.00
22/04/2019,4.50,MST,4.60,4.60,4.30,1158254.00
19/04/2019,4.60,MST,4.50,4.60,4.40,845800.00
18/04/2019,4.50,MST,4.50,4.60,4.40,598076.00
17/04/2019,4.50,MST,4.60,4.60,4.40,738910.00
16/04/2019,4.60,MST,4.50,4.60,4.40,514460.00
12/04/2019,4.60,MST,4.60,4.70,4.50,882000.00
11/04/2019,4.60,MST,4.50,4.60,4.50,316623.00
10/04/2019,4.60,MST,4.70,4.70,4.50,989000.00
09/04/2019,4.70,MST,4.60,4.80,4.50,617012.00
08/04/2019,4.70,MST,4.60,4.80,4.50,696576.00
05/04/2019,4.60,MST,4.60,4.80,4.50,1991025.00
04/04/2019,4.60,MST,4.60,4.70,4.50,700649.00
03/04/2019,4.60,MST,4.60,4.70,4.50,378860.00
02/04/2019,4.70,MST,4.70,4.80,4.60,514550.00
01/04/2019,4.70,MST,4.70,4.80,4.60,949630.00
29/03/2019,4.70,MST,4.60,4.80,4.60,458280.00
28/03/2019,4.70,MST,4.80,4.80,4.60,321956.00
27/03/2019,4.80,MST,4.70,4.80,4.50,532890.00
26/03/2019,4.70,MST,4.60,4.80,4.50,510342.00
25/03/2019,4.70,MST,4.90,5.00,4.50,856199.00
22/03/2019,5.00,MST,5.00,5.00,4.80,299552.00
21/03/2019,5.00,MST,5.10,5.20,4.90,855698.00
20/03/2019,5.10,MST,4.90,5.10,4.80,1178826.00
19/03/2019,4.90,MST,5.10,5.10,4.90,514627.00
18/03/2019,5.10,MST,5.20,5.30,5.00,640000.00
15/03/2019,5.20,MST,5.20,5.40,5.10,827341.00
14/03/2019,5.30,MST,5.10,5.30,5.00,1297878.00
13/03/2019,5.10,MST,5.00,5.20,4.80,1661400.00
12/03/2019,5.00,MST,5.00,5.10,4.90,466300.00
11/03/2019,5.00,MST,4.90,5.10,4.80,815660.00
08/03/2019,5.00,MST,5.20,5.20,5.00,753329.00
07/03/2019,5.20,MST,4.90,5.20,4.90,1191400.00
06/03/2019,5.00,MST,4.80,5.00,4.60,1439930.00
05/03/2019,4.80,MST,4.70,4.80,4.50,840900.00
04/03/2019,4.70,MST,4.70,4.90,4.60,545500.00
01/03/2019,4.80,MST,4.60,4.90,4.60,1084400.00
28/02/2019,4.70,MST,4.50,4.70,4.50,556910.00
27/02/2019,4.50,MST,4.50,4.70,4.40,389200.00
26/02/2019,4.60,MST,4.60,4.60,4.40,252000.00
25/02/2019,4.60,MST,4.60,4.70,4.50,285800.00
22/02/2019,4.70,MST,4.60,4.70,4.50,340600.00
21/02/2019,4.60,MST,4.60,4.80,4.50,274500.00
20/02/2019,4.60,MST,4.70,4.90,4.60,334500.00
19/02/2019,4.80,MST,4.60,5.00,4.50,1015800.00
18/02/2019,4.70,MST,4.60,4.70,4.50,378200.00
15/02/2019,4.60,MST,4.60,4.70,4.50,206000.00
14/02/2019,4.70,MST,4.50,4.70,4.50,668725.00
13/02/2019,4.50,MST,4.50,4.70,4.50,335700.00
12/02/2019,4.60,MST,4.60,4.60,4.40,317220.00
11/02/2019,4.60,MST,4.70,4.80,4.50,151211.00
01/02/2019,4.70,MST,4.60,4.80,4.60,107400.00
31/01/2019,4.70,MST,4.80,4.80,4.70,85211.00
30/01/2019,4.80,MST,4.80,4.90,4.70,424616.00
29/01/2019,4.80,MST,4.90,4.90,4.70,145105.00
28/01/2019,4.90,MST,4.90,5.00,4.70,364400.00
25/01/2019,4.90,MST,4.90,4.90,4.80,397608.00
24/01/2019,4.90,MST,4.90,5.00,4.70,209025.00
23/01/2019,5.00,MST,5.00,5.00,4.80,240049.00
22/01/2019,5.00,MST,5.00,5.20,4.90,685976.00
21/01/2019,5.10,MST,4.80,5.10,4.70,905935.00
18/01/2019,4.80,MST,4.60,5.00,4.50,801400.00
17/01/2019,4.60,MST,4.50,4.60,4.40,226700.00
16/01/2019,4.60,MST,4.60,4.60,4.40,364720.00
15/01/2019,4.60,MST,4.60,4.60,4.20,200551.00
14/01/2019,4.60,MST,4.60,4.60,4.40,304100.00
11/01/2019,4.60,MST,4.50,4.70,4.50,222200.00
10/01/2019,4.60,MST,4.60,4.70,4.50,339904.00
09/01/2019,4.60,MST,4.60,4.70,4.50,247500.00
08/01/2019,4.70,MST,4.60,4.70,4.50,204500.00
07/01/2019,4.60,MST,4.60,4.70,4.50,315100.00
04/01/2019,4.70,MST,4.60,4.70,4.40,597192.00
03/01/2019,4.50,MST,4.80,4.80,4.50,331600.00
02/01/2019,4.80,MST,4.90,4.90,4.70,139500.00
28/12/2018,4.90,MST,4.90,5.00,4.70,159500.00
27/12/2018,4.90,MST,4.60,5.00,4.60,908900.00
26/12/2018,4.60,MST,4.30,4.70,4.00,919836.00
25/12/2018,4.30,MST,4.60,4.60,4.30,360800.00
24/12/2018,4.70,MST,4.80,5.00,4.40,559801.00
21/12/2018,4.80,MST,5.10,5.20,4.80,198936.00
20/12/2018,5.20,MST,5.20,5.20,5.00,131600.00
19/12/2018,5.20,MST,5.30,5.30,5.00,313510.00
18/12/2018,5.20,MST,5.50,5.60,5.10,441918.00
17/12/2018,5.50,MST,5.40,5.60,5.30,360100.00
14/12/2018,5.60,MST,5.30,5.60,5.30,252780.00
13/12/2018,5.30,MST,5.60,5.90,5.30,469528.00
12/12/2018,6.20,MST,5.90,6.40,5.60,1466410.00
11/12/2018,6.20,MST,6.70,6.80,6.20,1874320.00
10/12/2018,6.80,MST,6.70,6.90,6.50,1062740.00
07/12/2018,6.90,MST,6.80,7.10,6.70,613600.00
06/12/2018,6.90,MST,6.80,6.90,6.40,1215415.00
