DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.80,MTA,1.80,1.80,1.80,0.00
25/04/2019,1.80,MTA,1.80,1.80,1.80,0.00
24/04/2019,1.80,MTA,1.80,1.80,1.80,0.00
23/04/2019,1.80,MTA,1.80,1.80,1.80,0.00
22/04/2019,1.80,MTA,1.80,1.80,1.80,0.00
19/04/2019,1.80,MTA,1.80,1.80,1.80,200.00
18/04/2019,1.60,MTA,1.60,1.60,1.60,300.00
17/04/2019,1.70,MTA,1.70,1.70,1.70,1400.00
16/04/2019,1.70,MTA,1.70,1.70,1.70,100.00
12/04/2019,2.00,MTA,2.00,2.00,2.00,0.00
11/04/2019,2.00,MTA,2.00,2.00,2.00,0.00
10/04/2019,2.00,MTA,2.00,2.00,2.00,0.00
09/04/2019,2.00,MTA,2.00,2.00,2.00,0.00
08/04/2019,2.00,MTA,2.00,2.00,2.00,200.00
05/04/2019,2.00,MTA,1.90,2.00,1.90,5100.00
04/04/2019,1.90,MTA,1.80,1.90,1.80,5000.00
03/04/2019,1.90,MTA,1.70,1.90,1.70,26600.00
02/04/2019,1.70,MTA,1.70,1.70,1.70,21700.00
01/04/2019,1.70,MTA,1.70,1.70,1.70,100.00
29/03/2019,1.70,MTA,1.60,1.70,1.60,13100.00
28/03/2019,1.60,MTA,1.60,1.60,1.60,200.00
27/03/2019,1.50,MTA,1.50,1.50,1.50,5400.00
26/03/2019,1.50,MTA,1.50,1.50,1.50,1500.00
25/03/2019,1.30,MTA,1.40,1.40,1.30,1800.00
22/03/2019,1.50,MTA,1.50,1.50,1.50,100.00
21/03/2019,1.60,MTA,1.60,1.60,1.60,0.00
20/03/2019,1.60,MTA,1.60,1.60,1.60,0.00
19/03/2019,1.60,MTA,1.60,1.60,1.60,0.00
18/03/2019,1.60,MTA,1.70,1.70,1.60,5300.00
15/03/2019,1.70,MTA,1.50,1.70,1.50,11200.00
14/03/2019,1.50,MTA,1.50,1.50,1.50,5000.00
13/03/2019,1.50,MTA,1.50,1.50,1.50,1600.00
12/03/2019,1.40,MTA,1.40,1.40,1.40,5000.00
11/03/2019,1.50,MTA,1.50,1.50,1.50,1500.00
08/03/2019,1.60,MTA,1.60,1.60,1.60,100.00
07/03/2019,1.50,MTA,1.50,1.50,1.50,2000.00
06/03/2019,1.60,MTA,1.60,1.60,1.60,0.00
05/03/2019,1.60,MTA,1.60,1.60,1.60,6000.00
04/03/2019,1.60,MTA,1.50,1.60,1.50,5000.00
01/03/2019,1.60,MTA,1.60,1.60,1.60,0.00
28/02/2019,1.60,MTA,1.60,1.60,1.60,24200.00
27/02/2019,1.80,MTA,1.80,1.80,1.80,0.00
26/02/2019,1.80,MTA,1.80,1.80,1.80,100.00
25/02/2019,1.60,MTA,1.60,1.60,1.60,100.00
22/02/2019,1.70,MTA,1.70,1.70,1.70,100.00
21/02/2019,1.50,MTA,1.50,1.50,1.50,0.00
20/02/2019,1.50,MTA,1.50,1.50,1.50,5000.00
19/02/2019,1.50,MTA,1.50,1.50,1.50,6600.00
18/02/2019,1.60,MTA,1.60,1.60,1.60,0.00
15/02/2019,1.60,MTA,1.60,1.60,1.60,700.00
14/02/2019,1.50,MTA,1.50,1.50,1.50,10000.00
13/02/2019,1.60,MTA,1.60,1.60,1.60,0.00
12/02/2019,1.60,MTA,1.80,1.80,1.60,1600.00
11/02/2019,1.50,MTA,1.60,1.60,1.50,10000.00
01/02/2019,1.50,MTA,1.50,1.50,1.50,153200.00
31/01/2019,1.60,MTA,1.60,1.60,1.60,48000.00
30/01/2019,1.80,MTA,1.80,1.80,1.80,100.00
29/01/2019,1.60,MTA,1.60,1.60,1.60,100.00
28/01/2019,1.50,MTA,1.60,1.60,1.30,5200.00
25/01/2019,1.50,MTA,1.60,1.70,1.50,6900.00
24/01/2019,1.50,MTA,1.50,1.50,1.50,0.00
23/01/2019,1.50,MTA,1.50,1.60,1.50,2200.00
22/01/2019,1.40,MTA,1.50,1.60,1.40,5600.00
21/01/2019,1.40,MTA,1.40,1.40,1.40,100.00
18/01/2019,1.50,MTA,1.50,1.50,1.50,100.00
17/01/2019,1.70,MTA,1.70,1.70,1.70,0.00
16/01/2019,1.70,MTA,1.70,1.70,1.70,0.00
15/01/2019,1.70,MTA,1.70,1.70,1.70,100.00
14/01/2019,1.70,MTA,1.70,1.70,1.70,100.00
11/01/2019,1.50,MTA,1.80,1.80,1.50,8500.00
10/01/2019,1.80,MTA,1.70,1.80,1.60,1600.00
09/01/2019,1.50,MTA,1.80,1.80,1.50,4000.00
08/01/2019,1.60,MTA,1.50,1.60,1.50,300.00
07/01/2019,1.40,MTA,1.40,1.40,1.40,2200.00
