DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.20,NAF,15.15,15.20,15.10,173160.00
25/04/2019,15.10,NAF,15.20,15.30,15.10,75560.00
24/04/2019,15.20,NAF,15.20,15.25,15.20,57460.00
23/04/2019,15.30,NAF,14.95,15.50,14.50,196800.00
22/04/2019,15.00,NAF,15.10,15.10,14.90,15100.00
19/04/2019,15.05,NAF,15.05,15.05,15.00,23830.00
18/04/2019,15.00,NAF,15.10,15.10,14.90,37050.00
17/04/2019,15.00,NAF,15.05,15.10,15.00,69560.00
16/04/2019,15.10,NAF,15.05,15.15,15.00,63200.00
12/04/2019,15.10,NAF,15.10,15.10,15.00,49550.00
11/04/2019,15.15,NAF,15.20,15.20,15.10,41950.00
10/04/2019,15.20,NAF,15.10,15.20,15.10,40940.00
09/04/2019,15.20,NAF,15.10,15.30,15.00,56770.00
08/04/2019,15.10,NAF,15.30,15.30,15.00,68550.00
05/04/2019,15.30,NAF,15.30,15.40,15.05,72220.00
04/04/2019,15.30,NAF,15.40,15.40,15.05,26530.00
03/04/2019,15.30,NAF,15.20,15.30,15.00,122330.00
02/04/2019,15.20,NAF,15.10,15.40,15.05,76790.00
01/04/2019,15.10,NAF,15.40,15.40,15.00,67930.00
29/03/2019,15.40,NAF,15.50,15.50,15.20,75500.00
28/03/2019,15.45,NAF,15.20,15.80,15.20,70950.00
27/03/2019,15.00,NAF,15.30,15.30,15.00,73710.00
26/03/2019,15.25,NAF,15.30,15.30,15.00,92530.00
25/03/2019,15.30,NAF,15.10,15.30,15.00,52370.00
22/03/2019,15.30,NAF,15.20,15.40,15.15,78280.00
21/03/2019,15.15,NAF,15.15,15.50,15.00,115690.00
20/03/2019,15.50,NAF,15.60,15.60,15.20,86910.00
19/03/2019,15.60,NAF,15.70,15.90,15.30,148190.00
18/03/2019,15.90,NAF,15.50,15.90,15.50,134730.00
15/03/2019,15.80,NAF,16.20,16.20,15.60,160450.00
14/03/2019,16.15,NAF,16.00,16.40,15.80,199020.00
13/03/2019,16.00,NAF,15.10,16.00,15.10,318240.00
12/03/2019,15.20,NAF,15.50,15.50,15.20,71310.00
11/03/2019,15.50,NAF,15.20,15.50,15.20,59060.00
08/03/2019,15.20,NAF,15.50,15.50,15.20,103080.00
07/03/2019,15.60,NAF,15.50,15.60,15.30,157010.00
06/03/2019,15.50,NAF,15.30,15.50,15.15,80080.00
05/03/2019,15.30,NAF,15.30,15.40,15.10,90780.00
04/03/2019,15.30,NAF,15.20,15.40,14.90,236510.00
01/03/2019,15.20,NAF,15.20,15.20,14.90,85030.00
28/02/2019,15.20,NAF,15.30,15.30,14.90,77010.00
27/02/2019,15.30,NAF,15.10,15.30,15.00,54310.00
26/02/2019,15.20,NAF,15.00,15.20,15.00,28700.00
25/02/2019,15.10,NAF,15.20,15.20,14.95,132620.00
22/02/2019,15.20,NAF,15.30,15.30,15.00,32520.00
21/02/2019,15.30,NAF,15.00,15.30,15.00,42320.00
20/02/2019,15.05,NAF,15.30,15.30,15.05,34360.00
19/02/2019,15.35,NAF,15.70,15.70,15.35,96380.00
18/02/2019,15.70,NAF,15.70,15.70,15.40,30230.00
15/02/2019,15.70,NAF,15.70,15.70,15.40,19110.00
14/02/2019,15.80,NAF,15.70,15.80,15.30,79940.00
13/02/2019,15.60,NAF,16.10,16.20,15.60,69380.00
12/02/2019,16.00,NAF,16.30,16.70,15.90,39940.00
11/02/2019,16.50,NAF,15.50,16.50,15.30,102450.00
01/02/2019,15.70,NAF,15.00,15.70,15.00,123500.00
31/01/2019,15.45,NAF,15.55,15.55,14.90,78740.00
30/01/2019,15.50,NAF,14.70,15.50,14.60,150850.00
29/01/2019,15.00,NAF,14.60,15.00,14.25,142660.00
28/01/2019,14.80,NAF,14.80,14.80,14.30,120040.00
25/01/2019,14.80,NAF,14.50,14.80,14.40,139080.00
24/01/2019,14.50,NAF,14.30,14.50,14.25,67470.00
23/01/2019,14.40,NAF,14.30,14.40,14.30,63980.00
22/01/2019,14.35,NAF,14.00,14.40,13.90,173890.00
21/01/2019,14.10,NAF,14.00,14.20,13.95,56880.00
18/01/2019,14.20,NAF,14.40,14.40,13.90,84730.00
17/01/2019,14.40,NAF,13.90,14.40,13.80,127620.00
16/01/2019,14.00,NAF,14.10,14.20,13.90,34180.00
15/01/2019,14.10,NAF,13.60,14.10,13.60,64450.00
14/01/2019,13.90,NAF,13.95,14.00,13.70,95940.00
11/01/2019,14.00,NAF,14.10,14.10,13.55,30740.00
10/01/2019,13.80,NAF,13.30,14.20,13.30,45110.00
09/01/2019,13.50,NAF,13.80,13.80,13.50,80040.00
08/01/2019,13.80,NAF,13.90,13.90,13.60,38850.00
07/01/2019,14.40,NAF,14.50,14.60,14.00,72730.00
04/01/2019,14.50,NAF,13.90,15.55,13.90,82600.00
03/01/2019,14.60,NAF,14.50,14.60,14.00,69700.00
02/01/2019,14.60,NAF,15.05,15.40,14.55,58070.00
28/12/2018,15.50,NAF,14.90,15.50,14.40,232320.00
27/12/2018,14.90,NAF,14.50,14.90,14.30,170390.00
26/12/2018,14.65,NAF,14.90,15.00,14.30,79800.00
25/12/2018,15.00,NAF,14.50,15.00,13.80,109480.00
24/12/2018,14.70,NAF,14.90,14.90,14.60,97910.00
21/12/2018,14.90,NAF,15.00,15.00,14.50,134240.00
20/12/2018,15.00,NAF,14.10,15.00,14.05,170920.00
19/12/2018,14.40,NAF,14.30,14.40,13.80,91980.00
18/12/2018,13.95,NAF,14.15,14.30,13.70,402210.00
17/12/2018,14.15,NAF,14.40,14.40,14.05,226500.00
14/12/2018,14.40,NAF,14.05,14.40,14.00,201400.00
13/12/2018,14.20,NAF,14.50,14.50,14.00,121120.00
12/12/2018,14.10,NAF,14.40,14.40,13.90,125740.00
11/12/2018,14.40,NAF,14.05,14.40,14.00,269200.00
10/12/2018,13.95,NAF,13.40,13.95,13.40,105340.00
07/12/2018,13.40,NAF,13.40,13.80,13.40,69060.00
06/12/2018,13.55,NAF,13.55,13.60,13.25,106270.00
05/12/2018,13.50,NAF,14.05,14.05,13.40,115600.00
04/12/2018,14.05,NAF,13.20,14.05,13.00,259650.00
03/12/2018,13.40,NAF,13.60,13.70,13.30,102970.00
30/11/2018,13.30,NAF,12.50,13.30,12.50,403540.00
29/11/2018,12.50,NAF,12.40,13.00,12.40,54830.00
28/11/2018,12.30,NAF,12.15,12.40,12.15,23960.00
27/11/2018,12.35,NAF,12.00,12.60,12.00,127690.00
26/11/2018,12.30,NAF,12.00,12.55,12.00,78240.00
23/11/2018,12.10,NAF,11.75,12.40,11.75,261300.00
22/11/2018,11.75,NAF,12.15,12.30,11.70,165200.00
21/11/2018,11.75,NAF,11.55,12.20,11.10,101200.00
20/11/2018,11.55,NAF,10.70,11.55,10.65,200640.00
19/11/2018,10.80,NAF,10.55,11.00,10.50,192580.00
16/11/2018,10.70,NAF,11.10,11.50,10.70,125150.00
15/11/2018,11.10,NAF,11.60,11.65,10.85,138170.00
14/11/2018,11.65,NAF,11.90,11.90,11.60,65190.00
13/11/2018,11.90,NAF,12.40,12.55,11.90,1109900.00
12/11/2018,12.45,NAF,11.90,12.45,11.50,563290.00
09/11/2018,11.90,NAF,11.65,12.00,11.40,656450.00
08/11/2018,11.65,NAF,12.00,12.00,11.55,645690.00
07/11/2018,12.20,NAF,11.60,12.45,11.60,481720.00
06/11/2018,12.85,NAF,12.40,12.85,12.40,280880.00
05/11/2018,12.50,NAF,12.40,12.55,12.40,206810.00
02/11/2018,12.40,NAF,12.35,12.40,12.30,96100.00
01/11/2018,12.35,NAF,12.20,12.35,12.00,64610.00
31/10/2018,12.30,NAF,12.10,12.50,12.00,77120.00
30/10/2018,12.10,NAF,11.90,12.10,11.80,69130.00
29/10/2018,11.90,NAF,11.80,12.00,11.70,52680.00
26/10/2018,11.80,NAF,11.60,12.20,11.60,75320.00
25/10/2018,11.60,NAF,11.60,11.70,11.05,91190.00
24/10/2018,11.85,NAF,11.80,11.90,11.70,76130.00
23/10/2018,11.70,NAF,11.90,11.90,11.70,57050.00
22/10/2018,12.10,NAF,12.30,12.30,12.00,57250.00
19/10/2018,12.20,NAF,12.10,12.30,11.90,52950.00
18/10/2018,12.20,NAF,12.30,12.40,12.20,48550.00
17/10/2018,12.30,NAF,12.30,12.50,12.20,48340.00
16/10/2018,12.20,NAF,12.00,12.20,12.00,26370.00
15/10/2018,12.30,NAF,12.40,12.40,12.00,17780.00
12/10/2018,12.00,NAF,11.25,12.00,11.25,23670.00
11/10/2018,11.30,NAF,11.90,11.90,11.30,60540.00
10/10/2018,12.10,NAF,12.10,12.10,11.90,5540.00
09/10/2018,12.10,NAF,12.40,12.40,11.90,57850.00
08/10/2018,12.00,NAF,11.90,12.35,11.90,10380.00
05/10/2018,12.20,NAF,12.25,12.50,12.00,11100.00
04/10/2018,12.20,NAF,12.00,12.45,11.70,20060.00
03/10/2018,12.00,NAF,12.00,12.70,11.70,26020.00
02/10/2018,12.50,NAF,12.70,13.05,12.50,43750.00
01/10/2018,12.50,NAF,12.45,13.20,12.45,111300.00
28/09/2018,12.45,NAF,12.00,12.45,12.00,65670.00
27/09/2018,11.65,NAF,11.60,11.65,11.50,101970.00
26/09/2018,10.90,NAF,11.00,11.70,10.90,298140.00
25/09/2018,10.95,NAF,10.70,10.95,10.65,44430.00
24/09/2018,10.70,NAF,10.80,10.80,10.70,44820.00
21/09/2018,10.95,NAF,10.75,10.95,10.75,3870.00
20/09/2018,10.75,NAF,10.95,10.95,10.75,10580.00
19/09/2018,10.95,NAF,10.80,10.95,10.80,16210.00
18/09/2018,10.90,NAF,10.90,10.90,10.90,3200.00
17/09/2018,10.80,NAF,10.90,10.95,10.80,18220.00
14/09/2018,10.95,NAF,10.90,10.95,10.80,6060.00
13/09/2018,10.90,NAF,10.85,10.90,10.85,4840.00
12/09/2018,10.95,NAF,10.90,10.95,10.90,690.00
11/09/2018,10.90,NAF,11.00,11.00,10.80,3040.00
10/09/2018,10.85,NAF,11.00,11.00,10.80,9200.00
07/09/2018,11.00,NAF,10.95,11.30,10.70,19290.00
06/09/2018,10.95,NAF,11.30,11.30,10.70,18680.00
05/09/2018,11.00,NAF,11.00,11.00,10.70,25930.00
04/09/2018,11.00,NAF,10.70,11.00,10.70,15050.00
31/08/2018,10.70,NAF,10.90,11.10,10.70,83010.00
30/08/2018,10.80,NAF,11.00,11.00,10.80,55060.00
29/08/2018,11.00,NAF,10.90,11.00,10.90,17700.00
28/08/2018,11.30,NAF,10.85,11.30,10.85,21390.00
27/08/2018,11.10,NAF,10.70,11.20,10.70,28750.00
24/08/2018,10.70,NAF,10.90,11.40,10.60,441720.00
23/08/2018,10.70,NAF,11.00,11.10,10.70,234140.00
22/08/2018,10.60,NAF,10.90,11.10,10.60,132620.00
21/08/2018,10.90,NAF,11.00,11.20,10.80,113590.00
20/08/2018,10.80,NAF,10.70,11.00,10.50,88200.00
17/08/2018,10.70,NAF,10.80,10.80,10.40,66900.00
16/08/2018,10.70,NAF,10.10,10.75,10.10,87530.00
15/08/2018,10.10,NAF,10.00,10.15,9.90,81680.00
14/08/2018,10.00,NAF,10.05,10.05,9.54,81240.00
13/08/2018,10.25,NAF,11.00,11.10,10.25,79580.00
10/08/2018,11.00,NAF,11.10,11.20,10.80,50250.00
09/08/2018,11.00,NAF,11.10,11.20,10.90,42590.00
08/08/2018,11.00,NAF,11.00,11.20,10.95,43210.00
07/08/2018,10.95,NAF,9.80,11.10,9.77,77250.00
06/08/2018,10.50,NAF,11.40,11.40,10.50,41870.00
03/08/2018,11.20,NAF,11.50,11.50,11.10,36540.00
02/08/2018,11.30,NAF,11.80,11.80,11.30,83680.00
01/08/2018,11.80,NAF,11.80,12.10,11.60,84750.00
31/07/2018,11.80,NAF,11.65,12.00,11.60,83410.00
30/07/2018,11.70,NAF,11.70,11.70,11.40,93850.00
27/07/2018,11.70,NAF,11.90,11.90,11.60,64240.00
26/07/2018,11.90,NAF,12.30,12.30,11.50,80910.00
25/07/2018,12.25,NAF,12.30,12.40,12.20,112400.00
24/07/2018,12.25,NAF,12.40,12.40,12.25,59260.00
23/07/2018,12.40,NAF,12.70,12.80,12.40,72100.00
20/07/2018,12.75,NAF,13.40,13.40,12.70,72340.00
19/07/2018,13.40,NAF,13.30,13.60,13.20,70600.00
18/07/2018,13.30,NAF,13.40,14.20,13.30,143040.00
17/07/2018,13.30,NAF,12.95,13.30,12.90,80420.00
16/07/2018,12.90,NAF,12.90,12.95,12.80,63150.00
13/07/2018,12.90,NAF,12.90,13.00,12.80,58660.00
12/07/2018,12.90,NAF,12.75,13.00,12.75,62000.00
11/07/2018,12.75,NAF,12.90,13.00,12.70,63920.00
10/07/2018,12.80,NAF,12.90,13.20,12.80,58820.00
09/07/2018,12.90,NAF,12.90,13.10,12.80,54290.00
06/07/2018,12.85,NAF,12.70,12.90,12.65,72370.00
05/07/2018,12.65,NAF,12.80,12.80,12.60,58700.00
04/07/2018,12.70,NAF,12.70,12.90,12.70,60680.00
03/07/2018,12.65,NAF,12.70,12.90,12.55,50240.00
