DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,29.90,NAS,29.90,29.90,29.90,0.00
25/04/2019,29.90,NAS,29.90,29.90,29.90,1000.00
24/04/2019,27.00,NAS,27.00,27.00,27.00,0.00
23/04/2019,27.00,NAS,27.00,27.00,27.00,100.00
22/04/2019,27.00,NAS,27.00,27.00,27.00,100.00
19/04/2019,29.70,NAS,29.70,29.70,29.70,400.00
18/04/2019,29.70,NAS,29.80,29.80,29.70,1900.00
17/04/2019,29.40,NAS,29.40,29.40,29.40,0.00
16/04/2019,29.00,NAS,29.50,29.50,29.00,1400.00
12/04/2019,28.50,NAS,28.70,28.70,28.50,1300.00
11/04/2019,28.80,NAS,28.80,28.80,28.80,0.00
10/04/2019,28.80,NAS,28.80,28.80,28.80,1000.00
09/04/2019,29.90,NAS,29.90,29.90,29.90,0.00
08/04/2019,29.90,NAS,29.90,29.90,29.90,200.00
05/04/2019,28.30,NAS,28.30,28.30,28.30,0.00
04/04/2019,30.00,NAS,26.50,30.00,26.50,204.00
03/04/2019,30.00,NAS,30.00,30.00,30.00,0.00
02/04/2019,30.00,NAS,30.00,30.00,30.00,0.00
01/04/2019,30.00,NAS,30.00,30.00,30.00,0.00
29/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
28/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
27/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
26/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
25/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
22/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
21/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
20/03/2019,30.00,NAS,30.00,30.00,30.00,0.00
19/03/2019,30.00,NAS,30.00,30.00,30.00,653.00
18/03/2019,29.90,NAS,28.10,29.90,28.10,1100.00
15/03/2019,30.00,NAS,30.50,30.50,30.00,3000.00
14/03/2019,29.90,NAS,29.90,29.90,29.90,100.00
13/03/2019,28.20,NAS,28.20,28.20,28.20,0.00
12/03/2019,28.20,NAS,28.20,28.20,28.20,0.00
11/03/2019,28.20,NAS,28.20,28.20,28.20,0.00
08/03/2019,28.20,NAS,28.20,28.20,28.20,100.00
07/03/2019,28.00,NAS,28.00,28.00,28.00,0.00
06/03/2019,28.00,NAS,28.00,28.00,28.00,2096.00
05/03/2019,27.70,NAS,27.70,27.70,27.70,1025.00
04/03/2019,28.10,NAS,28.10,28.10,28.10,1050.00
01/03/2019,29.90,NAS,29.90,29.90,29.90,0.00
28/02/2019,29.90,NAS,29.90,29.90,29.90,0.00
27/02/2019,30.00,NAS,29.80,30.00,29.80,3300.00
26/02/2019,29.00,NAS,29.00,29.00,29.00,100.00
25/02/2019,29.50,NAS,29.50,29.50,29.50,0.00
22/02/2019,29.50,NAS,29.50,29.50,29.50,1500.00
21/02/2019,31.50,NAS,31.50,31.50,31.50,400.00
20/02/2019,29.60,NAS,29.60,29.60,29.60,500.00
19/02/2019,28.00,NAS,30.00,30.00,28.00,1500.00
18/02/2019,28.90,NAS,28.90,28.90,28.90,0.00
15/02/2019,30.00,NAS,31.50,31.50,28.00,1400.00
14/02/2019,28.90,NAS,28.90,28.90,28.90,500.00
13/02/2019,28.90,NAS,28.90,28.90,28.90,0.00
12/02/2019,28.90,NAS,28.90,28.90,28.90,1700.00
11/02/2019,29.00,NAS,29.00,29.00,29.00,1340.00
01/02/2019,28.70,NAS,28.70,28.70,28.70,0.00
