DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,9.60,NAV,9.14,9.82,9.14,4110.00
25/04/2019,9.82,NAV,9.82,9.82,9.82,150.00
24/04/2019,10.55,NAV,10.55,10.55,10.55,20.00
23/04/2019,11.30,NAV,11.30,11.30,11.30,10.00
22/04/2019,10.60,NAV,10.60,10.60,10.60,10.00
19/04/2019,10.10,NAV,8.90,10.15,8.90,40.00
18/04/2019,9.50,NAV,9.14,10.25,9.14,960.00
17/04/2019,9.80,NAV,9.79,10.00,9.79,2570.00
16/04/2019,10.00,NAV,9.89,10.00,9.89,3010.00
12/04/2019,9.89,NAV,9.10,9.89,9.10,50.00
11/04/2019,9.68,NAV,9.68,9.68,9.68,5830.00
10/04/2019,9.05,NAV,8.60,9.05,8.60,1250.00
09/04/2019,8.46,NAV,8.50,8.50,8.46,30.00
08/04/2019,9.00,NAV,9.00,9.00,9.00,840.00
05/04/2019,9.18,NAV,8.65,9.18,8.65,3020.00
04/04/2019,8.65,NAV,9.75,9.75,8.60,1320.00
03/04/2019,9.12,NAV,9.00,9.20,9.00,750.00
02/04/2019,9.15,NAV,9.60,9.60,9.10,18700.00
01/04/2019,9.68,NAV,9.60,9.70,9.50,12300.00
29/03/2019,9.65,NAV,9.70,9.88,8.75,7030.00
28/03/2019,9.25,NAV,9.84,9.84,8.60,3830.00
27/03/2019,9.20,NAV,9.60,9.70,9.20,13120.00
26/03/2019,9.69,NAV,9.10,9.69,9.10,5040.00
25/03/2019,9.10,NAV,9.10,9.10,9.10,5000.00
22/03/2019,9.10,NAV,9.30,9.30,8.70,1020.00
21/03/2019,8.70,NAV,8.56,8.70,8.56,60.00
20/03/2019,8.60,NAV,8.60,8.60,8.60,50.00
19/03/2019,9.00,NAV,8.70,9.00,8.70,510.00
18/03/2019,8.70,NAV,8.70,8.70,8.70,100.00
15/03/2019,9.30,NAV,9.30,9.50,9.30,5000.00
14/03/2019,9.93,NAV,9.24,9.93,9.24,1540.00
13/03/2019,9.93,NAV,9.95,9.95,9.00,680.00
12/03/2019,9.30,NAV,9.00,9.30,9.00,2050.00
11/03/2019,8.70,NAV,8.70,8.70,8.70,100.00
08/03/2019,9.20,NAV,8.85,9.20,8.85,60.00
07/03/2019,9.50,NAV,9.00,9.50,8.90,630.00
06/03/2019,9.48,NAV,8.50,9.48,8.50,460.00
05/03/2019,8.90,NAV,8.90,8.90,8.80,10040.00
04/03/2019,8.99,NAV,9.00,9.00,8.30,880.00
01/03/2019,8.50,NAV,8.20,8.50,8.20,6920.00
28/02/2019,8.30,NAV,8.00,8.30,8.00,970.00
27/02/2019,8.00,NAV,8.45,8.45,7.88,1500.00
26/02/2019,8.45,NAV,8.00,8.45,8.00,310.00
25/02/2019,8.00,NAV,8.00,8.00,8.00,3530.00
22/02/2019,8.12,NAV,8.12,9.30,8.12,3520.00
21/02/2019,8.73,NAV,8.73,8.73,8.73,40.00
20/02/2019,8.16,NAV,8.16,8.16,8.16,0.00
19/02/2019,8.16,NAV,7.63,8.16,7.63,1450.00
18/02/2019,7.63,NAV,7.63,7.63,7.63,10.00
15/02/2019,8.20,NAV,8.13,8.50,8.13,1950.00
14/02/2019,8.74,NAV,8.74,8.74,8.74,300.00
13/02/2019,8.17,NAV,8.17,8.17,8.17,10.00
12/02/2019,7.64,NAV,7.64,7.64,7.64,10.00
11/02/2019,7.61,NAV,7.61,7.61,7.61,150.00
