DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.60,NBB,18.40,18.65,18.30,47030.00
25/04/2019,18.50,NBB,18.75,18.75,18.40,43420.00
24/04/2019,18.50,NBB,18.50,19.00,18.25,1388520.00
23/04/2019,18.45,NBB,18.60,18.60,18.40,174340.00
22/04/2019,18.45,NBB,18.80,18.80,18.45,711660.00
19/04/2019,18.75,NBB,18.40,18.80,18.40,252340.00
18/04/2019,18.40,NBB,18.40,18.55,18.05,162210.00
17/04/2019,18.25,NBB,18.40,18.60,18.20,138590.00
16/04/2019,18.30,NBB,17.70,18.35,17.70,220240.00
12/04/2019,17.50,NBB,18.45,18.50,17.50,1133770.00
11/04/2019,18.30,NBB,18.60,18.70,18.30,1150950.00
10/04/2019,18.60,NBB,18.65,18.80,18.60,922110.00
09/04/2019,18.80,NBB,18.95,19.00,18.60,1198790.00
08/04/2019,18.85,NBB,18.60,19.00,18.50,1526850.00
05/04/2019,18.60,NBB,18.95,18.95,18.60,159780.00
04/04/2019,18.80,NBB,19.00,19.00,18.70,116060.00
03/04/2019,18.90,NBB,19.00,19.10,18.90,164820.00
02/04/2019,19.10,NBB,19.10,19.40,19.10,1235230.00
01/04/2019,19.10,NBB,19.40,19.60,19.05,159640.00
29/03/2019,19.40,NBB,19.35,19.40,19.00,294510.00
28/03/2019,19.30,NBB,19.00,19.35,18.90,464140.00
27/03/2019,19.35,NBB,19.35,19.95,19.35,775350.00
26/03/2019,19.35,NBB,18.50,19.65,18.50,2298430.00
25/03/2019,18.50,NBB,17.65,18.50,17.65,109870.00
22/03/2019,18.50,NBB,18.50,18.50,18.35,359240.00
21/03/2019,18.45,NBB,18.70,18.80,18.45,515580.00
20/03/2019,18.70,NBB,18.75,18.90,18.60,855520.00
19/03/2019,18.75,NBB,19.00,19.00,18.75,689970.00
18/03/2019,19.00,NBB,18.80,19.00,18.60,1720590.00
15/03/2019,18.60,NBB,18.40,19.00,17.90,2090710.00
14/03/2019,18.00,NBB,18.50,18.60,18.00,1105080.00
13/03/2019,18.60,NBB,18.30,18.65,18.10,52260.00
12/03/2019,18.50,NBB,18.20,19.00,18.05,916470.00
11/03/2019,18.20,NBB,18.50,18.65,18.05,388290.00
08/03/2019,18.70,NBB,19.00,19.40,17.80,1001150.00
07/03/2019,19.00,NBB,18.95,19.85,18.95,1338500.00
06/03/2019,18.70,NBB,17.60,18.70,17.60,1188230.00
05/03/2019,17.50,NBB,17.90,17.90,17.50,1715960.00
04/03/2019,17.90,NBB,17.50,18.00,17.00,616070.00
01/03/2019,17.50,NBB,18.10,18.10,17.00,2425400.00
28/02/2019,18.00,NBB,18.00,18.10,18.00,156580.00
27/02/2019,17.90,NBB,18.00,18.00,17.90,350820.00
26/02/2019,18.45,NBB,18.15,18.45,17.85,24500.00
25/02/2019,18.45,NBB,18.00,18.50,18.00,57040.00
22/02/2019,19.00,NBB,19.00,19.00,19.00,7000.00
21/02/2019,18.90,NBB,18.20,18.90,18.20,2080.00
20/02/2019,18.10,NBB,18.80,19.00,18.10,13810.00
19/02/2019,19.00,NBB,18.90,19.00,18.50,151210.00
18/02/2019,19.00,NBB,19.00,19.00,18.45,123470.00
15/02/2019,18.45,NBB,18.10,18.45,18.00,14010.00
14/02/2019,18.45,NBB,18.50,18.50,18.00,30820.00
13/02/2019,18.50,NBB,19.35,19.35,18.50,132100.00
12/02/2019,18.80,NBB,19.00,19.95,18.80,41550.00
11/02/2019,19.00,NBB,20.20,20.20,19.00,33400.00
01/02/2019,20.20,NBB,20.45,20.45,19.40,42770.00
31/01/2019,20.60,NBB,20.40,20.60,19.90,5510.00
30/01/2019,19.35,NBB,20.65,20.65,19.35,69500.00
29/01/2019,20.55,NBB,20.75,20.75,19.00,42490.00
28/01/2019,20.40,NBB,19.80,20.40,19.80,52010.00
25/01/2019,20.50,NBB,21.40,21.40,20.00,4200.00
24/01/2019,20.85,NBB,21.40,21.40,20.20,11010.00
23/01/2019,20.30,NBB,20.30,20.30,20.00,31830.00
22/01/2019,19.00,NBB,20.60,20.60,19.00,3380.00
21/01/2019,20.20,NBB,20.50,21.00,20.20,76500.00
18/01/2019,20.50,NBB,21.15,21.40,20.50,12720.00
17/01/2019,21.15,NBB,21.50,21.50,20.50,21520.00
16/01/2019,21.50,NBB,20.50,21.50,20.50,16000.00
15/01/2019,21.00,NBB,21.00,21.50,20.50,64510.00
14/01/2019,20.50,NBB,21.90,21.90,20.50,11110.00
11/01/2019,20.50,NBB,22.00,23.40,20.40,319110.00
10/01/2019,21.90,NBB,21.30,21.90,20.80,238630.00
09/01/2019,21.00,NBB,21.00,21.00,21.00,3000.00
08/01/2019,20.60,NBB,20.50,20.60,20.50,3000.00
07/01/2019,20.55,NBB,20.55,20.55,19.55,3050.00
04/01/2019,20.50,NBB,20.45,20.50,20.45,5010.00
03/01/2019,20.40,NBB,20.60,20.60,19.20,4420.00
02/01/2019,20.40,NBB,20.40,20.40,20.40,2000.00
28/12/2018,20.40,NBB,20.40,20.40,20.40,30000.00
27/12/2018,20.40,NBB,20.40,20.40,20.40,7000.00
26/12/2018,20.40,NBB,20.40,20.40,20.40,4010.00
25/12/2018,20.00,NBB,19.90,20.00,19.60,4460.00
24/12/2018,21.00,NBB,19.10,21.00,19.10,5100.00
21/12/2018,20.45,NBB,20.00,20.45,20.00,6000.00
20/12/2018,20.00,NBB,20.40,20.40,19.10,3010.00
19/12/2018,20.50,NBB,21.20,21.20,20.50,42180.00
18/12/2018,20.00,NBB,20.20,20.20,18.30,16290.00
17/12/2018,19.00,NBB,19.10,20.55,19.00,24200.00
14/12/2018,20.00,NBB,19.30,20.00,19.30,8500.00
