DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,13.20,NBP,13.20,13.20,13.20,100.00
25/04/2019,13.20,NBP,13.20,13.20,13.20,400.00
24/04/2019,12.90,NBP,12.90,12.90,12.90,0.00
23/04/2019,12.90,NBP,12.90,12.90,12.90,0.00
22/04/2019,12.90,NBP,12.90,12.90,12.90,0.00
19/04/2019,12.90,NBP,12.90,12.90,12.90,100.00
18/04/2019,14.30,NBP,14.30,14.30,14.30,500.00
17/04/2019,14.20,NBP,14.20,14.30,14.20,900.00
16/04/2019,13.00,NBP,13.00,13.00,13.00,500.00
12/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
11/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
10/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
09/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
08/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
05/04/2019,12.50,NBP,12.50,12.50,12.50,100.00
04/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
03/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
02/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
01/04/2019,12.50,NBP,12.50,12.50,12.50,0.00
29/03/2019,12.50,NBP,12.50,12.50,12.50,100.00
28/03/2019,13.80,NBP,13.00,13.80,13.00,700.00
27/03/2019,12.70,NBP,12.70,12.70,12.70,0.00
26/03/2019,12.70,NBP,12.70,12.70,12.70,0.00
25/03/2019,12.70,NBP,12.70,12.70,12.70,0.00
22/03/2019,12.70,NBP,12.70,12.70,12.70,100.00
21/03/2019,14.10,NBP,14.10,14.10,14.10,100.00
20/03/2019,14.10,NBP,14.10,14.10,14.10,400.00
19/03/2019,14.50,NBP,14.10,14.50,14.10,500.00
18/03/2019,14.10,NBP,14.10,14.10,14.00,1900.00
15/03/2019,12.90,NBP,12.90,12.90,12.90,300.00
14/03/2019,11.80,NBP,11.80,11.80,11.80,400.00
13/03/2019,10.80,NBP,10.80,10.80,10.80,0.00
12/03/2019,10.80,NBP,11.80,11.80,10.80,1100.00
11/03/2019,10.80,NBP,10.80,10.80,10.80,0.00
08/03/2019,10.80,NBP,10.80,10.80,10.80,0.00
07/03/2019,10.80,NBP,10.80,10.80,10.80,0.00
06/03/2019,10.80,NBP,10.80,10.80,10.80,0.00
05/03/2019,10.80,NBP,10.80,10.80,10.80,100.00
04/03/2019,12.00,NBP,12.00,12.00,12.00,0.00
