DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,35.60,NCS,35.60,35.60,35.60,2000.00
25/04/2019,36.00,NCS,36.00,36.00,36.00,15400.00
24/04/2019,36.00,NCS,35.50,36.20,35.10,3200.00
23/04/2019,36.20,NCS,35.50,36.20,35.50,300.00
22/04/2019,36.20,NCS,35.30,36.20,35.30,3400.00
19/04/2019,36.00,NCS,36.00,36.00,36.00,300.00
18/04/2019,36.00,NCS,36.00,36.00,36.00,120.00
17/04/2019,36.00,NCS,36.00,36.00,36.00,1840.00
16/04/2019,36.00,NCS,36.00,36.00,36.00,100.00
12/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
11/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
10/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
09/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
08/04/2019,36.00,NCS,36.20,36.20,36.00,1410.00
05/04/2019,36.00,NCS,36.10,36.10,36.00,600.00
04/04/2019,36.00,NCS,36.00,36.00,36.00,100.00
03/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
02/04/2019,36.00,NCS,36.00,36.00,36.00,0.00
01/04/2019,36.00,NCS,36.50,36.50,36.00,41055.00
29/03/2019,37.50,NCS,37.50,37.50,37.50,3.00
28/03/2019,37.50,NCS,37.50,37.50,37.50,545.00
27/03/2019,35.70,NCS,35.70,35.70,35.70,0.00
26/03/2019,35.70,NCS,35.70,35.70,35.70,0.00
25/03/2019,35.70,NCS,35.70,35.70,35.70,0.00
22/03/2019,35.50,NCS,36.20,36.20,35.50,1300.00
21/03/2019,36.90,NCS,36.90,36.90,36.90,0.00
20/03/2019,36.90,NCS,36.90,36.90,36.90,20.00
19/03/2019,36.90,NCS,36.90,36.90,36.90,110.00
18/03/2019,37.00,NCS,37.00,37.00,37.00,500.00
15/03/2019,36.00,NCS,36.00,36.00,36.00,0.00
14/03/2019,35.30,NCS,36.60,36.60,35.30,230.00
13/03/2019,36.20,NCS,36.20,36.20,36.20,430.00
12/03/2019,36.70,NCS,36.70,36.70,36.70,0.00
11/03/2019,36.80,NCS,36.50,36.80,36.50,1000.00
08/03/2019,36.00,NCS,36.00,36.00,36.00,0.00
07/03/2019,36.00,NCS,36.00,36.00,36.00,1020.00
06/03/2019,36.60,NCS,36.50,36.60,36.20,2550.00
05/03/2019,36.30,NCS,37.30,37.30,36.30,200.00
04/03/2019,36.50,NCS,35.60,36.50,35.60,5900.00
01/03/2019,36.50,NCS,36.50,36.50,36.50,300.00
28/02/2019,36.60,NCS,36.60,36.60,36.60,0.00
27/02/2019,36.60,NCS,36.50,36.60,36.50,3300.00
26/02/2019,36.50,NCS,36.50,36.50,36.50,100.00
25/02/2019,35.50,NCS,35.50,35.50,35.50,20.00
22/02/2019,35.50,NCS,35.50,35.50,35.50,150.00
21/02/2019,35.10,NCS,35.10,35.10,35.10,0.00
20/02/2019,35.00,NCS,36.00,36.00,35.00,5400.00
19/02/2019,36.00,NCS,36.00,36.00,36.00,0.00
18/02/2019,35.80,NCS,36.00,36.00,35.80,1500.00
15/02/2019,36.00,NCS,36.10,36.10,36.00,1600.00
14/02/2019,36.40,NCS,36.40,36.40,36.40,600.00
13/02/2019,35.80,NCS,36.00,36.00,35.80,4530.00
12/02/2019,38.00,NCS,38.00,38.00,38.00,500.00
11/02/2019,35.00,NCS,34.40,36.60,34.40,10305.00
01/02/2019,34.70,NCS,34.70,34.70,34.70,0.00
31/01/2019,34.70,NCS,34.70,34.70,34.70,0.00
30/01/2019,34.70,NCS,34.70,34.70,34.70,5.00
29/01/2019,34.70,NCS,34.70,34.70,34.70,0.00
28/01/2019,34.70,NCS,34.70,34.70,34.70,1820.00
25/01/2019,34.50,NCS,34.50,34.50,34.50,480.00
24/01/2019,34.40,NCS,34.50,34.50,34.40,2100.00
23/01/2019,34.20,NCS,34.30,34.40,34.20,6200.00
22/01/2019,34.20,NCS,34.60,34.60,34.20,1500.00
21/01/2019,35.00,NCS,35.00,35.00,35.00,100.00
18/01/2019,33.60,NCS,34.50,34.50,33.60,600.00
17/01/2019,34.50,NCS,35.10,35.10,34.50,3400.00
16/01/2019,35.00,NCS,35.30,35.50,35.00,3600.00
15/01/2019,35.00,NCS,35.00,35.00,35.00,520.00
14/01/2019,35.00,NCS,35.00,35.00,35.00,200.00
11/01/2019,34.40,NCS,35.00,35.60,34.40,5400.00
10/01/2019,34.50,NCS,35.00,35.00,34.00,2700.00
09/01/2019,35.00,NCS,35.00,35.00,35.00,700.00
08/01/2019,35.40,NCS,35.00,35.40,34.00,3300.00
07/01/2019,34.40,NCS,34.40,34.40,34.40,0.00
04/01/2019,34.00,NCS,34.90,34.90,34.00,1000.00
03/01/2019,34.80,NCS,34.80,34.80,34.80,150.00
02/01/2019,36.90,NCS,37.00,37.00,36.90,1200.00
28/12/2018,37.20,NCS,37.20,37.20,37.20,0.00
27/12/2018,37.20,NCS,37.20,37.20,37.20,500.00
26/12/2018,35.00,NCS,35.00,35.00,35.00,100.00
25/12/2018,35.00,NCS,35.00,35.00,35.00,525.00
24/12/2018,37.40,NCS,37.40,37.40,37.40,2100.00
21/12/2018,35.20,NCS,36.00,36.00,35.20,1500.00
20/12/2018,35.00,NCS,35.50,35.50,35.00,1300.00
19/12/2018,36.50,NCS,36.50,36.50,36.50,0.00
18/12/2018,36.50,NCS,36.50,36.50,36.50,0.00
17/12/2018,34.50,NCS,38.40,38.40,34.50,200.00
14/12/2018,35.00,NCS,36.10,36.10,33.10,9025.00
13/12/2018,37.50,NCS,37.50,37.50,37.50,0.00
12/12/2018,37.40,NCS,37.00,38.00,37.00,2500.00
11/12/2018,36.00,NCS,36.00,36.00,36.00,200.00
10/12/2018,36.00,NCS,36.00,36.00,36.00,0.00
07/12/2018,36.00,NCS,36.00,36.00,36.00,600.00
06/12/2018,36.00,NCS,37.00,37.00,36.00,1100.00
05/12/2018,35.00,NCS,35.00,35.00,35.00,0.00
04/12/2018,35.00,NCS,35.00,35.00,35.00,0.00
03/12/2018,35.00,NCS,35.00,35.00,35.00,0.00
30/11/2018,35.00,NCS,35.00,35.00,35.00,1100.00
29/11/2018,35.00,NCS,35.00,35.00,35.00,130.00
28/11/2018,35.00,NCS,35.00,35.00,35.00,100.00
27/11/2018,35.00,NCS,35.60,35.60,35.00,600.00
26/11/2018,36.60,NCS,36.60,36.60,36.60,300.00
23/11/2018,35.10,NCS,35.00,35.10,35.00,3200.00
22/11/2018,35.00,NCS,35.30,35.30,35.00,1510.00
21/11/2018,35.30,NCS,35.30,35.30,35.30,100.00
20/11/2018,35.10,NCS,35.20,35.20,35.00,1009.00
19/11/2018,35.10,NCS,35.30,35.30,35.10,600.00
16/11/2018,35.00,NCS,35.00,35.00,35.00,10.00
15/11/2018,35.00,NCS,35.00,35.00,35.00,345.00
14/11/2018,35.50,NCS,35.50,35.50,35.50,0.00
13/11/2018,35.50,NCS,35.60,35.60,35.50,410.00
12/11/2018,36.50,NCS,36.50,36.50,36.50,0.00
09/11/2018,36.50,NCS,36.50,36.50,36.50,0.00
