DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,22.50,ND2,22.50,22.50,22.50,100.00
25/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
24/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
23/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
22/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
19/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
18/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
17/04/2019,22.50,ND2,22.50,22.50,22.50,1800.00
16/04/2019,23.50,ND2,26.50,26.50,23.50,900.00
12/04/2019,23.50,ND2,23.50,23.50,23.50,0.00
11/04/2019,23.50,ND2,23.50,23.50,23.50,0.00
10/04/2019,23.50,ND2,23.50,23.50,23.50,0.00
09/04/2019,23.50,ND2,23.50,23.50,23.50,10.00
08/04/2019,23.50,ND2,23.50,23.50,23.50,100.00
05/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
04/04/2019,22.50,ND2,22.50,22.50,22.50,3800.00
03/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
02/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
01/04/2019,22.50,ND2,22.50,22.50,22.50,0.00
29/03/2019,22.50,ND2,22.50,22.50,22.50,100.00
28/03/2019,22.50,ND2,22.50,22.50,22.50,1200.00
27/03/2019,22.50,ND2,22.50,22.50,22.50,0.00
26/03/2019,23.50,ND2,23.50,23.50,23.50,130.00
25/03/2019,22.60,ND2,22.60,22.60,22.60,0.00
22/03/2019,22.60,ND2,22.60,22.60,22.60,29200.00
21/03/2019,22.60,ND2,22.60,22.60,22.60,400.00
20/03/2019,22.60,ND2,22.60,22.60,22.60,0.00
19/03/2019,22.60,ND2,22.60,22.60,22.60,2850.00
18/03/2019,22.60,ND2,22.60,22.60,22.60,0.00
15/03/2019,22.60,ND2,22.60,22.60,21.00,30475.00
14/03/2019,22.50,ND2,22.50,22.50,22.50,0.00
13/03/2019,22.50,ND2,22.50,22.50,22.50,300.00
12/03/2019,23.00,ND2,23.00,23.00,23.00,100.00
11/03/2019,22.50,ND2,22.50,22.50,22.50,1000.00
08/03/2019,22.80,ND2,22.80,22.80,22.80,0.00
07/03/2019,22.80,ND2,22.80,22.80,22.80,0.00
06/03/2019,22.80,ND2,22.80,22.80,22.80,1600.00
05/03/2019,22.50,ND2,22.50,22.50,22.50,0.00
04/03/2019,22.50,ND2,22.50,22.50,22.50,1500.00
01/03/2019,22.50,ND2,22.50,22.50,22.50,1300.00
28/02/2019,22.50,ND2,22.50,22.50,22.50,0.00
27/02/2019,22.50,ND2,22.50,22.50,22.50,0.00
26/02/2019,22.50,ND2,22.50,22.50,22.50,8500.00
25/02/2019,22.50,ND2,22.50,22.50,22.50,0.00
22/02/2019,22.50,ND2,22.50,22.50,22.50,0.00
21/02/2019,22.50,ND2,22.50,22.50,22.50,0.00
20/02/2019,22.50,ND2,22.50,22.50,22.50,7500.00
19/02/2019,22.50,ND2,22.50,22.50,22.10,1985.00
18/02/2019,22.40,ND2,22.50,22.50,22.40,3100.00
15/02/2019,22.00,ND2,22.50,22.50,22.00,6000.00
14/02/2019,22.50,ND2,20.60,22.50,20.60,12716.00
13/02/2019,22.40,ND2,22.40,22.40,22.40,200.00
12/02/2019,22.10,ND2,22.10,22.10,22.10,5000.00
11/02/2019,22.00,ND2,22.00,22.00,22.00,5000.00
